;id;Name;End Use;Upper End Use;Height;Floors;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Envelope;Lower End Use;Solar technologies;Number of occupants;Simulate;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Sm3];January electric consumption [MWh];January oil consumption [L];January wood consumption [kg];January Heating Demand [MWh];January Cooling Demand [MWh];February gas consumption [Sm3];February electric consumption [MWh];February oil consumption [L];February wood consumption [kg];February Heating Demand [MWh];February Cooling Demand [MWh];March gas consumption [Sm3];March electric consumption [MWh];March oil consumption [L];March wood consumption [kg];March Heating Demand [MWh];March Cooling Demand [MWh];April gas consumption [Sm3];April electric consumption [MWh];April oil consumption [L];April wood consumption [kg];April Heating Demand [MWh];April Cooling Demand [MWh];May gas consumption [Sm3];May electric consumption [MWh];May oil consumption [L];May wood consumption [kg];May Heating Demand [MWh];May Cooling Demand [MWh];June gas consumption [Sm3];June electric consumption [MWh];June oil consumption [L];June wood consumption [kg];June Heating Demand [MWh];June Cooling Demand [MWh];July gas consumption [Sm3];July electric consumption [MWh];July oil consumption [L];July wood consumption [kg];July Heating Demand [MWh];July Cooling Demand [MWh];August gas consumption [Sm3];August electric consumption [MWh];August oil consumption [L];August wood consumption [kg];August Heating Demand [MWh];August Cooling Demand [MWh];September gas consumption [Sm3];September electric consumption [MWh];September oil consumption [L];September wood consumption [kg];September Heating Demand [MWh];September Cooling Demand [MWh];October gas consumption [Sm3];October electric consumption [MWh];October oil consumption [L];October wood consumption [kg];October Heating Demand [MWh];October Cooling Demand [MWh];November gas consumption [Sm3];November electric consumption [MWh];November oil consumption [L];November wood consumption [kg];November Heating Demand [MWh];November Cooling Demand [MWh];December gas consumption [Sm3];December electric consumption [MWh];December oil consumption [L];December wood consumption [kg];December Heating Demand [MWh];December Cooling Demand [MWh];Total gas consumption [Sm3];Total electric consumption [MWh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [MWh];Total Cooling Demand [MWh]
1;1;Piovego;services;services;12.0;4;1.2;1.25;A-A split;Traditional Gas Boiler, Centralized, Low Temp Radiator;1981-1990;food;ST;48;True;{'TZ Bd Piovego thermal zone single End Use': {'Zone volume [m3]': 13411.46337890625, 'Zone net floor area [m2]': 3576.390234375, 'Number of units [-]': 46.0, 'Zone external walls opaque area [m2]': 1402.0227564581826, 'Zone external walls glazed area [m2]': 200.28896520831182, 'Zone opaque heat transfer loss [W/K]': 2942.687225829686, 'Zone glazed heat transfer loss [W/K]': 741.0691712707537, 'Zone design heating load [kW]': 181.22248208804567, 'Zone design cooling load [kW]': -98.87100002292277}, 'Total': {'Zone volume [m3]': 13411.46337890625, 'Zone net floor area [m2]': 3576.390234375, 'Number of units [-]': 46.0, 'Zone external walls opaque area [m2]': 1402.0227564581826, 'Zone external walls glazed area [m2]': 200.28896520831182, 'Zone opaque heat transfer loss [W/K]': 2942.687225829686, 'Zone glazed heat transfer loss [W/K]': 741.0691712707537, 'Zone design heating load [kW]': 181.22248208804567, 'Zone design cooling load [kW]': -98.87100002292277}};13411.46337890625;3576.390234375;46.0;1402.0227564581826;200.28896520831182;2942.687225829686;741.0691712707537;181.22248208804567;-98.87100002292277;8861.940001123283;13.342627699476788;0.0;0.0;68.21085584171222;0.0;7204.427299136092;12.050396631785487;0.0;0.0;55.59546286645086;0.0;4951.319829265875;13.331127699476788;0.0;0.0;39.75259247038913;0.0;2250.02213434192;12.887810676913023;0.0;0.0;19.591610385650533;0.0;435.7225922974942;13.315947699476789;0.0;0.0;6.312852332488954;0.0;366.78639507585586;19.058014197875504;0.0;0.0;6.10921193466673;-11.115294933371311;335.9928516375132;25.367471094954542;0.0;0.0;6.312852332488954;-23.147623795423574;392.52068849629455;23.98336526371116;0.0;0.0;6.312852332488954;-18.436824856382486;483.8352370588726;16.853795997779557;0.0;0.0;6.10921193466673;-5.706333326253687;1725.4741436390937;13.369307699476789;0.0;0.0;14.952155460248145;0.0;4846.579193872287;12.90299067691302;0.0;0.0;38.59075777140444;0.0;8042.857352754389;13.25108769947679;0.0;0.0;62.24366535012774;0.0;39897.47771869897;189.71394303731626;0.0;0.0;330.0940810127834;-58.40607691143105
18;18;RB3;residential;residential;10.0;3;1.3;0.8;s4;s19;1981-1990;food;PV,ST;17;True;{'TZ Bd RB3 thermal zone single End Use': {'Zone volume [m3]': 3189.5322265625, 'Zone net floor area [m2]': 1196.0745849609375, 'Number of units [-]': 16.0, 'Zone external walls opaque area [m2]': 961.5600172020656, 'Zone external walls glazed area [m2]': 137.36571674315223, 'Zone opaque heat transfer loss [W/K]': 1537.9284150173792, 'Zone glazed heat transfer loss [W/K]': 508.25315194966333, 'Zone design heating load [kW]': 82.34391833029335, 'Zone design cooling load [kW]': -36.89360473809729}, 'Total': {'Zone volume [m3]': 3189.5322265625, 'Zone net floor area [m2]': 1196.0745849609375, 'Number of units [-]': 16.0, 'Zone external walls opaque area [m2]': 961.5600172020656, 'Zone external walls glazed area [m2]': 137.36571674315223, 'Zone opaque heat transfer loss [W/K]': 1537.9284150173792, 'Zone glazed heat transfer loss [W/K]': 508.25315194966333, 'Zone design heating load [kW]': 82.34391833029335, 'Zone design cooling load [kW]': -36.89360473809729}};3189.5322265625;1196.0745849609375;16.0;961.5600172020656;137.36571674315223;1537.9284150173792;508.25315194966333;82.34391833029335;-36.89360473809729;3493.522668385606;4.25138;0.0;0.0;28.836033267906064;0.0;2810.8019212960116;3.8396;0.0;0.0;23.258646829045407;0.0;1894.3314647941118;4.24862;0.0;0.0;16.234553204163586;0.0;829.5088638361145;4.109520000000001;0.0;0.0;7.745262858531245;0.0;114.3259516743019;4.2458599999999995;0.0;0.0;2.137157688987742;0.0;97.70995538995554;6.779308309299456;0.0;0.0;2.0682171183752343;-4.478388696458946;91.22000963806772;9.63413613492695;0.0;0.0;2.137157688987742;-9.496808699344236;107.94589627896994;8.736324465200864;0.0;0.0;2.137157688987742;-7.350102246187373;128.31723583185334;5.617694303372363;0.0;0.0;2.0682171183752343;-2.116913952269862;634.2127279431028;4.2569;0.0;0.0;5.885422203367609;0.0;1969.0736367405063;4.11228;0.0;0.0;16.610723689895288;0.0;3194.8425930843687;4.232060000000001;0.0;0.0;26.452399068701325;0.0;15365.812924892969;64.06368321279965;0.0;0.0;135.57094842532422;-23.44221359426042
19;19;RB4;residential;residential;14.0;4;0.9;2.0;s2;A-W Heat Pump, Single, Fan coil;1981-1990;food;;23;True;{'TZ Bd RB4 thermal zone single End Use': {'Zone volume [m3]': 9803.43984375, 'Zone net floor area [m2]': 1400.49140625, 'Number of units [-]': 18.0, 'Zone external walls opaque area [m2]': 1118.295000150711, 'Zone external walls glazed area [m2]': 159.75642859295874, 'Zone opaque heat transfer loss [W/K]': 1534.3713202750055, 'Zone glazed heat transfer loss [W/K]': 591.0987857939474, 'Zone design heating load [kW]': 113.44305868567768, 'Zone design cooling load [kW]': -53.92072893365208}, 'Total': {'Zone volume [m3]': 9803.43984375, 'Zone net floor area [m2]': 1400.49140625, 'Number of units [-]': 18.0, 'Zone external walls opaque area [m2]': 1118.295000150711, 'Zone external walls glazed area [m2]': 159.75642859295874, 'Zone opaque heat transfer loss [W/K]': 1534.3713202750055, 'Zone glazed heat transfer loss [W/K]': 591.0987857939474, 'Zone design heating load [kW]': 113.44305868567768, 'Zone design cooling load [kW]': -53.92072893365208}};9803.43984375;1400.49140625;18.0;1118.295000150711;159.75642859295874;1534.3713202750055;591.0987857939474;113.44305868567768;-53.92072893365208;0.0;22.867333298308775;0.0;0.0;43.255396909302476;0.0;0.0;19.183069295466662;0.0;0.0;35.301060913005394;0.0;0.0;15.645218510410373;0.0;0.0;25.131592869977904;0.0;0.0;10.381471378478306;0.0;0.0;12.07778516576099;0.0;0.0;6.96644518223093;0.0;0.0;2.471512685170133;0.0;0.0;11.454311010034791;0.0;0.0;2.3917864695194835;-6.935532120355221;0.0;15.498783011885882;0.0;0.0;2.471512685170133;-13.75763950938598;0.0;14.693170265134722;0.0;0.0;2.471512685170133;-10.975096555264582;0.0;10.030010469537148;0.0;0.0;2.3917864695194835;-3.717670441215167;0.0;9.416707673076168;0.0;0.0;8.931550368035213;0.0;0.0;15.100595023356771;0.0;0.0;24.561409178635436;0.0;0.0;21.252635985126915;0.0;0.0;39.47552561727667;0.0;0.0;172.48975110304744;0.0;0.0;200.93243201654343;-35.38593862622095
20;20;TorreArchimede;services;services;24.0;8;0.8;1.2;A-W chiller, Centralized, Fan coil;s14;1981-1990;residential;PV;123;True;{'TZ Bd TorreArchimede thermal zone single End Use': {'Zone volume [m3]': 38763.04884142548, 'Zone net floor area [m2]': 10767.513567062633, 'Number of units [-]': 140.0, 'Zone external walls opaque area [m2]': 4133.564702672323, 'Zone external walls glazed area [m2]': 590.509243238903, 'Zone opaque heat transfer loss [W/K]': 5787.434815372832, 'Zone glazed heat transfer loss [W/K]': 2184.8841999839424, 'Zone design heating load [kW]': 434.0726897931958, 'Zone design cooling load [kW]': -278.04599797449856}, 'Total': {'Zone volume [m3]': 38763.04884142548, 'Zone net floor area [m2]': 10767.513567062633, 'Number of units [-]': 140.0, 'Zone external walls opaque area [m2]': 4133.564702672323, 'Zone external walls glazed area [m2]': 590.509243238903, 'Zone opaque heat transfer loss [W/K]': 5787.434815372832, 'Zone glazed heat transfer loss [W/K]': 2184.8841999839424, 'Zone design heating load [kW]': 434.0726897931958, 'Zone design cooling load [kW]': -278.04599797449856}};38763.04884142548;10767.513567062633;140.0;4133.564702672323;590.509243238903;5787.434815372832;2184.8841999839424;434.0726897931958;-278.04599797449856;23612.06136030955;32.04122;0.0;0.0;171.96907418858495;0.0;19209.496445070574;28.95672;0.0;0.0;139.8771322611072;0.0;13508.229583486172;32.05042;0.0;0.0;100.03246669821107;0.0;6808.80775949696;30.8726;0.0;0.0;50.87412412270147;0.0;2566.710294790811;31.94278;0.0;0.0;19.069626861623952;0.0;2483.9131885072366;49.14495504955874;0.0;0.0;18.45447760802318;-27.61505976372199;2566.710294790811;67.64920569209609;0.0;0.0;19.069626861623952;-58.06777815101769;2566.710294790811;64.85114823968671;0.0;0.0;19.069626861623952;-48.18342038849998;2483.9131885072366;43.384035008470946;0.0;0.0;18.45447760802318;-15.5355777105983;5241.278244898196;32.13966;0.0;0.0;39.301654630136014;0.0;13006.677758964233;30.980240000000002;0.0;0.0;97.51494234353355;0.0;21461.611814737604;31.7551;0.0;0.0;157.2837642658997;0.0;115516.12022835019;475.7680839898124;0.0;0.0;850.9709943110921;-149.40183601383794
21;21;Dicea;services;services;3.0;1;1.0;0.7;A-A split;Condensing Gas Boiler, Centralized, High Temp Radiator;1981-1990;;ST;4;True;{'TZ Bd Dicea thermal zone single End Use': {'Zone volume [m3]': 7655.95818110945, 'Zone net floor area [m2]': 3645.6943719568812, 'Number of units [-]': 47.0, 'Zone external walls opaque area [m2]': 1293.5211653730291, 'Zone external walls glazed area [m2]': 184.78873791043276, 'Zone opaque heat transfer loss [W/K]': 9030.440217270994, 'Zone glazed heat transfer loss [W/K]': 683.7183302686011, 'Zone design heating load [kW]': 358.7334978632487, 'Zone design cooling load [kW]': -93.10002902524954}, 'Total': {'Zone volume [m3]': 7655.95818110945, 'Zone net floor area [m2]': 3645.6943719568812, 'Number of units [-]': 47.0, 'Zone external walls opaque area [m2]': 1293.5211653730291, 'Zone external walls glazed area [m2]': 184.78873791043276, 'Zone opaque heat transfer loss [W/K]': 9030.440217270994, 'Zone glazed heat transfer loss [W/K]': 683.7183302686011, 'Zone design heating load [kW]': 358.7334978632487, 'Zone design cooling load [kW]': -93.10002902524954}};7655.95818110945;3645.6943719568812;47.0;1293.5211653730291;184.78873791043276;9030.440217270994;683.7183302686011;358.7334978632487;-93.10002902524954;17346.903523859666;1.7280286291671805;0.0;0.0;137.70473060695707;0.0;14353.518976259029;1.5643019876348725;0.0;0.0;114.32535479540472;0.0;10997.098210562153;1.7353886291671805;0.0;0.0;89.65965103092519;0.0;5964.04100318604;1.659346415323078;0.0;0.0;50.66221824228199;0.0;309.5474416353402;1.7229686291671806;0.0;0.0;6.439752898540871;0.0;276.40021497119346;6.759250681718883;0.0;0.0;6.232018934071812;-8.007714265161548;265.9199852057757;9.003626831710287;0.0;0.0;6.439752898540871;-14.173682454574244;309.2138627677989;7.1826592335582555;0.0;0.0;6.439752898540871;-8.455956832113273;356.2111728851117;5.507784317062956;0.0;0.0;6.232018934071812;-4.351269818474762;4136.169566680938;1.7330886291671805;0.0;0.0;35.501158207256;0.0;10817.039686718785;1.6717664153230778;0.0;0.0;87.23987982144014;0.0;16027.709118633305;1.7202086291671805;0.0;0.0;127.40033027469559;0.0;81159.77276336512;41.988419028167314;0.0;0.0;674.276619542727;-34.98862337032383
