Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Nm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [Wh];Heating system electric consumption [Wh];Cooling system electric consumption [Wh]
5850587.86;108238037.88;0.00;9495351.70;0;0;0;0;0;0;44001822.95;-0.00
5282233.44;89498635.72;0.00;8559326.97;0;0;0;0;0;0;36648304.52;-0.00
5848487.12;70579885.70;0.00;9478766.97;0;0;0;0;0;0;29921220.08;-0.00
5660436.14;15546046.57;0.00;9177815.21;0;0;0;0;0;0;9240326.75;-0.00
5846386.39;0.00;0.00;9462182.24;0;0;0;0;0;0;3536407.72;-0.00
5660436.14;0.00;-25636015.03;9177815.21;0;0;0;0;0;0;3430128.03;13086196.02
5848487.12;0.00;-21402198.08;9478766.97;0;0;0;0;0;0;3542606.12;10924995.91
5846386.39;219527.03;-17167123.07;9462182.24;0;0;0;0;0;0;3618454.02;8763153.61
5662536.88;0.00;0.00;9194399.94;0;0;0;0;0;0;3436326.43;-0.00
5846386.39;0.00;0.00;9462182.24;0;0;0;0;0;0;3536407.72;-0.00
5658335.40;35789393.97;0.00;9161230.48;0;0;0;0;0;0;16799902.10;-0.00
5850587.86;100446054.70;0.00;9495351.70;0;0;0;0;0;0;41089637.50;-0.00
