,RLB-67107,RLB-67864,RLB-66928,RLB-68725,RLB-68723,RLB-68531,RLB-68532,RLB-68742,RLB-69490,RLB-69368,RLB-68888,RLB-96407,RLB-64875,RLB-69422,RLB-67013,RLB-67768
2111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2119,5.695259479298042,1.337938014487637,1.5411251898049312,1.8729060933938877,1.846423767417325,1.4113305236673246,6.279914065303403,3.312664736948577,3.8241408800322394,15.68908428643168,2.9415248071806754,1.567696141750986,4.4033434250345165,0.9866951797220115,71.05945948193929,3.651625364878266
2120,4.3663656007951674,1.0257524777738554,1.181529312183781,1.4358946716019811,1.4155915550199498,1.0820200681449494,4.814600783399278,2.539709631660577,2.9318413413580515,10.730571500135753,2.255169018838519,1.201900375342423,3.3758966258597973,0.7564663044535425,54.47891893615348,2.7995794464066717
2121,2.531226435243573,0.5946391175500605,0.6849445288021913,0.8324027081750608,0.8206327855188107,0.6272580105188106,2.7910729179126226,1.4722954386438114,1.6996181689032168,5.0534507758505,1.3073443587469662,0.6967538407782157,1.957041522237562,0.43853119098756044,31.581981991973,1.622944606612562
2122,1.6452971829083254,0.38651542640754,0.4452139437214251,0.5410617603137904,0.5334113105872279,0.4077177068372276,1.8141973966432077,0.9569920351184791,0.9260144782456433,1.929138584662865,0.8497738331855295,0.45288999650584094,1.2720769894544173,0.2850452741419148,20.528288294782485,1.054913994298167
2123,0.8503725809544532,0.2229896690812717,0.2568541983008206,0.3121510155656464,0.3077372945695527,0.20023408529845382,0.9011535082495992,0.5521107894914268,0.27251113670982063,0.0,0.4902541345301102,0.2612826902918297,0.7338905708390825,0.16444919662033444,11.843243246989822,0.608604227479708
2124,0.3927653925415879,0.1189278235100121,0.13698890576043826,0.16648054163501216,0.16412655710376214,0.05975058141725383,0.4080961783204898,0.2944590877287623,0.0,0.0,0.26146887174939326,0.13935076815564312,0.39140830444751235,0.08770623819751208,6.316396398394599,0.3245889213225124
2125,0.0,0.029731955877503685,0.03424722644011033,0.041620135408753964,0.015453088144228576,0.0,0.0,0.07361477193219221,0.0,0.0,0.0,0.0,0.005084506632127426,0.02192655954937851,0.0,0.0811472303306299
2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2129,0.0,0.011604061780195669,0.10274167932033097,0.017319122593086128,0.0,0.0,0.0,0.04225266312794326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01771283480992641
2130,0.08132177778311793,0.2139444258248876,0.2739778115208765,0.2897148673201047,0.22018691489738623,0.0,0.04636687639556908,0.5399424636480458,0.0,0.0,0.24026543776629264,0.14471186062239746,0.5165938550133639,0.15299682831813832,2.833829066528529,0.5369989242343436
2131,0.6060522292099254,0.31218553671378013,0.35959587762114853,0.4370114217919046,0.4073178081164798,0.10202339722949443,0.6193955910700673,0.7729551052879969,0.030653612054209103,0.0,0.533631546882463,0.3046961851551243,0.9545303145366925,0.230228875268468,9.580943765747195,0.8520459184715905
2132,1.005724347589896,0.3716494484687875,0.4280903305013692,0.5202516926094125,0.5128954909492562,0.20640768592723036,1.0535294391605108,0.9201846491523813,0.29260832483006266,0.0,0.761402107380378,0.43025490062375704,1.223150951398475,0.274081994367225,14.73661473866661,1.0143403791328502
2133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,4.176523618151893,0.9811545439575993,1.130158472523615,1.3734644684888493,1.3540440961060367,1.0349757173560368,4.605270314555824,2.429287473762287,2.8043699786903056,10.48930641070583,2.1571181919324927,1.1496438372840552,3.2291185116919747,0.7235764651294743,52.11027028675541,2.6778586009107253
