Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
6455772.70;63914697.67;0.00;10074543.02;9379.17;0;0;0;0;0.00;0.00;-0.00
5828551.19;52908719.37;0.00;9080092.69;7857.95;0;0;0;0;0.00;0.00;-0.00
6453380.55;43219830.14;0.00;10055657.68;6753.42;0;0;0;0;0.00;0.00;-0.00
6245901.48;26395089.25;0.00;9736764.46;4580.22;0;0;0;0;0.00;0.00;-0.00
6450988.40;0.00;0.00;10036772.33;1272.30;0;0;0;0;0.00;0.00;-0.00
6245901.48;2006747.36;-10649796.72;9736764.46;1488.65;0;0;0;0;0.00;0.00;5436.31
6453380.55;0.00;-16490815.21;10055657.68;1274.70;0;0;0;0;0.00;0.00;8417.92
6450988.40;249979.59;-15233177.26;10036772.33;1303.99;0;0;0;0;0.00;0.00;7775.95
6248293.63;3229002.69;-6889425.00;9755649.81;1645.99;0;0;0;0;0.00;0.00;3516.79
6450988.40;12239326.77;0.00;10036772.33;2823.81;0;0;0;0;0.00;0.00;-0.00
6243509.33;39633937.37;0.00;9717879.12;6256.04;0;0;0;0;0.00;0.00;-0.00
6455772.70;59316803.27;0.00;10074543.02;8796.33;0;0;0;0;0.00;0.00;-0.00
