;id;Name;End Use;Upper End Use;Height;Floors;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Envelope;Lower End Use;Solar technologies;Simulate;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
1;1;Piovego;services;services;12.0;4;1.2;1.25;A-A split;Traditional Gas Boiler, Centralized, Low Temp Radiator;1981-1990;food;ST;True;{'TZ Bd Piovego thermal zone upper End Use': {'Zone volume [m3]': 10058.597534179688, 'Zone net floor area [m2]': 2682.29267578125, 'Number of units [-]': 35.0, 'Zone external walls opaque area [m2]': 1051.5170673477817, 'Zone external walls glazed area [m2]': 150.216723906826, 'Zone opaque heat transfer loss [W/K]': 3041.927233178491, 'Zone glazed heat transfer loss [W/K]': 555.8018784552561, 'Zone design heating load [kW]': 146.61901604237949, 'Zone design cooling load [kW]': -51.508756950283484}, 'TZ Bd Piovego thermal zone lower End Use': {'Zone volume [m3]': 3352.8658447265625, 'Zone net floor area [m2]': 894.09755859375, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 350.50568911454565, 'Zone external walls glazed area [m2]': 50.072241302077956, 'Zone opaque heat transfer loss [W/K]': 2044.3235273973744, 'Zone glazed heat transfer loss [W/K]': 185.26729281768843, 'Zone design heating load [kW]': 83.43086998940774, 'Zone design cooling load [kW]': -56.273972518912785}, 'Total': {'Zone volume [m3]': 13411.46337890625, 'Zone net floor area [m2]': 3576.390234375, 'Number of units [-]': 47.0, 'Zone external walls opaque area [m2]': 1402.0227564623274, 'Zone external walls glazed area [m2]': 200.28896520890396, 'Zone opaque heat transfer loss [W/K]': 5086.250760575866, 'Zone glazed heat transfer loss [W/K]': 741.0691712729445, 'Zone design heating load [kW]': 230.04988603178722, 'Zone design cooling load [kW]': -107.78272946919627}};13411.46337890625;3576.390234375;47.0;1402.0227564623274;200.28896520890396;5086.250760575866;741.0691712729445;230.04988603178722;-107.78272946919627;28238.24524099636;20630950.821276706;0.0;0.0;211154817.2213606;0.0;23677.05183378983;18683778.68375963;0.0;0.0;177175044.9150513;0.0;20224.946343277057;20692777.667453464;0.0;0.0;152075138.64731735;0.0;7734.409396119042;19995036.67621568;0.0;0.0;59262114.79550681;-1075.137380380925;2389.2752224341166;20709810.225944676;0.0;0.0;20188354.237598807;0.0;2375.2610926444936;21672041.43564975;0.0;0.0;20582964.16945156;-3627845.9401893592;5605.171902998739;54124886.78190743;0.0;0.0;45273688.53633714;-72083588.06973608;6125.900931809213;55698970.17802432;0.0;0.0;48577928.03250124;-73519277.11247587;2393.2258716099445;19978004.117724463;0.0;0.0;19632750.315366708;0.0;2596.5503268251096;20709810.225944676;0.0;0.0;20188354.237598807;0.0;12352.547492219937;20034466.37854966;0.0;0.0;92414098.83079065;0.0;26374.664804390664;20653347.96511948;0.0;0.0;197143070.892344;0.0;140087.2504591145;313583881.15756994;0.0;0.0;1063668324.8312249;-149231786.2597817
18;18;RB3;residential;residential;10.0;3;1.3;0.8;s4;s19;1981-1990;food;PV,ST;True;{'TZ Bd RB3 thermal zone upper End Use': {'Zone volume [m3]': 2126.3548177083335, 'Zone net floor area [m2]': 797.383056640625, 'Number of units [-]': 10.0, 'Zone external walls opaque area [m2]': 641.0400114669847, 'Zone external walls glazed area [m2]': 91.57714449528352, 'Zone opaque heat transfer loss [W/K]': 1735.1771072345591, 'Zone glazed heat transfer loss [W/K]': 338.835434632549, 'Zone design heating load [kW]': 87.84903208651448, 'Zone design cooling load [kW]': -31.133822628287728}, 'TZ Bd RB3 thermal zone lower End Use': {'Zone volume [m3]': 1063.1774088541667, 'Zone net floor area [m2]': 398.6915283203125, 'Number of units [-]': 5.0, 'Zone external walls opaque area [m2]': 320.52000573451846, 'Zone external walls glazed area [m2]': 45.78857224778835, 'Zone opaque heat transfer loss [W/K]': 1272.8879227837838, 'Zone glazed heat transfer loss [W/K]': 169.4177173168169, 'Zone design heating load [kW]': 51.1179288838179, 'Zone design cooling load [kW]': -27.140492430928965}, 'Total': {'Zone volume [m3]': 3189.5322265625, 'Zone net floor area [m2]': 1196.0745849609375, 'Number of units [-]': 15.0, 'Zone external walls opaque area [m2]': 961.5600172015031, 'Zone external walls glazed area [m2]': 137.36571674307186, 'Zone opaque heat transfer loss [W/K]': 3008.065030018343, 'Zone glazed heat transfer loss [W/K]': 508.2531519493659, 'Zone design heating load [kW]': 138.9669609703324, 'Zone design cooling load [kW]': -58.27431505921669}};3189.5322265625;1196.0745849609375;15.0;961.5600172015031;137.36571674307186;3008.065030018343;508.2531519493659;138.9669609703324;-58.27431505921669;11614.944533860647;7771014.591183594;0.0;0.0;91543839.26156694;0.0;9672.446782342236;7016511.605796875;0.0;0.0;76291364.28799908;0.0;7991.983325397952;7768622.442013673;0.0;0.0;63362247.55757919;0.0;3145.599396610483;7518716.2129980475;0.0;0.0;25429471.20915082;-279.4430786745132;1139.9732364247502;7766230.292843751;0.0;0.0;10036772.329601858;0.0;1107.4209478148032;8291379.212281149;0.0;0.0;10003608.346293265;-1413627.7805580783;1946.669681166585;23260375.55129924;0.0;0.0;16859859.331709214;-28060771.695300635;2084.4495867891974;23414676.386189576;0.0;0.0;17665713.918981932;-27400475.857009638;1138.7844460294189;7521108.362167969;0.0;0.0;9755649.809896676;0.0;1228.6636224946337;7766230.292843751;0.0;0.0;10036772.329601858;0.0;5124.894323558692;7516324.063828126;0.0;0.0;40418774.69008495;0.0;10825.66752377361;7771014.591183594;0.0;0.0;85292072.98101783;0.0;57021.49740626301;123382203.60462934;0.0;0.0;456696146.0534836;-56875154.77594703
19;19;RB4;residential;residential;14.0;4;0.9;2.0;s2;A-W Heat Pump, Single, Fan coil;1981-1990;food;;True;{'TZ Bd RB4 thermal zone upper End Use': {'Zone volume [m3]': 7352.579882812499, 'Zone net floor area [m2]': 1050.3685546875, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 838.7212501126686, 'Zone external walls glazed area [m2]': 119.81732144466696, 'Zone opaque heat transfer loss [W/K]': 2130.4977833493635, 'Zone glazed heat transfer loss [W/K]': 443.32408934526774, 'Zone design heating load [kW]': 149.55817260236543, 'Zone design cooling load [kW]': -56.04137797251867}, 'TZ Bd RB4 thermal zone lower End Use': {'Zone volume [m3]': 2450.8599609375, 'Zone net floor area [m2]': 350.1228515625, 'Number of units [-]': 5.0, 'Zone external walls opaque area [m2]': 279.57375003767777, 'Zone external walls glazed area [m2]': 39.939107148239685, 'Zone opaque heat transfer loss [W/K]': 1113.6434906291092, 'Zone glazed heat transfer loss [W/K]': 147.77469644848685, 'Zone design heating load [kW]': 48.631184693801316, 'Zone design cooling load [kW]': -25.197662438752346}, 'Total': {'Zone volume [m3]': 9803.439843749999, 'Zone net floor area [m2]': 1400.49140625, 'Number of units [-]': 19.0, 'Zone external walls opaque area [m2]': 1118.2950001503464, 'Zone external walls glazed area [m2]': 159.75642859290664, 'Zone opaque heat transfer loss [W/K]': 3244.141273978473, 'Zone glazed heat transfer loss [W/K]': 591.0987857937546, 'Zone design heating load [kW]': 198.18935729616675, 'Zone design cooling load [kW]': -81.23904041127102}};9803.439843749999;1400.49140625;19.0;1118.2950001503464;159.75642859290664;3244.141273978473;591.0987857937546;198.18935729616675;-81.23904041127102;0.0;47300190.38738627;0.0;0.0;107522277.90946579;0.0;0.0;40057211.64961078;0.0;0.0;89990623.52911727;0.0;0.0;35008422.42265504;0.0;0.0;74636412.53443761;0.0;0.0;17538989.112442315;0.0;0.0;28512644.721834455;-13.415823044360932;0.0;10646887.211561568;0.0;0.0;9462182.239767233;0.0;0.0;11473563.86960464;0.0;0.0;9412152.125001738;-1732211.0002972472;0.0;34989592.18636026;0.0;0.0;15454079.503552523;-34890668.764661334;0.0;36992903.07960266;0.0;0.0;16161764.733859112;-34911481.85931633;0.0;10322206.975115446;0.0;0.0;9194399.944015618;0.0;0.0;10646887.211561568;0.0;0.0;9462182.239767233;0.0;0.0;24118792.13903295;0.0;0.0;46120512.8909237;0.0;0.0;44481326.231095694;0.0;0.0;99979923.88726313;0.0;0.0;323576972.47602916;0.0;0.0;515909156.2590054;-71534375.04009795
20;20;TorreArchimede;services;services;24.0;8;0.8;1.2;A-W chiller, Centralized, Fan coil;s14;1981-1990;residential;PV;True;{'TZ Bd TorreArchimede thermal zone upper End Use': {'Zone volume [m3]': 33917.66773624729, 'Zone net floor area [m2]': 9421.574371179804, 'Number of units [-]': 122.0, 'Zone external walls opaque area [m2]': 3616.8691148649045, 'Zone external walls glazed area [m2]': 516.6955878378434, 'Zone opaque heat transfer loss [W/K]': 9053.902224367928, 'Zone glazed heat transfer loss [W/K]': 1911.7736750000206, 'Zone design heating load [kW]': 455.296352424319, 'Zone design cooling load [kW]': -184.86471183753673}, 'TZ Bd TorreArchimede thermal zone lower End Use': {'Zone volume [m3]': 4845.381105178185, 'Zone net floor area [m2]': 1345.9391958828292, 'Number of units [-]': 17.0, 'Zone external walls opaque area [m2]': 516.6955879871653, 'Zone external walls glazed area [m2]': 73.8136554267379, 'Zone opaque heat transfer loss [W/K]': 3053.371926610817, 'Zone glazed heat transfer loss [W/K]': 273.1105250789303, 'Zone design heating load [kW]': 153.2404989342065, 'Zone design cooling load [kW]': -36.02915142216438}, 'Total': {'Zone volume [m3]': 38763.04884142548, 'Zone net floor area [m2]': 10767.513567062633, 'Number of units [-]': 139.0, 'Zone external walls opaque area [m2]': 4133.56470285207, 'Zone external walls glazed area [m2]': 590.5092432645813, 'Zone opaque heat transfer loss [W/K]': 12107.274150978745, 'Zone glazed heat transfer loss [W/K]': 2184.884200078951, 'Zone design heating load [kW]': 608.5368513585255, 'Zone design cooling load [kW]': -220.8938632597011}};38763.04884142548;10767.513567062633;139.0;4133.56470285207;590.5092432645813;12107.274150978745;2184.884200078951;608.5368513585255;-220.8938632597011;73461.59076880479;13266888.111633524;0.0;0.0;526622207.0894466;0.0;61354.18412941411;12175864.458764175;0.0;0.0;439820358.603668;0.0;50754.918738744316;13502898.54963158;0.0;0.0;363810059.9036285;0.0;15985.087867799313;12955660.324676642;0.0;0.0;114505939.43726158;0.0;743.4446794933609;13581568.69563093;0.0;0.0;5216098.413587904;0.0;912.5448141571645;16149713.543135475;0.0;0.0;6432281.841581349;-5348271.60726191;5537.045841138081;80612761.03816411;0.0;0.0;39587339.46760907;-112111672.20258507;6270.4155073417505;89220685.7860174;0.0;0.0;44845771.4332223;-118823239.01502803;719.4625930580912;12876990.17867729;0.0;0.0;5047837.174439907;0.0;743.4446794933609;13581568.69563093;0.0;0.0;5216098.413587904;0.0;28911.816875418957;13113000.616675345;0.0;0.0;207193608.64010724;0.0;68933.48643671353;13345558.257632878;0.0;0.0;494154640.37543446;0.0;314327.4429315768;304383158.25627023;0.0;0.0;2252452240.793575;-236283182.824875
21;21;Dicea;services;services;3.0;12;1.0;0.7;A-A split;Condensing Gas Boiler, Centralized, High Temp Radiator;1981-1990;;ST;True;{'TZ Bd Dicea thermal zone single End Use': {'Zone volume [m3]': 7655.95818110945, 'Zone net floor area [m2]': 43748.33246348258, 'Number of units [-]': 568.0, 'Zone external walls opaque area [m2]': 1294.5778085612642, 'Zone external walls glazed area [m2]': 184.93968693732347, 'Zone opaque heat transfer loss [W/K]': 11010.439437588077, 'Zone glazed heat transfer loss [W/K]': 684.2768416680967, 'Zone design heating load [kW]': 411.9931561135145, 'Zone design cooling load [kW]': -497.5726029808961}, 'Total': {'Zone volume [m3]': 7655.95818110945, 'Zone net floor area [m2]': 43748.33246348258, 'Number of units [-]': 568.0, 'Zone external walls opaque area [m2]': 1294.5778085612642, 'Zone external walls glazed area [m2]': 184.93968693732347, 'Zone opaque heat transfer loss [W/K]': 11010.439437588077, 'Zone glazed heat transfer loss [W/K]': 684.2768416680967, 'Zone design heating load [kW]': 411.9931561135145, 'Zone design cooling load [kW]': -497.5726029808961}};7655.95818110945;43748.33246348258;568.0;1294.5778085612642;184.93968693732347;11010.439437588077;684.2768416680967;411.9931561135145;-497.5726029808961;118030.9237774287;59106287.80271408;0.0;0.0;894883270.7289971;0.0;99437.34273369783;54281895.16959098;0.0;0.0;754527841.0776507;0.0;89194.23824516751;60202183.53092432;0.0;0.0;680291958.1096584;0.0;28688.93499817558;57741689.3090531;0.0;0.0;225075024.94570705;0.0;250.53661621414366;60567482.1069944;0.0;0.0;13249670.95094083;0.0;972.8545676845661;64107817.19259867;0.0;0.0;19250821.089311145;-13621882.527969355;21096.2066789746;185153079.9187951;0.0;0.0;172800567.690303;-282483538.6482244;24448.185758237854;206645224.0736748;0.0;0.0;197207903.43530604;-321594739.0723864;446.5676545655977;57376390.73298302;0.0;0.0;12822262.2105879;0.0;1009.4421320217625;60567482.1069944;0.0;0.0;13249670.95094083;0.0;54927.87483168122;58472286.46119326;0.0;0.0;417960311.2587071;0.0;110130.2460880967;59471586.378784165;0.0;0.0;834872901.70071;0.0;548633.3540819461;983693404.7843003;0.0;0.0;4236192204.14882;-617700160.2485802
