Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
820840.00;8196334.34;0.00;603538.31;0;0;0;0;0;11664.73;0.00;0.00
739920.00;6301713.69;0.00;545131.38;0;0;0;0;0;9075.88;0.00;0.00
816700.00;5499697.64;0.00;603538.31;0;0;0;0;0;8090.19;0.00;0.00
796780.00;4255916.43;0.00;584069.33;0;0;0;0;0;6415.68;0.00;0.00
819920.00;2858617.31;0.00;603538.31;0;0;0;0;0;4589.28;0.00;0.00
787580.00;1779513.55;-1971672.51;584069.33;0;0;0;0;0;3133.06;0.00;1006.46
820840.00;1235688.87;-2161752.80;603538.31;0;0;0;0;0;2438.00;0.00;1103.49
821760.00;1108013.36;-1482566.64;603538.31;0;0;0;0;0;2268.76;0.00;756.79
788500.00;2063069.20;-295796.83;584069.33;0;0;0;0;0;3508.93;0.00;150.99
821760.00;3674587.60;0.00;603538.31;0;0;0;0;0;5670.90;0.00;0.00
793560.00;5386554.25;0.00;584069.33;0;0;0;0;0;7914.40;0.00;0.00
813940.00;7304326.21;0.00;603538.31;0;0;0;0;0;10482.32;0.00;0.00
