Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
1035420.00;8687515.53;0.00;363410.57;0;0;0;0;0;11997.52;0.00;0.00
938720.00;6733435.33;0.00;328241.80;0;0;0;0;0;9360.65;0.00;0.00
1042780.00;5972399.06;0.00;363410.57;0;0;0;0;0;8398.48;0.00;0.00
989080.00;4742092.54;0.00;351687.64;0;0;0;0;0;6752.09;0.00;0.00
1030360.00;3110796.36;0.00;363410.57;0;0;0;0;0;4605.26;0.00;0.00
998740.00;1909708.11;-2119162.56;351687.64;0;0;0;0;0;2997.61;0.00;1081.75
1035420.00;1325661.66;-2316537.17;363410.57;0;0;0;0;0;2238.96;0.00;1182.50
1040480.00;1188701.02;-1711638.78;363410.57;0;0;0;0;0;2057.41;0.00;873.73
1003800.00;2244797.14;-520046.37;351687.64;0;0;0;0;0;3441.79;0.00;265.46
1040480.00;3985503.66;0.00;363410.57;0;0;0;0;0;5764.73;0.00;0.00
1001500.00;5699917.43;0.00;351687.64;0;0;0;0;0;8021.75;0.00;0.00
1027600.00;7704345.05;0.00;363410.57;0;0;0;0;0;10694.27;0.00;0.00
