Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
501840.00;7909168.64;0.00;483751.37;0;0;0;0;0;11125.29;0.00;0.00
452800.00;5963241.16;0.00;436936.72;0;0;0;0;0;8483.80;0.00;0.00
501840.00;5021820.71;0.00;483751.37;0;0;0;0;0;7297.95;0.00;0.00
490400.00;3768153.83;0.00;468146.48;0;0;0;0;0;5615.46;0.00;0.00
505520.00;2448488.15;0.00;483751.37;0;0;0;0;0;3886.85;0.00;0.00
494080.00;1512485.78;-1969398.67;468146.48;0;0;0;0;0;2625.44;0.00;1005.30
501840.00;1050120.21;-2103387.66;483751.37;0;0;0;0;0;2033.23;0.00;1073.70
498160.00;941626.77;-1409247.82;483751.37;0;0;0;0;0;1889.42;0.00;719.37
490400.00;1784816.26;-279310.23;468146.48;0;0;0;0;0;2986.43;0.00;142.58
498160.00;3449380.28;0.00;483751.37;0;0;0;0;0;5213.59;0.00;0.00
486720.00;5258715.94;0.00;468146.48;0;0;0;0;0;7591.28;0.00;0.00
512880.00;7053496.37;0.00;483751.37;0;0;0;0;0;9991.05;0.00;0.00
