Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
501840.00;6153294.26;0.00;214121.80;0;0;0;0;0;8440.37;0.00;0.00
452800.00;4774769.84;0.00;193400.34;0;0;0;0;0;6585.59;0.00;0.00
501840.00;4184111.40;0.00;214121.80;0;0;0;0;0;5830.11;0.00;0.00
490400.00;3260836.81;0.00;207214.65;0;0;0;0;0;4597.10;0.00;0.00
505520.00;2054021.30;0.00;214121.80;0;0;0;0;0;3006.55;0.00;0.00
494080.00;1241356.73;-1220361.78;207214.65;0;0;0;0;0;1920.16;0.00;622.95
501840.00;861243.90;-1309337.25;214121.80;0;0;0;0;0;1425.46;0.00;668.37
498160.00;772301.34;-875968.16;214121.80;0;0;0;0;0;1307.56;0.00;447.15
490400.00;1495909.66;-234494.82;207214.65;0;0;0;0;0;2257.59;0.00;119.70
498160.00;2842262.06;0.00;214121.80;0;0;0;0;0;4051.41;0.00;0.00
486720.00;4092105.64;0.00;207214.65;0;0;0;0;0;5698.99;0.00;0.00
512880.00;5464762.02;0.00;214121.80;0;0;0;0;0;7527.68;0.00;0.00
