Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
501840.00;6969095.15;0.00;276340.56;0;0;0;0;0;9604.24;0.00;0.00
452800.00;5409447.56;0.00;249597.93;0;0;0;0;0;7501.39;0.00;0.00
501840.00;4649881.95;0.00;276340.56;0;0;0;0;0;6529.99;0.00;0.00
490400.00;3600111.92;0.00;267426.35;0;0;0;0;0;5126.64;0.00;0.00
505520.00;2318160.09;0.00;276340.56;0;0;0;0;0;3439.16;0.00;0.00
494080.00;1409673.34;-1463631.03;267426.35;0;0;0;0;0;2223.09;0.00;747.13
501840.00;978196.21;-1580554.74;276340.56;0;0;0;0;0;1662.96;0.00;806.81
498160.00;877155.45;-1125142.39;276340.56;0;0;0;0;0;1529.02;0.00;574.34
490400.00;1686190.55;-297349.90;267426.35;0;0;0;0;0;2589.63;0.00;151.79
498160.00;3206818.75;0.00;276340.56;0;0;0;0;0;4617.13;0.00;0.00
486720.00;4667032.22;0.00;267426.35;0;0;0;0;0;6540.90;0.00;0.00
512880.00;6180570.36;0.00;276340.56;0;0;0;0;0;8559.00;0.00;0.00
