Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
5850587.86;110807430.62;0.00;11173386.62;0;0;0;0;0;0.00;45589.26;-0.00
5282233.44;90165172.13;0.00;10071945.99;0;0;0;0;0;0.00;37462.74;-0.00
5848487.12;84075140.82;0.00;11153871.01;0;0;0;0;0;0.00;35591.01;-0.00
5660436.14;68928532.07;0.00;10799734.54;0;0;0;0;0;0.00;29797.74;-0.00
5846386.39;39381025.69;0.00;11134355.40;0;0;0;0;0;0.00;18879.68;-0.00
5660436.14;17995901.48;-4980240.32;10799734.54;0;0;0;0;0;0.00;10762.12;2542.22
5848487.12;10194790.14;-5757196.88;11153871.01;0;0;0;0;0;0.00;7978.88;2938.83
5846386.39;10750861.88;-4131480.29;11134355.40;0;0;0;0;0;0.00;8179.41;2108.96
5662536.88;31345218.81;-1527524.34;10819250.15;0;0;0;0;0;0.00;15758.60;779.74
5846386.39;58907562.88;0.00;11134355.40;0;0;0;0;0;0.00;26177.55;-0.00
5658335.40;76273566.21;0.00;10780218.93;0;0;0;0;0;0.00;32535.59;-0.00
5850587.86;97782424.47;0.00;11173386.62;0;0;0;0;0;0.00;40721.28;-0.00
