Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
1035420.00;8300264.98;0.00;363551.93;0;0;0;0;0;11484.38;0.00;0.00
938720.00;6426867.88;0.00;328369.49;0;0;0;0;0;8954.45;0.00;0.00
1042780.00;5697611.37;0.00;363551.93;0;0;0;0;0;8034.42;0.00;0.00
989080.00;4526110.39;0.00;351824.45;0;0;0;0;0;6465.98;0.00;0.00
1030360.00;2964887.89;0.00;363551.93;0;0;0;0;0;4412.04;0.00;0.00
998740.00;1820406.21;-2064446.97;351824.45;0;0;0;0;0;2879.41;0.00;1053.82
1035420.00;1263687.99;-2246018.65;363551.93;0;0;0;0;0;2157.00;0.00;1146.51
1040480.00;1133131.08;-1631569.24;363551.93;0;0;0;0;0;1983.94;0.00;832.85
1003800.00;2138770.51;-506125.88;351824.45;0;0;0;0;0;3301.42;0.00;258.36
1040480.00;3792426.60;0.00;363551.93;0;0;0;0;0;5508.99;0.00;0.00
1001500.00;5434830.98;0.00;351824.45;0;0;0;0;0;7670.54;0.00;0.00
1027600.00;7355559.29;0.00;363551.93;0;0;0;0;0;10232.12;0.00;0.00
