Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
289560.00;5275589.46;0.00;289944.37;0;0;0;0;0;7377.43;0.00;0.00
259520.00;3980016.74;0.00;261885.24;0;0;0;0;0;5622.88;0.00;0.00
284960.00;3336836.25;0.00;289944.37;0;0;0;0;0;4807.50;0.00;0.00
286600.00;2489348.78;0.00;280591.33;0;0;0;0;0;3671.71;0.00;0.00
291400.00;1598150.12;0.00;289944.37;0;0;0;0;0;2502.78;0.00;0.00
279240.00;981519.24;-1354203.11;280591.33;0;0;0;0;0;1673.00;0.00;691.27
289560.00;681345.66;-1439107.69;289944.37;0;0;0;0;0;1287.50;0.00;734.61
287720.00;610964.58;-943582.28;289944.37;0;0;0;0;0;1194.21;0.00;481.66
277400.00;1171318.64;-199988.04;280591.33;0;0;0;0;0;1924.59;0.00;102.09
287720.00;2307047.10;0.00;289944.37;0;0;0;0;0;3442.46;0.00;0.00
280160.00;3519914.68;0.00;280591.33;0;0;0;0;0;5037.79;0.00;0.00
290480.00;4758156.15;0.00;289944.37;0;0;0;0;0;6691.54;0.00;0.00
