Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
501840.00;7298020.05;0.00;276582.86;0;0;0;0;0;10040.57;0.00;0.00
452800.00;5717573.69;0.00;249816.77;0;0;0;0;0;7910.11;0.00;0.00
501840.00;4906080.02;0.00;276582.86;0;0;0;0;0;6869.91;0.00;0.00
490400.00;3795577.11;0.00;267660.83;0;0;0;0;0;5386.05;0.00;0.00
505520.00;2445398.71;0.00;276582.86;0;0;0;0;0;3608.14;0.00;0.00
494080.00;1489132.83;-1642325.74;267660.83;0;0;0;0;0;2328.73;0.00;838.34
501840.00;1033390.10;-1745276.03;276582.86;0;0;0;0;0;1736.44;0.00;890.90
498160.00;926645.91;-1204723.51;276582.86;0;0;0;0;0;1594.95;0.00;614.96
490400.00;1782572.07;-308159.45;267660.83;0;0;0;0;0;2717.70;0.00;157.30
498160.00;3379946.79;0.00;276582.86;0;0;0;0;0;4846.94;0.00;0.00
486720.00;4902539.06;0.00;267660.83;0;0;0;0;0;6853.39;0.00;0.00
512880.00;6478631.20;0.00;276582.86;0;0;0;0;0;8954.42;0.00;0.00
