Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
1515180.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
1362080.00;0.00;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
1501840.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
1490980.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
1525300.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
1474420.00;0.00;-1650043.47;65319.52;0;0;0;0;0;86.58;0.00;842.28
1515180.00;0.00;-1694497.14;67496.84;0;0;0;0;0;89.47;0.00;864.98
1505060.00;0.00;-1682404.41;67496.84;0;0;0;0;0;89.47;0.00;858.80
1464300.00;0.00;-1637949.84;65319.52;0;0;0;0;0;86.58;0.00;836.11
1505060.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
1467520.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
1532200.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
