Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
44041460.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
39805440.00;0.00;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
44067220.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
42437480.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
43916800.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
42364340.00;0.00;-47712948.82;65319.52;0;0;0;0;0;86.58;0.00;24355.62
44041460.00;0.00;-49635149.70;67496.84;0;0;0;0;0;89.47;0.00;25336.83
44166120.00;0.00;-49790867.48;67496.84;0;0;0;0;0;89.47;0.00;25416.32
42489000.00;0.00;-47868634.64;65319.52;0;0;0;0;0;86.58;0.00;24435.09
44166120.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
42587900.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
43693240.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
