Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
0.00;1.52;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
0.00;0.97;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
0.00;0.62;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
0.00;0.30;0.00;65319.52;0;0;0;0;0;86.59;0.00;0.00
0.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
0.00;0.00;-1.09;65319.52;0;0;0;0;0;86.58;0.00;0.00
0.00;0.00;-1.10;67496.84;0;0;0;0;0;89.47;0.00;0.00
0.00;0.00;-0.83;67496.84;0;0;0;0;0;89.47;0.00;0.00
0.00;0.00;-0.26;65319.52;0;0;0;0;0;86.58;0.00;0.00
0.00;0.15;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
0.00;1.01;0.00;65319.52;0;0;0;0;0;86.59;0.00;0.00
0.00;1.42;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
