Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
12430800.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
11236960.00;0.00;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
12440920.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
11968760.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
12390320.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
11948520.00;0.00;-13459567.18;65319.52;0;0;0;0;0;86.58;0.00;6870.59
12430800.00;0.00;-14012835.21;67496.84;0;0;0;0;0;89.47;0.00;7153.01
12471280.00;0.00;-14063027.68;67496.84;0;0;0;0;0;89.47;0.00;7178.63
11989000.00;0.00;-13509758.87;65319.52;0;0;0;0;0;86.58;0.00;6896.21
12471280.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
12019360.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
12319480.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
