Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
0.00;0.03;0.00;67496.84;0;0;0;0;0;0.00;25.99;0.00
0.00;0.03;0.00;60964.89;0;0;0;0;0;0.00;23.48;0.00
0.00;0.02;0.00;67496.84;0;0;0;0;0;0.00;25.99;0.00
0.00;0.02;0.00;65319.52;0;0;0;0;0;0.00;25.16;0.00
0.00;0.00;0.00;67496.84;0;0;0;0;0;0.00;25.99;0.00
0.00;0.00;-0.00;65319.52;0;0;0;0;0;0.00;25.16;0.00
0.00;0.00;-0.00;67496.84;0;0;0;0;0;0.00;25.99;0.00
0.00;0.00;-0.00;67496.84;0;0;0;0;0;0.00;25.99;0.00
0.00;0.00;-0.00;65319.52;0;0;0;0;0;0.00;25.16;0.00
0.00;0.01;0.00;67496.84;0;0;0;0;0;0.00;25.99;0.00
0.00;0.02;0.00;65319.52;0;0;0;0;0;0.00;25.16;0.00
0.00;0.00;0.00;67496.84;0;0;0;0;0;0.00;25.99;0.00
