Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
289560.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
259520.00;0.00;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
284960.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
286600.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
291400.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
279240.00;0.00;-314249.39;65319.52;0;0;0;0;0;86.58;0.00;160.41
289560.00;0.00;-326370.59;67496.84;0;0;0;0;0;89.47;0.00;166.60
287720.00;0.00;-324405.19;67496.84;0;0;0;0;0;89.47;0.00;165.60
277400.00;0.00;-312283.98;65319.52;0;0;0;0;0;86.58;0.00;159.41
287720.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
280160.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
290480.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
