Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
6125580.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
5534800.00;0.00;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
6123280.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
5900900.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
6103040.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
5873760.00;0.00;-6613038.79;65319.52;0;0;0;0;0;86.58;0.00;3375.70
6125580.00;0.00;-6900033.54;67496.84;0;0;0;0;0;89.47;0.00;3522.20
6148120.00;0.00;-6927515.30;67496.84;0;0;0;0;0;89.47;0.00;3536.23
5896300.00;0.00;-6640520.32;65319.52;0;0;0;0;0;86.58;0.00;3389.73
6148120.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
5921140.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
6055660.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
