Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
13713920.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
12396560.00;0.00;0.00;60964.89;0;0;0;0;0;80.81;0.00;0.00
13724500.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
13205340.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
13669760.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
13182340.00;0.00;-14851682.29;65319.52;0;0;0;0;0;86.58;0.00;7581.21
13713920.00;0.00;-15458154.75;67496.84;0;0;0;0;0;89.47;0.00;7890.79
13758080.00;0.00;-15511765.02;67496.84;0;0;0;0;0;89.47;0.00;7918.16
13226500.00;0.00;-14905291.65;65319.52;0;0;0;0;0;86.58;0.00;7608.58
13758080.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
13260080.00;0.00;0.00;65319.52;0;0;0;0;0;86.58;0.00;0.00
13592020.00;0.00;0.00;67496.84;0;0;0;0;0;89.47;0.00;0.00
