;id;Name;End Use;Upper End Use;Height;Floors;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Envelope;Lower End Use;Solar technologies;Simulate;TZ info;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone external walls opaque area [m2];Zone external walls glazed area [m2];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Sm3];January electric consumption [MWh];January oil consumption [L];January wood consumption [kg];January Heating Demand [MWh];January Cooling Demand [MWh];February gas consumption [Sm3];February electric consumption [MWh];February oil consumption [L];February wood consumption [kg];February Heating Demand [MWh];February Cooling Demand [MWh];March gas consumption [Sm3];March electric consumption [MWh];March oil consumption [L];March wood consumption [kg];March Heating Demand [MWh];March Cooling Demand [MWh];April gas consumption [Sm3];April electric consumption [MWh];April oil consumption [L];April wood consumption [kg];April Heating Demand [MWh];April Cooling Demand [MWh];May gas consumption [Sm3];May electric consumption [MWh];May oil consumption [L];May wood consumption [kg];May Heating Demand [MWh];May Cooling Demand [MWh];June gas consumption [Sm3];June electric consumption [MWh];June oil consumption [L];June wood consumption [kg];June Heating Demand [MWh];June Cooling Demand [MWh];July gas consumption [Sm3];July electric consumption [MWh];July oil consumption [L];July wood consumption [kg];July Heating Demand [MWh];July Cooling Demand [MWh];August gas consumption [Sm3];August electric consumption [MWh];August oil consumption [L];August wood consumption [kg];August Heating Demand [MWh];August Cooling Demand [MWh];September gas consumption [Sm3];September electric consumption [MWh];September oil consumption [L];September wood consumption [kg];September Heating Demand [MWh];September Cooling Demand [MWh];October gas consumption [Sm3];October electric consumption [MWh];October oil consumption [L];October wood consumption [kg];October Heating Demand [MWh];October Cooling Demand [MWh];November gas consumption [Sm3];November electric consumption [MWh];November oil consumption [L];November wood consumption [kg];November Heating Demand [MWh];November Cooling Demand [MWh];December gas consumption [Sm3];December electric consumption [MWh];December oil consumption [L];December wood consumption [kg];December Heating Demand [MWh];December Cooling Demand [MWh];Total gas consumption [Sm3];Total electric consumption [MWh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [MWh];Total Cooling Demand [MWh]
1;1;Piovego;services;services;12.0;4;1.2;1.25;A-A split;Traditional Gas Boiler, Centralized, Low Temp Radiator;1981-1990;food;ST;True;{'TZ Bd Piovego thermal zone upper End Use': {'Zone volume [m3]': 10058.597534179688, 'Zone net floor area [m2]': 2682.29267578125, 'Number of units [-]': 35.0, 'Zone external walls opaque area [m2]': 1051.5170673477817, 'Zone external walls glazed area [m2]': 150.216723906826, 'Zone opaque heat transfer loss [W/K]': 1434.2545821193585, 'Zone glazed heat transfer loss [W/K]': 555.8018784552561, 'Zone design heating load [kW]': 92.69767532585617, 'Zone design cooling load [kW]': -28.2171538238028}, 'TZ Bd Piovego thermal zone lower End Use': {'Zone volume [m3]': 3352.8658447265625, 'Zone net floor area [m2]': 894.09755859375, 'Number of units [-]': 12.0, 'Zone external walls opaque area [m2]': 350.50568911454565, 'Zone external walls glazed area [m2]': 50.072241302077956, 'Zone opaque heat transfer loss [W/K]': 1508.4326437131092, 'Zone glazed heat transfer loss [W/K]': 185.26729281768843, 'Zone design heating load [kW]': 65.4570897506375, 'Zone design cooling load [kW]': -55.791182596004674}, 'Total': {'Zone volume [m3]': 13411.46337890625, 'Zone net floor area [m2]': 3576.390234375, 'Number of units [-]': 47.0, 'Zone external walls opaque area [m2]': 1402.0227564623274, 'Zone external walls glazed area [m2]': 200.28896520890396, 'Zone opaque heat transfer loss [W/K]': 2942.6872258324674, 'Zone glazed heat transfer loss [W/K]': 741.0691712729445, 'Zone design heating load [kW]': 158.15476507649367, 'Zone design cooling load [kW]': -84.00833641980748}};13411.46337890625;3576.390234375;47.0;1402.0227564623274;200.28896520890396;2942.6872258324674;741.0691712729445;158.15476507649367;-84.00833641980748;20664.412764583598;20.551785665690414;0.0;0.0;162.51962189509118;0.0;17424.891002648517;18.612274672262334;0.0;0.0;137.16978640544085;0.0;15360.629569350023;20.61361251186717;0.0;0.0;121.65316720168286;0.0;10484.221162294483;19.918425235325714;0.0;0.0;83.95975901265659;-0.030502242755764214;2271.019213704042;20.630645070358383;0.0;0.0;20.188354237598805;0.0;5543.634287593039;40.50406906442456;0.0;0.0;46.45846359649888;-44.0060631041976;5327.536976393512;49.111126693904225;0.0;0.0;45.27203720254064;-63.079618331537006;5822.433453919314;50.96380455091569;0.0;0.0;48.57580948222553;-65.8118019713656;5681.805875232263;37.647079474218145;0.0;0.0;46.4618346406565;-36.173873662798215;6753.880723927688;20.630645070358383;0.0;0.0;53.937764993674044;0.0;13668.391579788793;19.9578549376597;0.0;0.0;107.59028455063775;0.0;19391.93049743996;20.574182809533188;0.0;0.0;152.43621862971338;0.0;128394.78710687524;339.71550575651787;0.0;0.0;1026.223101848417;-209.10185931265417
18;18;RB3;residential;residential;10.0;3;1.3;0.8;s4;s19;1981-1990;food;PV,ST;True;{'TZ Bd RB3 thermal zone upper End Use': {'Zone volume [m3]': 2126.3548177083335, 'Zone net floor area [m2]': 797.383056640625, 'Number of units [-]': 10.0, 'Zone external walls opaque area [m2]': 641.0400114669847, 'Zone external walls glazed area [m2]': 91.57714449528352, 'Zone opaque heat transfer loss [W/K]': 755.0860305680444, 'Zone glazed heat transfer loss [W/K]': 338.835434632549, 'Zone design heating load [kW]': 54.976777375119575, 'Zone design cooling load [kW]': -15.308641961439227}, 'TZ Bd RB3 thermal zone lower End Use': {'Zone volume [m3]': 1063.1774088541667, 'Zone net floor area [m2]': 398.6915283203125, 'Number of units [-]': 5.0, 'Zone external walls opaque area [m2]': 320.52000573451846, 'Zone external walls glazed area [m2]': 45.78857224778835, 'Zone opaque heat transfer loss [W/K]': 782.8423844489573, 'Zone glazed heat transfer loss [W/K]': 169.4177173168169, 'Zone design heating load [kW]': 34.681801528067815, 'Zone design cooling load [kW]': -26.206781743112614}, 'Total': {'Zone volume [m3]': 3189.5322265625, 'Zone net floor area [m2]': 1196.0745849609375, 'Number of units [-]': 15.0, 'Zone external walls opaque area [m2]': 961.5600172015031, 'Zone external walls glazed area [m2]': 137.36571674307186, 'Zone opaque heat transfer loss [W/K]': 1537.9284150170017, 'Zone glazed heat transfer loss [W/K]': 508.2531519493659, 'Zone design heating load [kW]': 89.65857890318739, 'Zone design cooling load [kW]': -41.51542370455184}};3189.5322265625;1196.0745849609375;15.0;961.5600172015031;137.36571674307186;1537.9284150170017;508.2531519493659;89.65857890318739;-41.51542370455184;7261.941205644196;7.771014591183594;0.0;0.0;60.35520884278382;0.0;6079.741333651191;7.016511605796875;0.0;0.0;50.58754587681132;0.0;5206.152681263617;7.768622442013672;0.0;0.0;43.644570595208705;0.0;3473.2892635019703;7.518716212998048;0.0;0.0;29.53507354831728;-0.013863155918577844;1080.5433437789898;7.76623029284375;0.0;0.0;10.03677232960186;0.0;1878.6955848215405;16.62422735685731;0.0;0.0;16.903064655137555;-16.069291171483947;1845.184520464497;20.48836066215545;0.0;0.0;16.859859331709213;-23.363757428468173;1975.7815894328246;20.93707996660442;0.0;0.0;17.665713918981933;-23.467902489387;1922.183945082153;15.018396435411654;0.0;0.0;16.769623782484263;-12.677273669898307;2469.3888677246705;7.76623029284375;0.0;0.0;20.895859197803027;0.0;4817.21861188007;7.516324063828126;0.0;0.0;40.081702070440635;0.0;6807.42656903125;7.771014591183594;0.0;0.0;56.54707000649821;0.0;44817.547516276965;133.96272851372024;0.0;0.0;379.88206415577775;-75.59208791515601
19;19;RB4;residential;residential;14.0;4;0.9;2.0;s2;A-W Heat Pump, Single, Fan coil;1981-1990;food;;True;{'TZ Bd RB4 thermal zone upper End Use': {'Zone volume [m3]': 7352.579882812499, 'Zone net floor area [m2]': 1050.3685546875, 'Number of units [-]': 14.0, 'Zone external walls opaque area [m2]': 838.7212501126686, 'Zone external walls glazed area [m2]': 119.81732144466696, 'Zone opaque heat transfer loss [W/K]': 848.1703180717188, 'Zone glazed heat transfer loss [W/K]': 443.32408934526774, 'Zone design heating load [kW]': 106.54890941695322, 'Zone design cooling load [kW]': -35.21691347115904}, 'TZ Bd RB4 thermal zone lower End Use': {'Zone volume [m3]': 2450.8599609375, 'Zone net floor area [m2]': 350.1228515625, 'Number of units [-]': 5.0, 'Zone external walls opaque area [m2]': 279.57375003767777, 'Zone external walls glazed area [m2]': 39.939107148239685, 'Zone opaque heat transfer loss [W/K]': 686.2010022030419, 'Zone glazed heat transfer loss [W/K]': 147.77469644848685, 'Zone design heating load [kW]': 34.294763631991025, 'Zone design cooling load [kW]': -24.418167413082013}, 'Total': {'Zone volume [m3]': 9803.439843749999, 'Zone net floor area [m2]': 1400.49140625, 'Number of units [-]': 19.0, 'Zone external walls opaque area [m2]': 1118.2950001503464, 'Zone external walls glazed area [m2]': 159.75642859290664, 'Zone opaque heat transfer loss [W/K]': 1534.3713202747608, 'Zone glazed heat transfer loss [W/K]': 591.0987857937546, 'Zone design heating load [kW]': 140.84367304894425, 'Zone design cooling load [kW]': -59.63508088424105}};9803.439843749999;1400.49140625;19.0;1118.2950001503464;159.75642859290664;1534.3713202747608;591.0987857937546;140.84367304894425;-59.63508088424105;0.0;37.28233096621231;0.0;0.0;80.71801238492051;0.0;0.0;31.718574995791307;0.0;0.0;67.67936704359852;0.0;0.0;28.57371302629721;0.0;0.0;57.41939520749159;0.0;0.0;20.881137423671927;0.0;0.0;37.46399257778246;-0.008948827126142834;0.0;10.646887211561566;0.0;0.0;9.462182239767234;0.0;0.0;27.70228166002521;0.0;0.0;15.471115372253585;-21.22138150698724;0.0;30.399914668198427;0.0;0.0;15.454079503552522;-27.66279343054936;0.0;32.859448774273275;0.0;0.0;16.161764733859112;-28.81676589703287;0.0;26.533135963097557;0.0;0.0;15.353930291734839;-18.019121210462625;0.0;16.620005283136564;0.0;0.0;25.444143661740732;0.0;0.0;26.58101363027444;0.0;0.0;52.70855089952101;0.0;0.0;35.22470708916326;0.0;0.0;75.21246939338991;0.0;0.0;325.02315069170305;0.0;0.0;468.5490033096119;-95.72901087215823
20;20;TorreArchimede;services;services;24.0;8;0.8;1.2;A-W chiller, Centralized, Fan coil;s14;1981-1990;residential;PV;True;{'TZ Bd TorreArchimede thermal zone upper End Use': {'Zone volume [m3]': 33917.66773624729, 'Zone net floor area [m2]': 9421.574371179804, 'Number of units [-]': 122.0, 'Zone external walls opaque area [m2]': 3616.8691148649045, 'Zone external walls glazed area [m2]': 516.6955878378434, 'Zone opaque heat transfer loss [W/K]': 3524.0428060180657, 'Zone glazed heat transfer loss [W/K]': 1911.7736750000206, 'Zone design heating load [kW]': 269.82486753286463, 'Zone design cooling load [kW]': -87.7895028904014}, 'TZ Bd TorreArchimede thermal zone lower End Use': {'Zone volume [m3]': 4845.381105178185, 'Zone net floor area [m2]': 1345.9391958828292, 'Number of units [-]': 17.0, 'Zone external walls opaque area [m2]': 516.6955879871653, 'Zone external walls glazed area [m2]': 73.8136554267379, 'Zone opaque heat transfer loss [W/K]': 2263.392009475395, 'Zone glazed heat transfer loss [W/K]': 273.1105250789303, 'Zone design heating load [kW]': 126.74457251348447, 'Zone design cooling load [kW]': -35.485172296947795}, 'Total': {'Zone volume [m3]': 38763.04884142548, 'Zone net floor area [m2]': 10767.513567062633, 'Number of units [-]': 139.0, 'Zone external walls opaque area [m2]': 4133.56470285207, 'Zone external walls glazed area [m2]': 590.5092432645813, 'Zone opaque heat transfer loss [W/K]': 5787.4348154934605, 'Zone glazed heat transfer loss [W/K]': 2184.884200078951, 'Zone design heating load [kW]': 396.5694400463491, 'Zone design cooling load [kW]': -123.27467518734919}};38763.04884142548;10767.513567062633;139.0;4133.56470285207;590.5092432645813;5787.4348154934605;2184.884200078951;396.5694400463491;-123.27467518734919;42468.699888300645;13.266888111633525;0.0;0.0;321.1440113574331;0.0;35459.26350171305;12.175864458764174;0.0;0.0;268.1315400977018;0.0;30068.849052738376;13.502898549631578;0.0;0.0;227.34414120628193;0.0;19315.25348963783;12.955660324676643;0.0;0.0;146.00122410970974;0.0;704.6868999937071;13.58156869563093;0.0;0.0;5.216098413587903;0.0;5695.709979097231;52.858315441885495;0.0;0.0;42.97487082949029;-61.00072619841827;5247.209499453088;61.00288355138297;0.0;0.0;39.578449673972145;-82.36923588076286;5942.024787672332;69.2771322433231;0.0;0.0;44.83444707896388;-90.9656534359777;5836.312703456524;50.64321600769016;0.0;0.0;44.03847372783933;-53.05481603138477;10733.996682767616;13.58156869563093;0.0;0.0;81.0837816466665;0.0;26904.105935760643;13.113000616675345;0.0;0.0;203.40783193768914;0.0;39579.250227117984;13.345558257632874;0.0;0.0;299.2864901161357;0.0;227955.36264770903;339.3045549545578;0.0;0.0;1723.0413601954715;-287.3904315465436
21;21;Dicea;services;services;3.0;12;1.0;0.7;A-A split;Condensing Gas Boiler, Centralized, High Temp Radiator;1981-1990;;ST;True;{'TZ Bd Dicea thermal zone single End Use': {'Zone volume [m3]': 7655.95818110945, 'Zone net floor area [m2]': 43748.33246348258, 'Number of units [-]': 568.0, 'Zone external walls opaque area [m2]': 1294.5778085612642, 'Zone external walls glazed area [m2]': 184.93968693732347, 'Zone opaque heat transfer loss [W/K]': 9031.14932226782, 'Zone glazed heat transfer loss [W/K]': 684.2768416680967, 'Zone design heating load [kW]': 345.60776564567306, 'Zone design cooling load [kW]': -559.9933368397938}, 'Total': {'Zone volume [m3]': 7655.95818110945, 'Zone net floor area [m2]': 43748.33246348258, 'Number of units [-]': 568.0, 'Zone external walls opaque area [m2]': 1294.5778085612642, 'Zone external walls glazed area [m2]': 184.93968693732347, 'Zone opaque heat transfer loss [W/K]': 9031.14932226782, 'Zone glazed heat transfer loss [W/K]': 684.2768416680967, 'Zone design heating load [kW]': 345.60776564567306, 'Zone design cooling load [kW]': -559.9933368397938}};7655.95818110945;43748.33246348258;568.0;1294.5778085612642;184.93968693732347;9031.14932226782;684.2768416680967;345.60776564567306;-559.9933368397938;108098.91551483583;59.04639542562184;0.0;0.0;863.8812115774135;0.0;91328.18332475556;54.22779882899155;0.0;0.0;730.4283475986831;0.0;82627.51761268456;60.14229115383208;0.0;0.0;664.0979050970042;0.0;57029.003881376586;57.683728944125136;0.0;0.0;462.33651557827847;0.0;299.8763955277928;60.50758972990216;0.0;0.0;13.249670950940832;0.0;22224.817620913927;161.19896511676473;0.0;0.0;188.96041941788386;-209.5453830649094;20022.19517166489;187.6280523668883;0.0;0.0;172.800567690303;-285.11737917297296;23217.181866833114;211.72190925643983;0.0;0.0;197.20790343530604;-326.9518184697562;23193.15172841596;146.41936646211036;0.0;0.0;193.84841157064247;-174.792947698933;30385.111126251115;60.50758972990216;0.0;0.0;247.5987737096701;0.0;70070.0694325984;58.4143260962653;0.0;0.0;561.0711340373332;0.0;101327.55448104952;59.41169400169193;0.0;0.0;809.6564711065589;0.0;629823.5781569072;1176.9097071125354;0.0;0.0;5105.137331770018;-996.4075284065716
