hour;fromstate;wd_to_state1;wd_to_state2;wd_to_state3;we_to_state1;we_to_state2;we_to_state3;holidays;;ve_onoff;ve_supp_t_h_celsius;ve_supp_t_c_celsius;ve_supp_sh_h_kgkg;ve_supp_sh_c_kgkg;cooling_sp_celsius;heating_sp_celsius;hum_sp_pc;dehum_sp_pc;infiltration_ach;;cold_water_temp_celsius;hot_water_temp_celsius;hp_cop;df_supp_temp_celsius;raditor_in_temp_celsius;radiator_out_temp_celsius;elec_pow_fac;substation_voltage_a_volt;susbtation_voltage_phase_angle_deg;;System Convective Fraction;AHU humidity control;AHU sensible heat recovery;AHU latent heat recovery;Outdoor Air Ratio;DomesticHotWater calculation;Appliances calculation;;tag
14;2;0.32699;0.42525;0.247761;0.134415;0.399524;0.466061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;3;0.364096;0.0213321;0.614572;0.285335;0.00855823;0.706107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1;0.796227;0.00118198;0.202591;0.73373;0.00199168;0.264279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;2;0.255829;0.29371;0.450461;0.0680857;0.505764;0.42615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;3;0.263923;0.00839288;0.727684;0.192788;0.0101811;0.797031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;1;0.701759;0.000881916;0.297359;0.686752;0.00183232;0.311416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;2;0.0807468;0.51497;0.404283;0.0671174;0.402584;0.530298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;3;0.232654;0.00458777;0.762758;0.190066;0.00799115;0.801943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;0.609617;0.00201;0.388373;0.652181;0.00361126;0.344208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;2;0.18679;0.241315;0.571896;0.126955;0.375071;0.497974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;3;0.228587;0.00619333;0.76522;0.157797;0.0163176;0.825885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;1;0.657932;0.000180672;0.341888;0.601183;0.000336624;0.398481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;2;0.429041;0.00788574;0.563073;0.0545889;0.377769;0.567642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;3;0.21874;0.0004811;0.780779;0.111301;0.00182083;0.886878;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;0.668875;0.00433609;0.326789;0.712537;0.00162031;0.285843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;2;0.084497;0.217245;0.698258;0.0388059;0.260038;0.701156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;3;0.132254;0.00537228;0.862373;0.0923453;0.00737225;0.900282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;1;0.664024;0.00460967;0.331366;0.686147;0.00356043;0.310292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;2;0.0104588;0.662024;0.327517;0.0824882;0.542144;0.375368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;3;0.0596419;0.0163836;0.923974;0.060054;0.0178475;0.922099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;1;0.656296;0.0277026;0.316001;0.659341;0.0272636;0.313396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;2;0.0132318;0.637718;0.34905;0.0295417;0.71133;0.259128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;3;0.0560466;0.109475;0.834479;0.0523936;0.107907;0.839699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;1;0.562542;0.166351;0.271107;0.658651;0.0925129;0.248836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;2;0.00773554;0.823946;0.168319;0.00513088;0.769272;0.225597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;3;0.0271548;0.454486;0.518359;0.027147;0.341936;0.630917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;1;0.595168;0.195441;0.209391;0.658795;0.161041;0.180164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;2;0.00255926;0.923779;0.0736619;0.00131621;0.919666;0.0790177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;3;0.0103772;0.649869;0.339754;0.0158406;0.524801;0.459359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
