,1,2,3,4,5,6,7,8,9,10,11,12
temp_air,11.1,13.4,18.2,22.5,25.6,30.8,33.6,31.0,26.6,22.6,17.4,10.7
temp_dew,10.2,9.0,12.6,14.8,20.3,24.0,25.1,26.0,22.0,17.1,14.1,10.0
relative_humidity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
wind_speed,11.0,10.0,10.0,15.0,14.0,7.0,10.0,10.0,12.0,6.0,14.0,14.0
