,1,2,3,4,5,6,7,8,9,10,11,12
temp_air,-5.8,-5.2,-1.8,2.4,7.0,14.0,14.6,15.4,10.5,3.6,-1.0,-4.2
temp_dew,-13.8,-8.3,-4.6,-2.3,6.0,9.4,4.7,11.1,4.9,0.2,-2.8,-10.9
relative_humidity,26.0,39.0,29.0,36.0,45.0,37.0,31.0,45.0,34.0,31.0,46.0,32.0
wind_speed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
