;NUMERO;NUME_E_S;DESCRZ;LIVCOD;DATA_CRE;SUPERFIC;PERIMETR;QUOTABAS;QUOTAGRO;QUOTACOL;ID_UNIVOCO;STDMC_2021;tCO2__2021;STDMC_1999;tCO2__1999;id;Name;Floors;End Use;Envelope;Height;ExtWallCoeff;VolCoeff;Cooling System;Heating System;field_12;field_13;field_14;field_15;field_16;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg]
31_0;5601;126152;edificio civile;0101;19970430;1196.48;160.98;0.0;0.0;0.0;01_046;26697.0;52.966848;0.0;0.0;31;01_046;4;Residential;45-76;12;True;True;A-A split;Traditional Gas Boiler, Centralized, High Temp Radiator;;;;;;True;14357.765625;4785.921875;62;4842.254542106508;1088.4531815185615;312.39604789281475;-136.89356991527026;18923.11898973816;3119257.290943236;0.0;0.0;15593.100868270853;2817393.682142278;0.0;0.0;11901.637639795339;3122873.1566026597;0.0;0.0;3447.350829674357;3020763.304472245;0.0;0.0;0.0;3119257.290943236;0.0;0.0;0.014052836385103133;5279471.998699878;0.0;0.0;0.009414879896621814;9135737.43272708;0.0;0.0;0.010018861876051997;5515632.548512097;0.0;0.0;0.0;3018636.0880095833;0.0;0.0;4135.67032649309;3120038.5470262403;0.0;0.0;11684.953487068977;3018636.0880095833;0.0;0.0;17479.88507727311;3117031.3971646708;0.0;0.0;83165.75070489204;47404728.82525279;0.0;0.0
77_0;5726;126152;edificio civile;0101;19970430;238.43;77.61;0.0;0.0;0.0;01_126;7845.0;15.56448;0.0;0.0;77;01_126;4;Residential;<45;12;True;True;A-A split;Traditional Gas Boiler, Centralized, High Temp Radiator;;;;;;True;2861.1328125;953.7109375;12;2938.0097577500073;629.6374377386055;139.79130729087993;-43.63949400543888;7670.1207188159615;945263.1566278837;0.0;0.0;6256.89506486517;853786.0769542175;0.0;0.0;4535.409909351229;954589.1290298386;0.0;0.0;1287.2521355245167;928843.3474545374;0.0;0.0;0.0;945263.1566278837;0.0;0.0;0.022864607905524005;2657920.2507795743;0.0;0.0;0.08120378164076852;4997165.319700677;0.0;0.0;0.11850203250923264;3278457.1693707146;0.0;0.0;0.021779137863658826;1036849.2788524223;0.0;0.0;1582.2728225764054;949795.7297264407;0.0;0.0;4776.111621532193;914770.7967366616;0.0;0.0;7126.559491962278;944602.069458926;0.0;0.0;33234.866114187666;19407305.481319774;0.0;0.0
