,1,2,3,4,5,6,7,8,9,10,11,12
temp_air,13.21,16.0,18.84,23.04,28.94,36.99,35.68,37.43,27.0,23.73,17.13,9.21
temp_dew,9.88,10.39,12.48,14.82,19.92,21.99,22.29,22.6,19.15,16.83,13.89,7.32
relative_humidity,99.95,100.0,99.95,99.95,99.85,99.2,97.45,98.0,99.65,99.9,99.95,99.95
wind_speed,6.0,5.4,9.9,8.1,6.6,6.6,5.4,4.9,5.8,8.9,6.0,6.6
