,1,2,3,4,5,6,7,8,9,10,11,12
temp_air,-3.28,-1.16,-1.96,6.7,7.52,13.85,12.76,17.01,9.68,2.49,-1.64,-10.44
temp_dew,-7.08,-1.29,-12.85,4.83,4.57,9.32,6.64,8.93,1.89,-0.43,-6.71,-11.21
relative_humidity,40.2,43.9,35.4,30.75,30.95,22.15,26.3,19.55,28.7,43.15,36.6,40.25
wind_speed,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
