,1,2,3,4,5,6,7,8,9,10,11,12
ghi,51933.0,62010.0,107795.0,125090.0,184012.0,216407.0,226816.0,187122.0,147402.0,83261.0,44694.0,39394.0
dni,94066.75,77246.31,110231.24,116567.18,170536.92,204748.39,231613.1,189255.33,173489.02,95656.04,55602.15,76666.82
dhi,23049.0,31386.0,49846.0,54946.0,68937.0,74801.0,68610.0,65558.0,50996.0,39536.0,25784.0,19918.0
