;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;26.6933;25.9196;19.3000;1.6028;0.8438;843.7530;0.0003;0.0005;0.1165
1;26.6008;25.9457;18.9000;1.6028;0.8438;843.7530;0.0003;0.0005;0.1098
2;26.5675;25.9666;18.8000;1.6028;0.8438;843.7530;0.0000;0.0028;0.6401
3;26.5308;26.0185;18.9000;1.6028;0.8438;843.7530;0.0001;0.0048;1.0952
4;26.5017;26.2544;18.4000;1.6028;0.8438;843.7530;0.0027;0.2100;48.1842
5;26.4933;26.2936;18.4000;1.6028;0.8438;843.7530;0.0093;0.6156;141.2853
6;26.5442;26.4438;18.6000;1.6028;0.8438;843.7530;0.0165;0.5694;130.6754
7;26.6667;26.5466;19.2000;1.6028;0.8438;843.7530;0.0166;0.6512;149.4426
8;26.7525;26.9909;19.8000;1.6028;0.8438;843.7530;0.0065;0.0977;22.4323
9;26.8233;26.7992;20.8000;1.6028;0.8438;843.7530;0.0231;1.1524;264.4859
10;26.8792;26.9918;22.1000;1.6028;0.8438;843.7530;0.0617;1.4687;337.0718
11;26.7642;26.6736;22.5000;1.6028;0.8438;843.7530;0.0581;3.6042;827.1690
12;26.7100;26.7517;24.4000;1.6028;0.8438;843.7530;0.2103;7.1347;1637.4245
13;26.7417;26.9644;24.5000;1.6028;0.8438;843.7530;0.2724;6.2345;1430.8161
14;26.8342;26.8419;25.4000;1.6028;0.8438;843.7530;0.1841;13.4729;3092.0227
15;26.9208;26.7017;25.3000;1.6028;0.8438;843.7530;0.1566;17.2315;3954.6259
16;26.9858;27.1031;25.6000;1.6028;0.8438;843.7530;0.1672;13.7622;3158.4272
17;27.2717;28.6521;25.1000;1.6028;0.8438;843.7530;0.1159;0.0416;9.5421
18;27.6442;27.9464;25.1000;1.6028;0.8438;843.7530;0.0957;4.1477;951.8871
19;27.8008;27.7270;24.7000;1.6028;0.8438;843.7530;0.0062;4.4412;1019.2633
20;27.7142;28.0545;25.7000;1.6028;0.8438;843.7530;0.0500;3.5963;825.3613
21;27.3600;27.7415;24.6000;1.6028;0.8438;843.7530;0.1015;3.9312;902.2080
22;27.3192;27.3905;23.2000;1.6028;0.8438;843.7530;0.0165;3.6810;844.7932
23;27.2292;27.4036;22.6000;1.6028;0.8438;843.7530;0.0337;2.7741;636.6664
0;27.1325;26.9785;21.8000;1.0146;0.5244;524.4158;0.0022;0.2525;57.9440
1;27.0525;26.9466;20.9000;1.0146;0.5244;524.4158;0.0021;0.1998;45.8578
2;26.9817;26.9129;20.1000;1.0146;0.5244;524.4158;0.0002;0.1184;27.1637
3;26.9491;26.7774;19.7000;1.0146;0.5244;524.4158;0.0035;0.3327;76.3581
4;26.9225;26.8637;19.5000;1.0146;0.5244;524.4158;0.0051;0.4931;113.1702
