;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;26.6483;25.7883;19.3000;2.2381;0.9969;996.8642;0.0000;0.0000;0.0000
1;26.6217;25.9522;18.9000;2.2381;0.9969;996.8642;0.0000;0.0000;0.0000
2;26.5925;26.0129;18.8000;2.2381;0.9969;996.8642;0.0000;0.0000;0.0000
3;26.5683;26.0883;18.9000;2.2381;0.9969;996.8642;0.0000;0.0000;0.0000
4;26.5525;26.2679;18.4000;2.2381;0.9969;996.8642;0.0000;0.0000;0.0000
5;26.5567;26.4134;18.4000;2.2381;0.9969;996.8642;0.0008;0.0347;5.7151
6;26.5533;26.4665;18.6000;2.2381;0.9969;996.8642;0.0063;0.1688;27.8072
7;26.6242;26.6468;19.2000;2.2381;0.9969;996.8642;0.0036;0.0629;10.3566
8;26.7175;26.7618;19.8000;2.2381;0.9969;996.8642;0.0090;0.1749;28.8136
9;26.7800;26.8248;20.8000;2.2381;0.9969;996.8642;0.0213;0.6023;99.1976
10;26.8608;26.9164;22.1000;2.2381;0.9969;996.8642;0.0432;1.2706;209.2606
11;26.9508;26.8912;22.5000;2.2381;0.9969;996.8642;0.0559;2.1481;353.7981
12;27.1475;27.7420;24.4000;2.2381;0.9969;996.8642;0.0000;0.0000;0.0000
13;27.4325;27.4347;24.5000;2.2381;0.9969;996.8642;0.0476;2.7707;456.3401
14;27.5483;27.5352;25.4000;2.2381;0.9969;996.8642;0.0676;4.1137;677.5299
15;27.5383;27.4897;25.3000;2.2381;0.9969;996.8642;0.0788;5.1178;842.9007
16;27.4617;27.5128;25.6000;2.2381;0.9969;996.8642;0.1207;6.1915;1019.7453
17;27.8775;27.9406;25.1000;2.2381;0.9969;996.8642;0.0387;1.9041;313.6021
18;27.9342;28.0578;25.1000;2.2381;0.9969;996.8642;0.0371;1.6632;273.9347
19;27.6750;27.8907;24.7000;2.2381;0.9969;996.8642;0.1076;2.5190;414.8857
20;27.4742;27.9991;25.7000;2.2381;0.9969;996.8642;0.1948;3.3016;543.7755
21;27.2983;27.5206;24.6000;2.2381;0.9969;996.8642;0.1106;5.0423;830.4724
22;27.1617;27.3532;23.2000;2.2381;0.9969;996.8642;0.0949;3.7538;618.2466
23;27.0783;27.6845;22.6000;2.2381;0.9969;996.8642;0.1081;1.8827;310.0726
0;26.9900;26.9154;21.8000;1.3053;0.5614;561.3899;0.0194;0.5641;92.9097
1;26.9308;26.8705;20.9000;1.3053;0.5614;561.3899;0.0200;0.4758;78.3624
2;26.9238;26.9060;20.1000;1.3053;0.5614;561.3899;0.0072;0.2400;39.5262
3;26.9218;26.8845;19.7000;1.3053;0.5614;561.3899;0.0052;0.2669;43.9584
4;26.8700;26.8475;19.5000;1.3053;0.5614;561.3899;0.0071;0.5336;87.8854
5;26.8567;26.8342;20.4000;1.3053;0.5614;561.3899;0.0107;0.8480;139.6688
6;26.8717;26.8454;20.7000;1.3053;0.5614;561.3899;0.0130;0.9321;153.5174
7;26.9117;26.8822;21.1000;1.3053;0.5614;561.3899;0.0134;1.0791;177.7301
8;26.9267;26.8940;21.0000;1.3053;0.5614;561.3899;0.0176;1.2943;213.1753
9;26.9983;26.9628;20.5000;1.3053;0.5614;561.3899;0.0223;1.2515;206.1187
10;27.0625;27.0193;21.9000;1.3053;0.5614;561.3899;0.0042;2.0962;345.2444
11;27.2008;27.1500;22.7000;1.3053;0.5614;561.3899;0.0469;2.6640;438.7644
12;27.3958;27.3444;23.9000;1.3053;0.5614;561.3899;0.0096;3.3720;555.3763
13;27.8425;27.7446;25.6000;1.3053;0.5614;561.3899;0.0592;4.6413;764.4276
14;28.0233;27.9206;25.1000;1.3053;0.5614;561.3899;0.0308;2.9630;488.0061
15;28.0858;27.8756;27.0000;1.3053;0.5614;561.3899;0.1876;14.3418;2362.0955
16;28.1208;28.7504;26.7000;1.3053;0.5614;561.3899;0.1912;0.0000;0.0000
17;28.0833;28.4353;27.6000;1.3053;0.5614;561.3899;0.4104;9.3321;1536.9998
18;28.0892;28.0242;26.6000;1.3053;0.5614;561.3899;0.1067;9.2547;1524.2491
19;27.9127;27.9081;25.0000;1.3053;0.5614;561.3899;0.0549;4.2731;703.7740
20;27.6867;27.6869;23.3000;1.3053;0.5614;561.3899;0.0316;3.0062;495.1175
21;27.4750;27.4815;22.6000;1.3053;0.5614;561.3899;0.0372;2.9087;479.0577
22;27.3450;27.3517;21.3000;1.3053;0.5614;561.3899;0.0231;2.2085;363.7359
23;27.2508;27.2599;20.4000;1.3053;0.5614;561.3899;0.0230;1.7982;296.1657
0;27.1767;27.1362;19.9000;0.8464;0.5412;541.2490;0.0014;0.0000;0.0000
1;27.1275;27.0575;19.2000;0.8464;0.5412;541.2490;0.0059;0.1232;20.2934
2;27.0875;27.0370;18.6000;0.8464;0.5412;541.2490;0.0020;0.0784;12.9082
3;27.0325;26.9772;17.9000;0.8464;0.5412;541.2490;0.0057;0.1420;23.3944
4;26.9842;26.9777;17.6000;0.8464;0.5412;541.2490;0.0411;0.5360;88.2798
5;26.9625;26.9595;17.0000;0.8464;0.5412;541.2490;0.0140;0.7376;121.4899
6;26.9708;26.9612;17.1000;0.8464;0.5412;541.2490;0.0128;0.8514;140.2179
7;26.9783;26.9670;17.7000;0.8464;0.5412;541.2490;0.0131;0.9153;150.7564
8;27.0554;27.0414;18.6000;0.8464;0.5412;541.2490;0.0136;1.0613;174.7981
9;27.0992;27.0907;19.4000;0.8464;0.5412;541.2490;0.0234;1.4213;234.0893
10;27.1275;27.1332;20.5000;0.8464;0.5412;541.2490;0.0369;2.1248;349.9497
11;27.2233;27.2174;21.6000;0.8464;0.5412;541.2490;0.0438;2.9962;493.4767
12;27.4308;27.4276;22.8000;0.8464;0.5412;541.2490;0.0569;3.7353;615.2037
13;27.8050;27.7916;23.8000;0.8464;0.5412;541.2490;0.0484;3.6224;596.6164
14;28.2092;28.2004;24.9000;0.8464;0.5412;541.2490;0.0479;3.6822;606.4550
15;28.4518;28.4237;26.0000;0.8464;0.5412;541.2490;0.0599;4.8167;793.3070
16;28.5875;28.5232;26.3000;0.8464;0.5412;541.2490;0.0755;5.0821;837.0266
17;28.7342;28.6071;27.2000;0.8464;0.5412;541.2490;0.1289;7.7942;1283.6988
18;28.5800;28.5491;27.1000;0.8464;0.5412;541.2490;0.2352;8.0913;1332.6368
19;28.2500;28.1900;26.1000;0.8464;0.5412;541.2490;0.2321;7.1443;1176.6698
20;27.7692;27.6860;25.4000;0.8464;0.5412;541.2490;0.0425;8.4432;1390.6029
21;27.4942;27.4094;23.9000;0.8464;0.5412;541.2490;0.0937;5.3579;882.4492
22;27.5658;27.4179;23.0000;0.8464;0.5412;541.2490;0.0860;3.3843;557.4001
23;27.5008;28.3219;22.5000;0.8464;0.5412;541.2490;0.0066;0.0000;0.0000
0;27.4067;27.4068;22.3000;1.4362;0.7194;719.4473;0.3250;5.3773;885.6413
1;27.3375;27.3375;22.3000;1.4362;0.7194;719.4473;0.0877;4.8066;791.6407
2;27.2758;27.2758;21.6000;1.4362;0.7194;719.4473;0.0523;3.9165;645.0503
3;27.2250;27.2250;21.1000;1.4362;0.7194;719.4473;0.0406;3.3625;553.8055
4;27.1650;27.1650;20.5000;1.4362;0.7194;719.4473;0.0415;3.3101;545.1665
5;27.1317;27.1317;20.0000;1.4362;0.7194;719.4473;0.0445;2.9762;490.1768
6;27.1283;27.1283;20.0000;1.4362;0.7194;719.4473;0.0489;2.8961;476.9935
7;27.1125;27.1125;19.8000;1.4362;0.7194;719.4473;0.0064;2.6961;444.0545
8;27.1533;27.1533;20.4000;1.4362;0.7194;719.4473;0.0062;2.8554;470.2790
9;27.2467;27.2467;21.2000;1.4362;0.7194;719.4473;0.0061;3.1639;521.0975
10;27.0017;27.0017;22.1000;1.4362;0.7194;719.4473;0.0548;5.0345;829.1754
11;27.0800;27.0800;22.2000;1.4362;0.7194;719.4473;0.0537;4.9339;812.6098
12;27.4242;27.4242;22.9000;1.4362;0.7194;719.4473;0.0450;4.5392;747.6020
13;27.6308;27.6308;22.9000;1.4362;0.7194;719.4473;0.0359;3.6980;609.0653
14;27.9558;27.9558;23.0000;1.4362;0.7194;719.4473;0.0244;2.6285;432.9122
15;27.8008;27.8008;23.7000;1.4362;0.7194;719.4473;0.0346;4.0279;663.4006
16;27.5975;27.5975;22.9000;1.4362;0.7194;719.4473;0.0378;3.9752;654.7212
17;27.5775;27.5775;22.6000;1.4362;0.7194;719.4473;0.0348;3.5053;577.3252
18;27.5158;27.5158;22.1000;1.4362;0.7194;719.4473;0.0333;3.1327;515.9479
19;27.6183;27.6183;21.8000;1.4362;0.7194;719.4473;0.0293;2.3639;389.3321
20;27.5108;27.5108;22.3000;1.4362;0.7194;719.4473;0.0066;2.8511;469.5833
21;27.3383;27.3383;22.2000;1.4362;0.7194;719.4473;0.0054;3.1460;518.1455
22;27.2217;27.2217;21.1000;1.4362;0.7194;719.4473;0.0076;2.5397;418.2894
23;26.9367;26.9367;20.1000;1.4362;0.7194;719.4473;0.0123;2.5584;421.3696
0;26.8836;26.7063;19.6000;1.7074;0.7222;722.2089;0.0010;0.1940;31.9494
1;27.0275;26.8319;18.9000;1.7074;0.7222;722.2089;0.0005;0.0199;3.2825
2;26.9025;26.8249;18.4000;1.7074;0.7222;722.2089;0.0007;0.0440;7.2396
3;26.6217;26.6215;17.3000;1.7074;0.7222;722.2089;0.0037;0.3155;51.9611
4;26.4083;26.4387;16.5000;1.7074;0.7222;722.2089;0.0107;0.7444;122.6107
5;26.1909;26.2508;15.9000;1.7074;0.7222;722.2089;0.0188;1.0744;176.9522
6;26.4067;26.4768;16.3000;1.7074;0.7222;722.2089;0.0127;0.8035;132.3315
7;26.4283;26.4303;16.9000;1.7074;0.7222;722.2089;0.0148;1.0309;169.7972
8;26.2267;26.2949;18.0000;1.7074;0.7222;722.2089;0.0242;1.5913;262.0845
9;26.3967;26.4831;19.2000;1.7074;0.7222;722.2089;0.0223;1.6954;279.2308
10;26.0742;26.1266;19.6000;1.7074;0.7222;722.2089;0.0346;3.0515;502.5877
11;26.4742;26.4539;20.6000;1.7074;0.7222;722.2089;0.0335;2.8100;462.8027
12;26.7958;26.7612;22.2000;1.7074;0.7222;722.2089;0.0431;3.4554;569.1095
13;27.0083;26.9193;23.1000;1.7074;0.7222;722.2089;0.0426;4.1137;677.5327
14;27.3192;27.1708;23.8000;1.7074;0.7222;722.2089;0.0424;4.1662;686.1796
15;27.6342;26.8782;24.0000;1.7074;0.7222;722.2089;0.0681;6.8062;1120.9815
16;27.9458;27.0496;24.5000;1.7074;0.7222;722.2089;0.0727;6.5579;1080.0817
17;28.0908;27.4917;25.8000;1.7074;0.7222;722.2089;0.0811;6.5214;1074.0706
18;27.9908;27.6083;26.2000;1.7074;0.7222;722.2089;0.0862;7.3412;1209.1011
19;27.7617;27.5979;26.2000;1.7074;0.7222;722.2089;0.0985;7.6549;1260.7640
20;27.5433;28.1538;24.8000;1.7074;0.7222;722.2089;0.0047;0.3319;54.6633
21;27.3775;27.9766;24.3000;1.7074;0.7222;722.2089;0.0197;1.2776;210.4243
22;27.2333;27.5044;23.3000;1.7074;0.7222;722.2089;0.0441;2.6603;438.1533
23;27.0417;27.1932;22.5000;1.7074;0.7222;722.2089;0.0522;3.0624;504.3767
0;27.0383;26.8220;21.8000;1.7976;0.8414;841.3594;0.0000;0.0000;0.0001
1;27.0658;26.9215;21.2000;1.7976;0.8414;841.3594;0.0000;0.0001;0.0090
2;27.0667;26.9423;20.4000;1.7976;0.8414;841.3594;0.0000;0.0000;0.0076
3;26.9933;26.9415;19.3000;1.7976;0.8414;841.3594;0.0004;0.0218;3.5903
4;26.9592;26.9277;18.9000;1.7976;0.8414;841.3594;0.0098;0.4078;67.1713
5;26.8275;26.7914;18.5000;1.7976;0.8414;841.3594;0.0209;0.8949;147.3943
6;26.8342;26.8018;19.1000;1.7976;0.8414;841.3594;0.0351;1.1339;186.7548
7;26.9009;26.8753;20.0000;1.7976;0.8414;841.3594;0.0553;1.2969;213.6060
8;26.9482;26.8814;20.7000;1.7976;0.8414;841.3594;0.0887;1.7047;280.7604
9;27.2125;27.7498;21.7000;1.7976;0.8414;841.3594;0.0001;0.0000;0.0000
10;27.1867;27.1997;22.7000;1.7976;0.8414;841.3594;0.0839;2.9860;491.7893
11;27.2342;27.2418;23.3000;1.7976;0.8414;841.3594;0.0693;3.8878;640.3266
