;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;27.4383;26.2532;19.3000;2.0894;0.8605;860.4844;0.0000;0.0000;0.0000
1;27.4667;26.4790;18.9000;2.0894;0.8605;860.4844;0.0000;0.0000;0.0000
2;27.4867;26.5293;18.8000;2.0894;0.8605;860.4844;0.0000;0.0000;0.0000
3;27.4733;26.6032;18.9000;2.0894;0.8605;860.4844;0.0000;0.0000;0.0000
4;27.5050;27.2429;18.4000;2.0894;0.8605;860.4844;0.0000;0.0020;0.3062
5;27.5217;27.3653;18.4000;2.0894;0.8605;860.4844;0.0122;0.9343;141.2616
6;27.7642;27.6074;18.6000;2.0894;0.8605;860.4844;0.0259;1.4847;224.4930
7;28.2767;28.3054;19.2000;2.0894;0.8605;860.4844;0.0349;1.0686;161.5686
8;28.6367;28.7753;19.8000;2.0894;0.8605;860.4844;0.0450;1.3797;208.6076
9;29.1025;29.2287;20.8000;2.0894;0.8605;860.4844;0.0375;1.5490;234.2122
10;29.7625;30.2318;22.1000;2.0894;0.8605;860.4844;0.0115;0.4092;61.8684
11;29.9633;30.1070;22.5000;2.0894;0.8605;860.4844;0.0425;1.2138;183.5248
12;29.9367;29.9785;24.4000;2.0894;0.8605;860.4844;0.0673;2.6963;407.6862
13;29.8450;29.7862;24.5000;2.0894;0.8605;860.4844;0.0428;3.6762;555.8478
14;29.6992;29.5993;25.4000;2.0894;0.8605;860.4844;0.0542;5.6579;855.4727
15;29.5483;29.4885;25.3000;2.0894;0.8605;860.4844;0.0954;5.8734;888.0514
16;29.3992;29.3219;25.6000;2.0894;0.8605;860.4844;0.0961;7.1198;1076.5140
17;28.5308;28.4944;25.1000;2.0894;0.8605;860.4844;0.1553;10.8499;1640.5017
18;27.5950;27.3584;25.1000;2.0894;0.8605;860.4844;0.4483;22.2052;3357.4248
19;28.3250;28.8410;24.7000;2.0894;0.8605;860.4844;0.6245;5.6391;852.6316
20;28.3392;30.5158;25.7000;2.0894;0.8605;860.4844;0.0014;0.0133;2.0101
