;Height;Floors;End Use;Envelope;id;Name;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Cooling System 2;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];January gas consumption [Nm3];January electric consumption [Wh];January oil consumption [L];January wood consumption [kg];January Heating Demand [Wh];January Cooling Demand [Wh];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];February Heating Demand [Wh];February Cooling Demand [Wh];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];March Heating Demand [Wh];March Cooling Demand [Wh];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];April Heating Demand [Wh];April Cooling Demand [Wh];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];May Heating Demand [Wh];May Cooling Demand [Wh];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];June Heating Demand [Wh];June Cooling Demand [Wh];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];July Heating Demand [Wh];July Cooling Demand [Wh];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];August Heating Demand [Wh];August Cooling Demand [Wh];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];September Heating Demand [Wh];September Cooling Demand [Wh];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];October Heating Demand [Wh];October Cooling Demand [Wh];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];November Heating Demand [Wh];November Cooling Demand [Wh];December gas consumption [Nm3];December electric consumption [Wh];December oil consumption [L];December wood consumption [kg];December Heating Demand [Wh];December Cooling Demand [Wh];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg];Total Heating Demand [Wh];Total Cooling Demand [Wh]
131991876;8.52;2;residential;Before 1930;131991876;Bd131991876;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;611.0437499999999;143.4375;2;989.2442469961666;222.66691624112767;44.47914405521206;-10.586658210355582;0.0;74257.59375;0.0;0.0;14691065.6687003;0.0;0.0;67071.375;0.0;0.0;8868320.069243345;0.0;0.0;74257.59375;0.0;0.0;6956803.759603722;0.0;0.0;71862.1875;0.0;0.0;1062708.8375825319;0.0;0.0;74257.59375;0.0;0.0;248275.12953545398;0.0;0.0;71862.1875;0.0;0.0;240266.25438914902;-2811323.2361182366;0.0;74257.59375;0.0;0.0;248275.12953545398;-5898596.87564092;0.0;74257.59375;0.0;0.0;248275.12953545398;-5824456.004173121;0.0;71862.1875;0.0;0.0;240266.25438914902;-2133316.835946305;0.0;74257.59375;0.0;0.0;2553276.743284328;0.0;0.0;71862.1875;0.0;0.0;7675642.405285437;0.0;0.0;74257.59375;0.0;0.0;13327420.071030553;0.0;0.0;874323.28125;0.0;0.0;56360595.45211488;-16667692.951878583
131991878;7.15;2;services;1930-1945;131991878;Bd131991878;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1862.4894653320314;520.97607421875;7;1526.0837794198071;300.2497808417661;64.01206437183122;-16.602186176967226;0.0;673326.1745615392;0.0;0.0;30271120.502036285;0.0;0.0;638476.3011349689;0.0;0.0;19720696.949642014;0.0;0.0;708127.3763193517;0.0;0.0;16899069.412366442;0.0;0.0;679110.150964922;0.0;0.0;4769080.337311208;0.0;0.0;712477.5265390782;0.0;0.0;150834.9139167753;0.0;0.0;657359.3998662892;0.0;0.0;1982056.748196071;-5564002.8287123125;0.0;703777.2260996251;0.0;0.0;2179650.970642778;-11541163.29411994;0.0;712477.5265390782;0.0;0.0;2657523.2680743;-12619348.01152517;0.0;674760.0007451954;0.0;0.0;2281363.786516968;-4302610.634851874;0.0;712477.5265390782;0.0;0.0;5517265.972590843;0.0;0.0;687810.4514043751;0.0;0.0;17100623.16747752;0.0;0.0;699427.0758798986;0.0;0.0;26401389.41327995;0.0;0.0;8259606.736593399;0.0;0.0;129930675.44205116;-34027124.769209296
131991914;9.55;2;shop;Before 1930;131991914;Bd131991914;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;3166.473168945313;663.1357421875;9;2368.5387695797845;334.005103940931;95.74885881178653;-20.855508155069323;0.0;857057.8853773908;0.0;0.0;43003497.68771959;0.0;0.0;812698.4650056876;0.0;0.0;27901308.590555992;0.0;0.0;901355.3529555157;0.0;0.0;24019636.398417898;0.0;0.0;864420.1457092188;0.0;0.0;6639274.415166864;0.0;0.0;906892.5364027814;0.0;0.0;191993.50514893292;0.0;0.0;836734.2284728907;0.0;0.0;2522904.098319223;-6983442.332339593;0.0;895818.1695082502;0.0;0.0;2774416.2076817364;-14721042.139808118;0.0;906892.5364027814;0.0;0.0;3382686.3688466405;-16670904.18656846;0.0;858882.9622619532;0.0;0.0;2904088.7205910725;-5770141.289457848;0.0;906892.5364027814;0.0;0.0;7743178.382756889;0.0;0.0;875494.51260375;0.0;0.0;23883491.674121905;0.0;0.0;890280.9860609844;0.0;0.0;37779108.67240397;0.0;0.0;10513420.317163985;0.0;0.0;182745584.7217307;-44145529.94817402
131991920;10.066666666666665;2;residential;Before 1930;131991920;Bd131991920;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;2413.8396972656246;479.57080078125;6;2259.6028840214963;413.97829076612084;107.00671899114441;-24.956313567025052;0.0;248273.80356445312;0.0;0.0;38240867.03035474;0.0;0.0;224247.3064453125;0.0;0.0;23867311.976313945;0.0;0.0;248273.80356445312;0.0;0.0;19762616.031462587;0.0;0.0;240264.97119140625;0.0;0.0;4130119.621705381;0.0;0.0;248273.80356445312;0.0;0.0;802465.3949324136;0.0;0.0;240264.97119140625;0.0;0.0;776579.4144507229;-5702840.3374031065;0.0;248273.80356445312;0.0;0.0;802465.3949324136;-12126189.304379016;0.0;248273.80356445312;0.0;0.0;802465.3949324136;-13360852.01444081;0.0;240264.97119140625;0.0;0.0;776579.4144507229;-4548850.045527203;0.0;248273.80356445312;0.0;0.0;7331588.645353439;0.0;0.0;240264.97119140625;0.0;0.0;20546305.44099537;0.0;0.0;248273.80356445312;0.0;0.0;34318409.50310721;0.0;0.0;2923223.8161621094;0.0;0.0;152157773.26299134;-35738731.70175014
131991945;7.075;2;residential;Before 1930;131991945;Bd131991945;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;1213.7200500488282;343.10107421875;4;1444.3993128000357;241.8635972450197;64.9178783268712;-14.847094774512062;0.0;177623.42612304687;0.0;0.0;23705695.963022646;0.0;0.0;160434.06230468748;0.0;0.0;14884692.64379502;0.0;0.0;177623.42612304687;0.0;0.0;12070632.195392633;0.0;0.0;171893.63818359375;0.0;0.0;2398359.5671033347;0.0;0.0;177623.42612304687;0.0;0.0;562343.6628679676;0.0;0.0;171893.63818359375;0.0;0.0;544203.5447109365;-3555461.1981521794;0.0;177623.42612304687;0.0;0.0;562343.6628679676;-7634547.890415647;0.0;177623.42612304687;0.0;0.0;562343.6628679676;-8013216.749633533;0.0;171893.63818359375;0.0;0.0;544203.5447109365;-2551428.6340373624;0.0;177623.42612304687;0.0;0.0;4696091.958225359;0.0;0.0;171893.63818359375;0.0;0.0;13034763.211275104;0.0;0.0;177623.42612304687;0.0;0.0;20980170.88440994;0.0;0.0;2091372.5979003904;0.0;0.0;94545844.50124982;-21754654.47223872
131991968;3.925;1;services;Before 1930;131991968;Bd131991968;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;538.3976928710937;137.17138671875;2;975.3626802120068;136.75586113861047;37.4898468260728;-5.868312001234481;0.0;177284.69626391405;0.0;0.0;14466868.960322225;0.0;0.0;168108.83253146874;0.0;0.0;9180191.857197706;0.0;0.0;186447.74489672657;0.0;0.0;7654649.981547799;0.0;0.0;178807.59933617187;0.0;0.0;1811920.469690225;0.0;0.0;187593.12597582812;0.0;0.0;39714.365652192755;0.0;0.0;173080.69394066406;0.0;0.0;521869.40276100347;-2082396.6311071275;0.0;185302.36381762498;0.0;0.0;573895.3495211753;-4303239.638485984;0.0;187593.12597582812;0.0;0.0;699717.6453174946;-4575883.406154751;0.0;177662.2182570703;0.0;0.0;600864.8017479914;-1660472.4949891577;0.0;187593.12597582812;0.0;0.0;2514166.1910884194;0.0;0.0;181098.36149437499;0.0;0.0;7875394.837578874;0.0;0.0;184156.98273852342;0.0;0.0;12813199.348469188;0.0;0.0;2174728.8712040232;0.0;0.0;58752453.21089431;-12621992.17073702
131991978;11.9;3;residential;Before 1930;131991978;Bd131991978;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;2127.2644531250003;536.28515625;7;2062.3154638299366;427.77009633048016;98.65498448125521;-23.341119409630096;0.0;277634.825390625;0.0;0.0;35816290.50726847;0.0;0.0;250766.9390625;0.0;0.0;22446706.13022997;0.0;0.0;277634.825390625;0.0;0.0;18476903.26816104;0.0;0.0;268678.86328125;0.0;0.0;3937665.8390354314;0.0;0.0;277634.825390625;0.0;0.0;909045.4438706657;0.0;0.0;268678.86328125;0.0;0.0;879721.3972941927;-5122186.73106651;0.0;277634.825390625;0.0;0.0;909045.4438706657;-11182024.04653299;0.0;277634.825390625;0.0;0.0;909045.4438706657;-12348038.349926738;0.0;268678.86328125;0.0;0.0;879721.3972941927;-3998424.162304974;0.0;277634.825390625;0.0;0.0;7035303.170499466;0.0;0.0;268678.86328125;0.0;0.0;19335621.734479286;0.0;0.0;277634.825390625;0.0;0.0;31940723.123934925;0.0;0.0;3268926.1699218745;0.0;0.0;143475792.89980897;-32650673.289831214
131991982;12.2;3;services;1945-1960;131991982;Bd131991982;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;1885.5552734374999;463.6611328125;6;941.6428673621398;340.94000726467004;46.39783160896507;-17.85750964592197;0.0;599250.5074588594;0.0;0.0;23352530.671008114;0.0;0.0;568234.6267093124;0.0;0.0;15376963.074948693;0.0;0.0;630223.0711307343;0.0;0.0;13094755.102915633;0.0;0.0;604398.1623782812;0.0;0.0;3862579.8162356596;0.0;0.0;634094.6415897186;0.0;0.0;134240.88075292832;0.0;0.0;585040.3100833594;0.0;0.0;1764001.69344701;-4664040.3906086935;0.0;626351.5006717499;0.0;0.0;1939857.6790682937;-10145099.742369821;0.0;634094.6415897186;0.0;0.0;2365157.0771242916;-10888911.71448819;0.0;600526.5919192969;0.0;0.0;2028744.3423325664;-3478719.676936984;0.0;634094.6415897186;0.0;0.0;4420496.413547526;0.0;0.0;612141.30329625;0.0;0.0;13140393.048213387;0.0;0.0;622479.9302127656;0.0;0.0;20026054.19849908;0.0;0.0;7350929.928629765;0.0;0.0;101505773.99809319;-29176771.524403688
131991988;6.95;1;residential;1961-1970;131991988;Bd131991988;1.0;1.0;IdealLoad;IdealLoad;A-A split;True;2393.625134277344;344.406494140625;4;1561.8499534105954;432.8043113393177;84.77313972335004;-26.193209177562686;0.0;178299.24201660155;0.0;0.0;31527099.47422424;0.0;0.0;161044.47666015624;0.0;0.0;19649086.491860606;0.0;0.0;178299.24201660155;0.0;0.0;16226744.512505587;0.0;0.0;172547.65356445312;0.0;0.0;3420055.0918356413;0.0;0.0;178299.24201660155;0.0;0.0;563871.210740339;0.0;0.0;172547.65356445312;0.0;0.0;545681.8168454893;-5668596.669255679;0.0;178299.24201660155;0.0;0.0;563871.210740339;-11134306.932929056;0.0;178299.24201660155;0.0;0.0;563871.210740339;-12231797.957082;0.0;172547.65356445312;0.0;0.0;545681.8168454893;-4528538.4643062465;0.0;178299.24201660155;0.0;0.0;6020888.315100787;0.0;0.0;172547.65356445312;0.0;0.0;17170577.6688411;0.0;0.0;178299.24201660155;0.0;0.0;28098291.768469475;0.0;0.0;2099329.7850341797;0.0;0.0;124895720.58874944;-33563240.02357298
131991992;8.733333333333333;2;shop;Before 1930;131991992;Bd131991992;1.0;1.0;IdealLoad;IdealLoad;A-W chiller, Centralized, Fan coil;True;2022.532112630208;463.17529296875;6;1658.9649322566893;234.75024546567113;66.60207355755223;-17.02032588299629;0.0;598622.5924746015;0.0;0.0;28970960.06010176;0.0;0.0;567639.2112157186;0.0;0.0;18327595.03748671;0.0;0.0;629562.702044914;0.0;0.0;15529157.430989504;0.0;0.0;603764.8535067968;0.0;0.0;4071450.594466493;0.0;0.0;633430.215741203;0.0;0.0;134100.21861000886;0.0;0.0;584427.2850253514;0.0;0.0;1762153.3127084293;-5762514.763946505;0.0;625695.1883486249;0.0;0.0;1937825.030469997;-12006706.171721444;0.0;633430.215741203;0.0;0.0;2362678.7854076144;-13061275.16673894;0.0;599897.3398105077;0.0;0.0;2027737.2799777929;-4846061.6079558665;0.0;633430.215741203;0.0;0.0;4890092.96079739;0.0;0.0;611499.8808993748;0.0;0.0;15664627.184434006;0.0;0.0;621827.6746523358;0.0;0.0;25925015.740030747;0.0;0.0;7343227.375201834;0.0;0.0;121603393.63548045;-35676557.710362755
