,RLB-67107,RLB-67864,RLB-66928,RLB-68725,RLB-68723,RLB-68531,RLB-68532,RLB-68742,RLB-69490,RLB-69368,RLB-68888,RLB-96407,RLB-64875,RLB-69422,RLB-67013,RLB-67768
1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1903,0.1983794372496793,0.12206089198026612,0.14390183297363301,0.14277531520103165,0.15222813884769068,0.12646074768037713,0.1909722644728792,0.17982668854528985,0.1739110043067124,0.2781810234614352,0.15803886921039856,0.12396261923555904,0.21240579258955972,0.11765617855801702,0.6566070015758144,0.18682331742283614
1904,0.12339335248840338,0.08697089495489806,0.11034412308508658,0.1012800474494733,0.11164940715976206,0.09074763796939012,0.1110830438957411,0.12559023136207975,0.11302260524675102,0.15126173583239394,0.10538560102382383,0.08494772989799487,0.15104381330828862,0.08786665060069809,0.4003079969191091,0.13030916416446536
1905,0.09260406127178832,0.0709889486241572,0.09442745960425708,0.08298355786699295,0.09162968257307526,0.0742699500854058,0.08174111861679448,0.1024819738377666,0.0877144017536248,0.10292759606894421,0.08296892002180999,0.06776506683672229,0.12194107750073405,0.07206091177291649,0.2900067599231295,0.10571239270711168
1906,0.07451560688816813,0.06088268519305781,0.08419186407593365,0.07179113740645947,0.07882132506618411,0.06365414678613143,0.06573218355621852,0.08846453180167738,0.0724700457746155,0.07609388877150419,0.06892168375617469,0.05689286439135187,0.10263541350934238,0.0613635264736481,0.22623847296260646,0.09030201024149674
1907,0.05374843868010036,0.04999675206780277,0.07313549543832344,0.05898295440399842,0.06515503680356449,0.05187544404932638,0.04651009286125191,0.07286807950498181,0.055365229718113786,0.04344459999380361,0.05275221542175327,0.04491213136121879,0.08109556196828867,0.05023370801335672,0.15284372790222578,0.07286887259355776
1908,0.05476775401993654,0.047797031314554796,0.07043131830518524,0.056833090861237875,0.061219598936441265,0.04888887021058613,0.05146329169071616,0.07199032745172221,0.05543808986947089,0.0495309541628411,0.050867726193376116,0.042752108146436145,0.0763801656097503,0.04594513597044586,0.15924362986440999,0.07101985210008142
1909,0.023337367989746956,0.031233607667835103,0.05354797129162806,0.03705675770720521,0.041058267496028575,0.03160735524604061,0.023966087367062558,0.044841922884992474,0.02566675142596366,0.028231754579962624,0.02444347308865812,0.02417290522951554,0.04367993909545015,0.03121808646666363,0.045631038963232916,0.04210572198512566
1910,0.020778523381850995,0.024106194133240708,0.04602692397246257,0.028921979361616196,0.03154130640705757,0.024521060065626536,0.021174235054815953,0.03310974358160254,0.019981136418234284,0.023481979687339387,0.019187486721816693,0.017915888405824476,0.03000589716452945,0.024151111933600807,0.036163693484461606,0.030372391386695605
1911,0.021138808822703067,0.021500742421987268,0.04280289159799639,0.025607126926962126,0.027272665317211654,0.02204121534331322,0.02156913388499807,0.027772525627458154,0.02029647790864747,0.024004887749735436,0.01945410957146174,0.01808881287914491,0.024925888616747237,0.02149915532351993,0.03741964323982868,0.025607509637261792
1912,0.02211481125692923,0.02148752512145148,0.04235257685459131,0.025315136019457632,0.027033932078680947,0.022202424482292187,0.022605988698406843,0.026657245484972565,0.021112903734461813,0.025626121849183225,0.02015622643179932,0.018572890741106574,0.025216570727483782,0.021938605871580967,0.04097285727425026,0.025038038217546355
1913,0.023695124446807665,0.02371175850137013,0.04421221032252061,0.02729262345549514,0.029998611594888598,0.024531872656458086,0.02425936206311353,0.029058216787743105,0.022395726633721132,0.028318197714317518,0.021273075228950177,0.019354691919102694,0.029592632820603065,0.024904585553356957,0.04677445164938098,0.02792296088547957
1914,0.025668633321056233,0.03050005719058625,0.050351192586316984,0.034950280140733134,0.038447606983810986,0.031492212024332944,0.026350109703206642,0.03933644959680638,0.02398203247574989,0.0317119189688641,0.022642338766966495,0.02215243557993994,0.0428134497342382,0.03148321877483633,0.053990084489300094,0.038884083108832616
1915,0.027224038479098746,0.03802567631180336,0.05713596760926819,0.04371001137343689,0.04752137585322744,0.039246796467483955,0.028008668135520654,0.05129179374293504,0.0343538696759494,0.03438723625856627,0.03327698807400413,0.031228807457827384,0.057577343683056524,0.038270345197017774,0.059687657380832905,0.05169731808166748
1916,0.03603556975817429,0.04290410471069794,0.061383497859707474,0.04925184449144038,0.053530797090835296,0.04428185740728045,0.029542735280299187,0.058703979286023424,0.04377620807070098,0.036889908727557104,0.04170998340770744,0.03722109238127395,0.06711010330531124,0.042949545764478694,0.0844578416409487,0.059681848336673816
