,RLB-67107,RLB-67864,RLB-66928,RLB-68725,RLB-68723,RLB-68531,RLB-68532,RLB-68742,RLB-69490,RLB-69368,RLB-68888,RLB-96407,RLB-64875,RLB-69422,RLB-67013,RLB-67768
1291,16.469166009886774,8.184534412541442,14.243355242197474,10.831066918605298,13.346921040745816,8.697292956207427,13.20767224186525,16.971450336035893,13.693767405921331,27.757012816460918,11.781872556399001,7.512333323680258,25.473438779779826,8.188572996084774,195.97546216612403,18.375572897471052
1292,18.491359441969312,8.658641895404987,14.721309614923811,11.462405638524258,14.03964067113874,9.211736993364363,15.310759574860102,18.050862942231614,15.018623363516673,33.41757493298093,12.844230548119464,8.107483606811568,27.05077786213893,8.610390319003855,220.8479697115673,19.58583796808304
1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303,61.312303881093044,22.115708957850103,31.566524573479242,29.441807355897954,34.84206482005009,23.6082098098001,56.04255151459348,47.469175057395766,45.50978606097479,135.59599056521338,37.95279328839525,22.97706805634273,70.17984535211397,21.14243753728597,741.8006502452259,51.89348800378598
1304,42.490942696535264,17.023978066745986,25.913467478535967,22.83396747333507,27.669998316541722,18.447058620656637,36.466053269375756,35.89282470405864,32.41566030678086,86.67856676791388,27.940319964931316,17.437092954464518,54.013914560042615,16.976946293812937,510.59453222015964,39.23240735671643
1305,35.382690848345284,14.783343194487344,23.073130826231747,19.866611492930954,24.315539009688713,15.90974017560923,30.111909686767323,31.401278419235634,27.274517614191254,70.02919986368273,23.701113924766833,14.753827525648799,46.57814262631556,14.727338666411619,427.0837466498264,33.996208285525704
