,Consumption [kWh/y],Consumption [kWh/m2 y],Consumption [l/d dwelling]
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,6436.703572025958,1.4468973158204812,203.55097146509715
6,6475.48135074481,3.157855639087413,204.77725980370968
7,10764.159742069609,1.7760883194042465,204.2401189975062
8,17210.730408624386,1.8640835658604928,204.09870062553972
9,15055.610989718307,1.6756643943641667,204.04749609566116
10,10767.143315635167,0.7115169604263927,204.29672958622555
11,6475.349839239581,2.354615391869194,204.77310095215645
12,6439.137849614414,0.7712004582245379,203.62795179554135
13,6423.224167670794,3.5090793811088377,203.12470578103043
14,6449.484482532579,4.5166356750453165,203.9551483423947
15,6438.308147493809,3.61895891247353,203.60171372650709
16,6461.064255564987,7.8292853968153215,204.32134107190544
17,8605.333800309616,5.8188416738701045,204.09795579763667
18,6422.292154214906,6.980317032678796,203.09523227145493
19,8605.633032370084,5.53025151927253,204.10505286711333
