,Zone volume [m3],Zone net floor area [m2],Number of units [-],Zone opaque heat transfer loss [W/K],Zone glazed heat transfer loss [W/K],Zone design heating load [kW],Zone design cooling load [kW],Name,January gas consumption [Nm3],January electric consumption [Wh],January oil consumption [L],January wood consumption [kg],February gas consumption [Nm3],February electric consumption [Wh],February oil consumption [L],February wood consumption [kg],March gas consumption [Nm3],March electric consumption [Wh],March oil consumption [L],March wood consumption [kg],April gas consumption [Nm3],April electric consumption [Wh],April oil consumption [L],April wood consumption [kg],May gas consumption [Nm3],May electric consumption [Wh],May oil consumption [L],May wood consumption [kg],June gas consumption [Nm3],June electric consumption [Wh],June oil consumption [L],June wood consumption [kg],July gas consumption [Nm3],July electric consumption [Wh],July oil consumption [L],July wood consumption [kg],August gas consumption [Nm3],August electric consumption [Wh],August oil consumption [L],August wood consumption [kg],September gas consumption [Nm3],September electric consumption [Wh],September oil consumption [L],September wood consumption [kg],October gas consumption [Nm3],October electric consumption [Wh],October oil consumption [L],October wood consumption [kg],November gas consumption [Nm3],November electric consumption [Wh],November oil consumption [L],November wood consumption [kg],December gas consumption [Nm3],December electric consumption [Wh],December oil consumption [L],December wood consumption [kg]
RLB-65071,1e-05,1e-05,1,100.28839169125536,29.020367305100024,4.202534750714883,-0.8959979381200479,Bd RLB-65071,215.07346180370865,303105.605177,0.0,0.0,103.05195621997237,273772.80467599997,0.0,0.0,7.183655138541777,303105.605177,0.0,0.0,6.951924327621075,293328.00501,0.0,0.0,7.183655138541777,303105.605177,0.0,0.0,6.951924327621075,337347.4906704436,0.0,0.0,7.183655138541777,419727.44520408416,0.0,0.0,7.183655138541777,358438.2024090015,0.0,0.0,6.951924327621075,293870.7112287247,0.0,0.0,7.183655138541777,303105.605177,0.0,0.0,83.69161324846074,293328.00501,0.0,0.0,198.02627435928832,303105.605177,0.0,0.0
RLB-67198,469.503955078125,142.27392578125,1,651.0584599705633,138.1525815674528,29.561891808969897,-6.75523517062622,Bd RLB-67198,1621.212534130897,403806.40168564604,0.0,0.0,767.2034631665034,364728.36281284154,0.0,0.0,31.51992052991659,403806.40168564604,0.0,0.0,30.50314889991928,390780.3887280446,0.0,0.0,31.51992052991659,403806.40168564604,0.0,0.0,30.50314889991928,694176.8395839953,0.0,0.0,31.51992052991659,1195574.4800029171,0.0,0.0,31.51992052991659,800674.126897508,0.0,0.0,30.50314889991928,398291.4178308079,0.0,0.0,31.51992052991659,403806.40168564604,0.0,0.0,616.6031278055115,390780.3887280446,0.0,0.0,1491.875470941529,403806.40168564604,0.0,0.0
RLB-74793,604.204541015625,183.09228515625,1,236.04080044895179,118.287717560934,16.55071467711816,-6.791705981923733,Bd RLB-74793,1002.5633306967143,410611.19897065894,0.0,0.0,479.50536849499565,370874.63132833707,0.0,0.0,38.96670317918164,410611.19897065894,0.0,0.0,37.70971275404675,397365.67642321833,0.0,0.0,38.96670317918164,410611.19897065894,0.0,0.0,37.70971275404675,563544.049077318,0.0,0.0,38.96670317918164,958037.1875990671,0.0,0.0,38.96670317918164,702076.6756636559,0.0,0.0,37.70971275404675,406926.5196649493,0.0,0.0,38.96670317918164,410611.19897065894,0.0,0.0,440.4861118579426,397365.67642321833,0.0,0.0,919.1699330730994,410611.19897065894,0.0,0.0
RLB-71126,72.6394775390625,22.011962890625,1,122.46727654629308,40.831527395813765,5.91254010761066,-1.257468085892025,Bd RLB-71126,322.19854545610065,315506.00935176876,0.0,0.0,152.3830598835752,284973.16973708145,0.0,0.0,8.461342728359968,315506.00935176876,0.0,0.0,8.188396188735453,305328.396146873,0.0,0.0,8.461342728359968,315506.00935176876,0.0,0.0,8.188396188735453,369053.5208655056,0.0,0.0,8.461342728359968,490436.1942649324,0.0,0.0,8.461342728359968,409735.1402232546,0.0,0.0,8.188396188735453,309554.9963497475,0.0,0.0,8.461342728359968,315506.00935176876,0.0,0.0,125.31588218612845,305328.396146873,0.0,0.0,295.95140526884796,315506.00935176876,0.0,0.0
RLB-67194,3190.0260498046873,966.674560546875,1,2077.729052685806,786.7964156168699,119.68062813487605,-30.357167199028424,Bd RLB-67194,6928.138770839481,929830.1532469918,0.0,0.0,3279.706008772855,839846.590029541,0.0,0.0,41.40718470380763,929830.1532469918,0.0,0.0,40.071469068200926,899835.6321745082,0.0,0.0,41.40718470380763,929830.1532469918,0.0,0.0,40.071469068200926,899835.6321745082,0.0,0.0,41.40718470380763,929830.1532469918,0.0,0.0,41.40718470380763,929830.1532469918,0.0,0.0,40.071469068200926,899835.6321745082,0.0,0.0,41.40718470380763,929830.1532469918,0.0,0.0,2968.3398679334236,899835.6321745082,0.0,0.0,6485.018889537738,929830.1532469918,0.0,0.0
RLB-67577,1119.9383066785351,339.375244448041,1,1366.7888945427849,229.53240470439454,61.21326144785445,-13.868248862561883,Bd RLB-67577,2850.7881528303315,540697.7104962122,0.0,0.0,1337.0024925549285,488372.12560948206,0.0,0.0,35.533946823430476,540697.7104962122,0.0,0.0,34.38769047428756,523255.8488673022,0.0,0.0,35.533946823430476,540697.7104962122,0.0,0.0,34.38769047428756,1036627.4014294597,0.0,0.0,35.533946823430476,1958183.0493336348,0.0,0.0,35.533946823430476,1215995.7670192542,0.0,0.0,34.38769047428756,527721.9200980098,0.0,0.0,35.533946823430476,540697.7104962122,0.0,0.0,1078.4603775104551,523255.8488673022,0.0,0.0,2620.1697684482424,540697.7104962122,0.0,0.0
RLB-71771,10614.309814453125,3216.45751953125,1,5062.950159655571,1762.7876828122617,310.2890616673139,-91.87755677562556,Bd RLB-71771,15838.185717505386,2304425.5494444408,0.0,0.0,7474.0169919580185,2081416.625304656,0.0,0.0,35.286170590023616,2304425.5494444408,0.0,0.0,34.1479070226035,2230089.241397846,0.0,0.0,35.286170590023616,2304425.5494444408,0.0,0.0,34.1479070226035,2230089.241397846,0.0,0.0,35.286170590023616,2304425.5494444408,0.0,0.0,35.286170590023616,2304425.5494444408,0.0,0.0,34.1479070226035,2230089.241397846,0.0,0.0,35.286170590023616,2304425.5494444408,0.0,0.0,6905.821913302444,2230089.241397846,0.0,0.0,14870.022957613171,2304425.5494444408,0.0,0.0
RLB-64504,310.19677734375,93.9990234375,1,494.1053357935124,155.20679126838775,23.687617274043006,-4.995669104153912,Bd RLB-64504,1273.525136067613,372346.203566388,0.0,0.0,600.1195138064309,336312.69999544724,0.0,0.0,22.944769515780443,372346.203566388,0.0,0.0,22.204615660432687,360335.03570940776,0.0,0.0,22.944769515780443,372346.203566388,0.0,0.0,22.204615660432687,624729.9262201716,0.0,0.0,22.944769515780443,1084673.1733140238,0.0,0.0,22.944769515780443,744219.5199262607,0.0,0.0,22.204615660432687,372552.1878006941,0.0,0.0,22.944769515780443,372346.203566388,0.0,0.0,490.40089215031475,360335.03570940776,0.0,0.0,1168.8665232783314,372346.203566388,0.0,0.0
RLB-68755,352.437744140625,106.79931640625,1,400.15201560741696,126.83590721763315,20.064088692986005,-5.4030033679559315,Bd RLB-68755,954.3575341040189,374982.9754451364,0.0,0.0,451.24553258462856,338694.3004020587,0.0,0.0,21.50929070901064,374982.9754451364,0.0,0.0,20.8154426216232,362886.75043077715,0.0,0.0,21.50929070901064,374982.9754451364,0.0,0.0,20.8154426216232,581851.5718130451,0.0,0.0,21.50929070901064,962690.5811442307,0.0,0.0,21.50929070901064,674821.3278740769,0.0,0.0,20.8154426216232,370192.63953542174,0.0,0.0,21.50929070901064,374982.9754451364,0.0,0.0,371.1743686440208,362886.75043077715,0.0,0.0,877.3189363048073,374982.9754451364,0.0,0.0
RLB-71773,114.760400390625,34.77587890625,1,195.6235989560167,53.36046767717658,9.048318835500657,-1.6472385745169522,Bd RLB-71773,438.04382852760824,325566.75734591216,0.0,0.0,206.36096198813078,294060.29695759807,0.0,0.0,7.165959094615604,325566.75734591216,0.0,0.0,6.934799123821553,315064.6038831408,0.0,0.0,7.165959094615604,325566.75734591216,0.0,0.0,6.934799123821553,315064.6038831408,0.0,0.0,7.165959094615604,325566.75734591216,0.0,0.0,7.165959094615604,325566.75734591216,0.0,0.0,6.934799123821553,315064.6038831408,0.0,0.0,7.165959094615604,325566.75734591216,0.0,0.0,181.9587152462715,315064.6038831408,0.0,0.0,413.650613375436,325566.75734591216,0.0,0.0
