,Zone volume [m3],Zone net floor area [m2],Number of units [-],Zone opaque heat transfer loss [W/K],Zone glazed heat transfer loss [W/K],Zone design heating load [kW],Zone design cooling load [kW],Name,January gas consumption [Nm3],January electric consumption [Wh],January oil consumption [L],January wood consumption [kg],February gas consumption [Nm3],February electric consumption [Wh],February oil consumption [L],February wood consumption [kg],March gas consumption [Nm3],March electric consumption [Wh],March oil consumption [L],March wood consumption [kg],April gas consumption [Nm3],April electric consumption [Wh],April oil consumption [L],April wood consumption [kg],May gas consumption [Nm3],May electric consumption [Wh],May oil consumption [L],May wood consumption [kg],June gas consumption [Nm3],June electric consumption [Wh],June oil consumption [L],June wood consumption [kg],July gas consumption [Nm3],July electric consumption [Wh],July oil consumption [L],July wood consumption [kg],August gas consumption [Nm3],August electric consumption [Wh],August oil consumption [L],August wood consumption [kg],September gas consumption [Nm3],September electric consumption [Wh],September oil consumption [L],September wood consumption [kg],October gas consumption [Nm3],October electric consumption [Wh],October oil consumption [L],October wood consumption [kg],November gas consumption [Nm3],November electric consumption [Wh],November oil consumption [L],November wood consumption [kg],December gas consumption [Nm3],December electric consumption [Wh],December oil consumption [L],December wood consumption [kg]
RLB-64841,4783.5054931640625,1449.547119140625,1,2600.8620793842197,965.8238553015242,155.77983865365385,-41.54793062992939,Bd RLB-64841,0.0,24894044.70148649,0.0,0.0,0.0,12116454.0709738,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,829954.5100314732,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,829954.5100314732,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,829954.5100314732,0.0,0.0,0.0,857619.6603658557,0.0,0.0,0.0,11476577.789780635,0.0,0.0,0.0,23579795.886098985,0.0,0.0
RLB-71024,1e-05,1e-05,1,577.0530137607208,138.90372946137086,23.26859423805131,-3.1792492442073104,Bd RLB-71024,1386.8570422246628,323221.5196644031,0.0,0.0,650.492195337313,291942.0177613963,0.0,0.0,8.377041938981272,323221.5196644031,0.0,0.0,8.106814779659295,312795.0190300675,0.0,0.0,8.377041938981272,323221.5196644031,0.0,0.0,8.106814779659295,352484.30889883894,0.0,0.0,8.377041938981272,458932.8768870297,0.0,0.0,8.377041938981272,373938.6634341716,0.0,0.0,8.106814779659295,312795.0190300675,0.0,0.0,8.377041938981272,323221.5196644031,0.0,0.0,532.5867102355822,312795.0190300675,0.0,0.0,1286.7234497625243,323221.5196644031,0.0,0.0
RLB-79639,2736.9987304687497,829.3935546875,1,2096.7055155423786,817.7981224230832,117.52969098778378,-23.28167412423509,Bd RLB-79639,5968.591335794624,856391.3366021872,0.0,0.0,2855.030480438752,773514.7556406852,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,34.28929419944663,828765.8096150199,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,34.28929419944663,828765.8096150199,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,34.28929419944663,828765.8096150199,0.0,0.0,35.43227067276152,856391.3366021872,0.0,0.0,2738.061610960631,828765.8096150199,0.0,0.0,5715.450364607291,856391.3366021872,0.0,0.0
RLB-78598,691.203369140625,209.45556640625,1,590.5277759206775,254.8710515284242,33.235489968267686,-5.995439393321407,Bd RLB-78598,1712.617495316649,442631.40944237454,0.0,0.0,827.5377575433971,399796.1117544028,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,34.47370863230085,428352.9768797173,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,34.47370863230085,428352.9768797173,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,34.47370863230085,428352.9768797173,0.0,0.0,35.622832253377545,442631.40944237454,0.0,0.0,813.5828994737576,428352.9768797173,0.0,0.0,1652.4265293173278,442631.40944237454,0.0,0.0
RLB-70301,920.6999999999999,279.0,1,999.6972129844925,407.11083523855325,53.39376156724899,-12.790994957016027,Bd RLB-70301,2445.002459754922,500831.23873692914,0.0,0.0,1158.0778442391752,452363.69950432307,0.0,0.0,35.55072259609373,500831.23873692914,0.0,0.0,34.40392509299393,484675.3923260605,0.0,0.0,35.55072259609373,500831.23873692914,0.0,0.0,34.40392509299393,894248.1681489738,0.0,0.0,35.55072259609373,1647607.2266860786,0.0,0.0,35.55072259609373,930354.2666143165,0.0,0.0,34.40392509299393,484675.3923260605,0.0,0.0,35.55072259609373,500831.23873692914,0.0,0.0,982.9872432211124,484675.3923260605,0.0,0.0,2255.8127693565634,500831.23873692914,0.0,0.0
RLB-68709,1966.2505371093748,595.83349609375,1,1793.4654134020582,361.87599040438965,86.43401676628768,-18.123980622158356,Bd RLB-68709,4260.614867539335,701237.225469429,0.0,0.0,2025.2067622963111,633375.5584885166,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,34.33543212003756,678616.6698091249,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,34.33543212003756,678616.6698091249,0.0,0.0,35.479946524038816,702489.782768955,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,34.33543212003756,678616.6698091249,0.0,0.0,35.479946524038816,701237.225469429,0.0,0.0,1750.5355908867973,678616.6698091249,0.0,0.0,3974.5250142239424,701237.225469429,0.0,0.0
RLB-70862,1e-05,1e-05,1,99.69290358403299,19.751359981260997,3.881938649205388,-0.7269375020024634,Bd RLB-70862,0.0,599873.0808406966,0.0,0.0,0.0,288541.07252945757,0.0,0.0,0.0,21437.828534350814,0.0,0.0,0.0,20746.285678404016,0.0,0.0,0.0,21437.828534350814,0.0,0.0,0.0,70853.06257656917,0.0,0.0,0.0,146106.54924462253,0.0,0.0,0.0,86848.85035630206,0.0,0.0,0.0,22733.93438321579,0.0,0.0,0.0,21437.828534350814,0.0,0.0,0.0,228714.78393508494,0.0,0.0,0.0,553377.9753737911,0.0,0.0
RLB-67388,7885.64970703125,2389.5908203125,1,4406.895951407458,1182.6400316317151,247.37366700736686,-65.07449904239097,Bd RLB-67388,12672.976481803338,1807079.259890933,0.0,0.0,6018.899536333517,1632200.6218369717,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,34.180124146945765,1748786.3805396126,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,34.180124146945765,1748786.3805396126,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,34.180124146945765,1748786.3805396126,0.0,0.0,35.31946161851062,1807079.259890933,0.0,0.0,5525.767887852057,1748786.3805396126,0.0,0.0,11920.641881682153,1807079.259890933,0.0,0.0
RLB-67768,2954.389453125,895.26953125,1,1963.3680999139851,480.5885759358867,104.04850407449584,-28.14480395410303,Bd RLB-67768,5920.438131457044,875650.9251346339,0.0,0.0,2780.4686224424768,790910.5130248306,0.0,0.0,41.438947638324855,875650.9251346339,0.0,0.0,40.10220739192728,847404.1210980328,0.0,0.0,41.438947638324855,875650.9251346339,0.0,0.0,40.10220739192728,1329810.5428153118,0.0,0.0,41.438947638324855,2412362.3713974752,0.0,0.0,41.438947638324855,1460141.4651211018,0.0,0.0,40.10220739192728,847404.1210980328,0.0,0.0,41.438947638324855,875650.9251346339,0.0,0.0,2357.598662836477,847404.1210980328,0.0,0.0,5449.513872480399,875650.9251346339,0.0,0.0
RLB-71167,13720.22373121929,4157.643554914936,1,2936.553146023892,1572.1282406076398,260.86734282568557,-126.73865711231804,Bd RLB-71167,13535.37572721153,2737258.3169116816,0.0,0.0,6326.993885854779,2472362.350758938,0.0,0.0,35.31231628942127,2737258.3169116816,0.0,0.0,34.17320931234316,2648959.6615274334,0.0,0.0,35.31231628942127,2737258.3169116816,0.0,0.0,34.17320931234316,5009694.942069005,0.0,0.0,35.31231628942127,10740715.09393648,0.0,0.0,35.31231628942127,6507000.422818118,0.0,0.0,34.17320931234316,2648959.6615274334,0.0,0.0,35.31231628942127,2737258.3169116816,0.0,0.0,5778.342984059083,2648959.6615274334,0.0,0.0,12372.49009725788,2737258.3169116816,0.0,0.0
RLB-70855,357.50698242187497,108.33544921875,1,197.33258088274764,121.4853556518601,13.340807790890375,-3.6516164430843494,Bd RLB-70855,700.6026461022581,368375.09233525215,0.0,0.0,343.2054369594335,332725.8898511955,0.0,0.0,21.78382205941588,368375.09233525215,0.0,0.0,21.08111812201537,356492.02484056656,0.0,0.0,21.78382205941588,368375.09233525215,0.0,0.0,21.08111812201537,356492.02484056656,0.0,0.0,21.78382205941588,368375.09233525215,0.0,0.0,21.78382205941588,368375.09233525215,0.0,0.0,21.08111812201537,356492.02484056656,0.0,0.0,21.78382205941588,368375.09233525215,0.0,0.0,346.06368787195447,356492.02484056656,0.0,0.0,660.1453666350077,368375.09233525215,0.0,0.0
RLB-52626,353.112890625,107.00390625,1,376.1468813360522,122.47650084995033,19.147867342920083,-4.574172779700674,Bd RLB-52626,916.2228891029919,374080.0219542611,0.0,0.0,436.1573340723086,337878.7295070746,0.0,0.0,21.54532837384238,374080.0219542611,0.0,0.0,20.850317781137786,362012.92447186564,0.0,0.0,21.54532837384238,374080.0219542611,0.0,0.0,20.850317781137786,367682.91981792887,0.0,0.0,21.54532837384238,412810.36616735824,0.0,0.0,21.54532837384238,385323.3349752171,0.0,0.0,20.850317781137786,362012.92447186564,0.0,0.0,21.54532837384238,374080.0219542611,0.0,0.0,382.4771607018742,362012.92447186564,0.0,0.0,857.6572486080894,374080.0219542611,0.0,0.0
RLB-71119,7059.85693359375,2139.3505859375,1,2827.20433091125,723.2752579970823,174.22272775280206,-63.42021402704297,Bd RLB-71119,8810.66219615726,1596981.928323009,0.0,0.0,4129.190674393453,1442435.290098202,0.0,0.0,35.37193568752538,1596981.928323009,0.0,0.0,34.23090550405682,1545466.3822480734,0.0,0.0,35.37193568752538,1596981.928323009,0.0,0.0,34.23090550405682,2871284.373288042,0.0,0.0,35.37193568752538,5629834.438272101,0.0,0.0,35.37193568752538,3285751.353505216,0.0,0.0,34.23090550405682,1545466.3822480734,0.0,0.0,35.37193568752538,1596981.928323009,0.0,0.0,3550.5111914734434,1545466.3822480734,0.0,0.0,8086.65457274674,1596981.928323009,0.0,0.0
RLB-64883,1415.456689453125,428.92626953125,1,1083.7720168245094,325.2137069779659,57.58750843568981,-14.415784133652433,Bd RLB-64883,3294.3021662835235,583065.8870250349,0.0,0.0,1558.3157122341534,526640.1560226121,0.0,0.0,41.62045992118388,583065.8870250349,0.0,0.0,40.277864439855364,564257.3100242272,0.0,0.0,41.62045992118388,583065.8870250349,0.0,0.0,40.277864439855364,577772.5805901631,0.0,0.0,41.62045992118388,704831.5664340487,0.0,0.0,41.62045992118388,619083.1848461136,0.0,0.0,40.277864439855364,564257.3100242272,0.0,0.0,41.62045992118388,583065.8870250349,0.0,0.0,1375.43665431444,564257.3100242272,0.0,0.0,3065.598803725814,583065.8870250349,0.0,0.0
RLB-67592,1162.7972167968749,352.36279296875,1,732.0021134507152,265.86283781604646,42.12058772281038,-12.912477985406056,Bd RLB-67592,2086.331595219886,526398.0394732628,0.0,0.0,991.5504984278336,475456.29371778574,0.0,0.0,35.58526315601791,526398.0394732628,0.0,0.0,34.437351441307655,509417.45755477046,0.0,0.0,35.58526315601791,526398.0394732628,0.0,0.0,34.437351441307655,589023.3761493333,0.0,0.0,35.58526315601791,826375.8439173525,0.0,0.0,35.58526315601791,649121.160528,0.0,0.0,34.437351441307655,509417.45755477046,0.0,0.0,35.58526315601791,526398.0394732628,0.0,0.0,863.7828649642672,509417.45755477046,0.0,0.0,1934.749657286088,526398.0394732628,0.0,0.0
RLB-68295,388.022314453125,117.58251953125,1,276.4269831962324,128.04699285037262,16.378923508624037,-5.079402961301143,Bd RLB-68295,825.9584333838891,376507.6306151442,0.0,0.0,392.7227973967376,340071.40829754964,0.0,0.0,23.17368486026879,376507.6306151442,0.0,0.0,22.426146638969797,364362.22317594604,0.0,0.0,23.17368486026879,376507.6306151442,0.0,0.0,22.426146638969797,386465.44289620756,0.0,0.0,23.17368486026879,509224.7102453029,0.0,0.0,23.17368486026879,425488.6517510931,0.0,0.0,22.426146638969797,364362.22317594604,0.0,0.0,23.17368486026879,376507.6306151442,0.0,0.0,368.18408760739226,364362.22317594604,0.0,0.0,764.4800337167808,376507.6306151442,0.0,0.0
RLB-75083,4349.242089843749,1317.9521484375,1,2697.178143356912,958.7245599528462,155.06052193959837,-38.0009744702774,Bd RLB-75083,7881.098006237533,1150644.0691642244,0.0,0.0,3749.304745217679,1039291.4173096219,0.0,0.0,35.392305867413,1150644.0691642244,0.0,0.0,34.25061858136742,1113526.5185460234,0.0,0.0,35.392305867413,1150644.0691642244,0.0,0.0,34.25061858136742,1113526.5185460234,0.0,0.0,35.392305867413,1150644.0691642244,0.0,0.0,35.392305867413,1150644.0691642244,0.0,0.0,34.25061858136742,1113526.5185460234,0.0,0.0,35.392305867413,1150644.0691642244,0.0,0.0,3498.883926715722,1113526.5185460234,0.0,0.0,7460.3716462136435,1150644.0691642244,0.0,0.0
RLB-68725,757.6480957031249,229.59033203125,1,1172.7126587618866,288.50662170679436,53.803360746091506,-10.843472254320522,Bd RLB-68725,2541.5827125506953,475702.8714773144,0.0,0.0,1203.9633252903452,429667.1097214453,0.0,0.0,35.54984345844954,475702.8714773144,0.0,0.0,34.40307431462858,460357.61755869136,0.0,0.0,35.54984345844954,475702.8714773144,0.0,0.0,34.40307431462858,543306.0384389373,0.0,0.0,35.54984345844954,746794.6826653994,0.0,0.0,35.54984345844954,579909.2618020971,0.0,0.0,34.40307431462858,460357.61755869136,0.0,0.0,35.54984345844954,475702.8714773144,0.0,0.0,1004.7739882218766,460357.61755869136,0.0,0.0,2367.4324175036663,475702.8714773144,0.0,0.0
RLB-69328,121.18637695312499,36.72314453125,1,221.37579785305908,64.29902955963243,10.294318365521852,-2.1740716414444727,Bd RLB-69328,487.21075929303373,327946.85176247155,0.0,0.0,229.35906491515888,296210.0596564259,0.0,0.0,7.821401616033471,327946.85176247155,0.0,0.0,7.569098338096907,317367.9210604563,0.0,0.0,7.821401616033471,327946.85176247155,0.0,0.0,7.569098338096907,331896.8257852627,0.0,0.0,7.821401616033471,376681.862440571,0.0,0.0,7.821401616033471,347140.27379912656,0.0,0.0,7.569098338096907,317367.9210604563,0.0,0.0,7.821401616033471,327946.85176247155,0.0,0.0,192.71162999609854,317367.9210604563,0.0,0.0,454.83283117150006,327946.85176247155,0.0,0.0
RLB-67389,2294.322583007812,695.249267578125,1,1886.1892423635625,825.8825398407818,107.26168778003964,-24.768503937468694,Bd RLB-67389,5143.497666216402,775638.5354735525,0.0,0.0,2421.1899943310827,700576.7417180475,0.0,0.0,35.44322031257638,775638.5354735525,0.0,0.0,34.299890625073914,750617.9375550508,0.0,0.0,35.44322031257638,775638.5354735525,0.0,0.0,34.299890625073914,750617.9375550508,0.0,0.0,35.44322031257638,775638.5354735525,0.0,0.0,35.44322031257638,775638.5354735525,0.0,0.0,34.299890625073914,750617.9375550508,0.0,0.0,35.44322031257638,775638.5354735525,0.0,0.0,2207.2548769715677,750617.9375550508,0.0,0.0,4824.393728363348,775638.5354735525,0.0,0.0
RLB-69274,165.46083984375,50.1396484375,1,215.42187547437067,97.0591075382236,11.534472279940562,-2.2118769766588047,Bd RLB-69274,662.7995678824891,336258.1341129819,0.0,0.0,318.73487982435495,303717.02436011273,0.0,0.0,15.183178297559198,336258.1341129819,0.0,0.0,14.693398352476644,325411.09752869216,0.0,0.0,15.183178297559198,336258.1341129819,0.0,0.0,14.693398352476644,325411.09752869216,0.0,0.0,15.183178297559198,336258.1341129819,0.0,0.0,15.183178297559198,336258.1341129819,0.0,0.0,14.693398352476644,325411.09752869216,0.0,0.0,15.183178297559198,336258.1341129819,0.0,0.0,298.0498516938062,325411.09752869216,0.0,0.0,633.4777756822597,336258.1341129819,0.0,0.0
RLB-75095,91.8416748046875,27.830810546875,1,139.51825574659102,33.5562309798737,6.390268108649166,-1.4755865453391144,Bd RLB-75095,300.70765913975083,319044.4626399129,0.0,0.0,142.73581209080214,288169.19206185685,0.0,0.0,7.177568142229359,319044.4626399129,0.0,0.0,6.946033686028412,308752.7057805609,0.0,0.0,7.177568142229359,319044.4626399129,0.0,0.0,6.946033686028412,379738.4086026406,0.0,0.0,7.177568142229359,500651.82822750363,0.0,0.0,7.177568142229359,413890.9119500766,0.0,0.0,6.946033686028412,311688.3135367298,0.0,0.0,7.177568142229359,319044.4626399129,0.0,0.0,114.68128566380534,308752.7057805609,0.0,0.0,276.93746255231457,319044.4626399129,0.0,0.0
RLB-78785,13363.50146484375,4049.5458984375,1,6967.689273988845,2237.058062146841,410.5168006314411,-115.91788378734863,Bd RLB-78785,20793.166961481034,2834497.9116210938,0.0,0.0,9783.864088472641,2560191.662109375,0.0,0.0,35.238809374742466,2834497.9116210938,0.0,0.0,34.10207358846045,2743062.4951171875,0.0,0.0,35.238809374742466,2834497.9116210938,0.0,0.0,34.10207358846045,2743062.4951171875,0.0,0.0,35.238809374742466,2834497.9116210938,0.0,0.0,35.238809374742466,2834497.9116210938,0.0,0.0,34.10207358846045,2743062.4951171875,0.0,0.0,35.238809374742466,2834497.9116210938,0.0,0.0,9016.23449193116,2743062.4951171875,0.0,0.0,19530.658856920432,2834497.9116210938,0.0,0.0
RLB-68297,1e-05,1e-05,1,157.28105992734174,34.7132183827317,6.23981412841072,-1.2110449454248369,Bd RLB-68297,316.5363004605567,304470.78931007563,0.0,0.0,150.3465047637764,275005.8742155522,0.0,0.0,7.17822637550675,304470.78931007563,0.0,0.0,6.946670685974274,294649.1509452345,0.0,0.0,7.17822637550675,304470.78931007563,0.0,0.0,6.946670685974274,352794.64789727045,0.0,0.0,7.17822637550675,462428.87423533946,0.0,0.0,7.17822637550675,377391.46344715107,0.0,0.0,6.946670685974274,295003.4822369659,0.0,0.0,7.17822637550675,304470.78931007563,0.0,0.0,120.80726761423382,294649.1509452345,0.0,0.0,290.81306448523617,304470.78931007563,0.0,0.0
RLB-79163,2870.3683593749997,869.80859375,1,565.9390358043269,463.7000781192435,40.639192100953544,-17.266019006766903,Bd RLB-79163,4046.055028911295,640127.5992765145,0.0,0.0,1966.6382723612378,628785.7922396744,0.0,0.0,33.448889393724635,698230.8133390145,0.0,0.0,32.369892961669,665398.6039621511,0.0,0.0,33.448889393724635,705493.7150968269,0.0,0.0,495.7333261455247,2200392.016515875,0.0,0.0,451.2966858450243,3119232.4909897293,0.0,0.0,509.3048929185785,3437089.408567359,0.0,0.0,518.7240584407219,1925272.7646718968,0.0,0.0,33.448889393724635,705493.7150968269,0.0,0.0,1787.4370124172663,679924.407477776,0.0,0.0,3819.4174879047905,683705.0098233895,0.0,0.0
RLB-70902,892.6951171874999,270.513671875,1,325.73004860087826,154.2166323162702,23.037393106369827,-9.530619573427826,Bd RLB-70902,0.0,3697084.411297318,0.0,0.0,0.0,1812963.8621574787,0.0,0.0,0.0,247234.0447164416,0.0,0.0,0.0,239258.7529513951,0.0,0.0,0.0,247234.0447164416,0.0,0.0,0.0,453062.19823705545,0.0,0.0,0.0,971512.0287969115,0.0,0.0,0.0,630824.9326246423,0.0,0.0,0.0,249757.27699851658,0.0,0.0,0.0,247234.0447164416,0.0,0.0,0.0,1678827.0917155538,0.0,0.0,0.0,3397876.882422268,0.0,0.0
RLB-68527,1456.1846191406248,441.26806640625,1,1202.8470493708157,318.0046442348298,61.56255186835536,-15.228487895618791,Bd RLB-68527,0.0,593832.235091799,3532.705953365608,0.0,0.0,536364.599437754,1667.505349824688,0.0,0.0,593832.235091799,41.86449910852051,0.0,0.0,574676.3565404507,40.51403139534243,0.0,0.0,593832.235091799,41.86449910852051,0.0,0.0,590501.3064841812,40.51403139534243,0.0,0.0,719370.4776949009,41.86449910852051,0.0,0.0,627966.2139714328,41.86449910852051,0.0,0.0,574676.3565404507,40.51403139534243,0.0,0.0,593832.235091799,41.86449910852051,0.0,0.0,574676.3565404507,1460.2036020071878,0.0,0.0,593832.235091799,3296.05191041474,0.0
RLB-68440,765.69990234375,232.0302734375,1,787.7893688481802,309.6364723492717,42.04717235844844,-9.48294557836895,Bd RLB-68440,1968.7372908886514,464021.0549859285,0.0,0.0,931.1905049081167,419115.7916001934,0.0,0.0,35.58551729478417,464021.0549859285,0.0,0.0,34.43759738204919,449052.63385735016,0.0,0.0,35.58551729478417,464021.0549859285,0.0,0.0,34.43759738204919,476549.4261604004,0.0,0.0,35.58551729478417,613429.2093383108,0.0,0.0,35.58551729478417,524873.7419286113,0.0,0.0,34.43759738204919,449052.63385735016,0.0,0.0,35.58551729478417,464021.0549859285,0.0,0.0,822.5610472040104,449052.63385735016,0.0,0.0,1832.8880091132003,464021.0549859285,0.0,0.0
RLB-70801,6942.536938476562,2103.799072265625,1,4094.533304343589,1428.833852137867,237.36390707295203,-58.450170150681096,Bd RLB-70801,12011.431514366375,1648102.925068083,0.0,0.0,5674.437529956928,1488609.0936098814,0.0,0.0,35.32476397213558,1648102.925068083,0.0,0.0,34.185255456905395,1594938.3145820159,0.0,0.0,35.32476397213558,1648102.925068083,0.0,0.0,34.185255456905395,1594938.3145820159,0.0,0.0,35.32476397213558,1648102.925068083,0.0,0.0,35.32476397213558,1648102.925068083,0.0,0.0,34.185255456905395,1594938.3145820159,0.0,0.0,35.32476397213558,1648102.925068083,0.0,0.0,5294.73922912012,1594938.3145820159,0.0,0.0,11330.163981067319,1648102.925068083,0.0,0.0
RLB-70868,644.6537108294165,195.34960934224742,1,599.953836715441,218.68833428647034,31.977984814473924,-8.059111952154128,Bd RLB-70868,1506.0115703996523,433944.091395395,0.0,0.0,714.7131795029586,391949.50190551806,0.0,0.0,34.931284094989365,433944.091395395,0.0,0.0,33.80446847902197,419945.8948987694,0.0,0.0,34.931284094989365,433944.091395395,0.0,0.0,33.80446847902197,627696.0894845113,0.0,0.0,34.931284094989365,1047894.744304355,0.0,0.0,34.931284094989365,672646.3887826058,0.0,0.0,33.80446847902197,419945.8948987694,0.0,0.0,34.931284094989365,433944.091395395,0.0,0.0,611.3616384421559,419945.8948987694,0.0,0.0,1389.6263568614004,433944.091395395,0.0,0.0
RLB-71022,1564.6447265625,474.134765625,1,536.1701536243208,319.1059894896504,40.83518070589157,-14.230362732142044,Bd RLB-71022,2185.907146904283,588024.0023429338,0.0,0.0,1043.7488261630167,531118.4537291015,0.0,0.0,35.589713318124474,588024.0023429338,0.0,0.0,34.44165804979788,569055.4861383231,0.0,0.0,35.589713318124474,588024.0023429338,0.0,0.0,34.44165804979788,569055.4861383231,0.0,0.0,35.589713318124474,588024.0023429338,0.0,0.0,35.589713318124474,588024.0023429338,0.0,0.0,34.44165804979788,569055.4861383231,0.0,0.0,35.589713318124474,588024.0023429338,0.0,0.0,1067.4317466020284,569055.4861383231,0.0,0.0,2060.326403322617,588024.0023429338,0.0,0.0
RLB-67015,1e-05,1e-05,1,161.29212593222587,26.70842130760788,6.1100178686279305,-1.08703340250536,Bd RLB-67015,0.0,304327.8680525036,370.9356532624513,0.0,0.0,274876.7840474226,176.4945498740958,0.0,0.0,304327.8680525036,8.512605796979615,0.0,0.0,294510.84005080996,8.238005609980272,0.0,0.0,304327.8680525036,8.512605796979615,0.0,0.0,358344.57480227324,8.238005609980272,0.0,0.0,464696.0623126971,8.512605796979615,0.0,0.0,384451.64290487533,8.512605796979615,0.0,0.0,295840.5782187117,8.238005609980272,0.0,0.0,304327.8680525036,8.512605796979615,0.0,0.0,294510.84005080996,138.84145316431926,0.0,0.0,304327.8680525036,341.6024309193765,0.0
RLB-69149,8401.211059570312,2545.821533203125,1,4314.162093742719,1303.9512649363335,252.59877632015514,-70.81437045227565,Bd RLB-69149,12767.350251335954,1893713.372320907,0.0,0.0,6019.4947844104245,1710450.7879027547,0.0,0.0,35.31669441445226,1893713.372320907,0.0,0.0,34.177446207534445,1832625.8441815227,0.0,0.0,35.31669441445226,1893713.372320907,0.0,0.0,34.177446207534445,1832625.8441815227,0.0,0.0,35.31669441445226,1912367.4079397875,0.0,0.0,35.31669441445226,1893713.372320907,0.0,0.0,34.177446207534445,1832625.8441815227,0.0,0.0,35.31669441445226,1893713.372320907,0.0,0.0,5397.530082568997,1832625.8441815227,0.0,0.0,11903.11725903113,1893713.372320907,0.0,0.0
RLB-79376,1609.3123535156249,487.67041015625,1,1323.4398655047708,348.2788486734213,67.74179449008811,-17.97271657301238,Bd RLB-79376,3838.054536557125,624658.8160868165,0.0,0.0,1815.36862462482,564207.9629171246,0.0,0.0,41.57884233740595,624658.8160868165,0.0,0.0,40.23758935877995,604508.5316969191,0.0,0.0,41.57884233740595,624658.8160868165,0.0,0.0,40.23758935877995,763936.3459813735,0.0,0.0,41.57884233740595,1130701.953758819,0.0,0.0,41.57884233740595,820889.2504115007,0.0,0.0,40.23758935877995,604508.5316969191,0.0,0.0,41.57884233740595,624658.8160868165,0.0,0.0,1556.0954914284448,604508.5316969191,0.0,0.0,3563.5136585702135,624658.8160868165,0.0,0.0
RLB-71358,514.198974609375,155.81787109375,1,466.09003343137505,134.4979988318114,23.80410250363169,-5.175052156328761,Bd RLB-71358,0.0,3655091.7690362134,0.0,0.0,0.0,1786661.5302524362,0.0,0.0,0.0,167673.46207925212,0.0,0.0,0.0,162264.6407218569,0.0,0.0,0.0,167673.46207925212,0.0,0.0,0.0,162264.6407218569,0.0,0.0,0.0,167673.46207925212,0.0,0.0,0.0,167673.46207925212,0.0,0.0,0.0,162264.6407218569,0.0,0.0,0.0,167673.46207925212,0.0,0.0,0.0,1644730.4763858505,0.0,0.0,0.0,3458779.5499098594,0.0,0.0
RLB-79499,2495.66044921875,756.2607421875,1,1886.0519110123294,638.1655399734057,102.83423756719264,-21.893164728914215,Bd RLB-79499,6055.261353730338,802349.0219004559,0.0,0.0,2873.7155030408376,724702.3423617021,0.0,0.0,41.44141694786893,802349.0219004559,0.0,0.0,40.10459704632477,776466.7953875379,0.0,0.0,41.44141694786893,802349.0219004559,0.0,0.0,40.10459704632477,776466.7953875379,0.0,0.0,41.44141694786893,802349.0219004559,0.0,0.0,41.44141694786893,802349.0219004559,0.0,0.0,40.10459704632477,776466.7953875379,0.0,0.0,41.44141694786893,802349.0219004559,0.0,0.0,2710.6645761090203,776466.7953875379,0.0,0.0,5762.61759081418,802349.0219004559,0.0,0.0
RLB-64725,68.202685546875,20.66748046875,1,148.3178903304722,48.930949077102845,6.978942993636815,-1.538148414106683,Bd RLB-64725,331.1208719396782,315984.2083478252,0.0,0.0,156.50378759839185,285405.09141093894,0.0,0.0,7.174993860678516,315984.2083478252,0.0,0.0,6.9435424458179185,305791.16936886316,0.0,0.0,7.174993860678516,315984.2083478252,0.0,0.0,6.9435424458179185,322395.68472072796,0.0,0.0,7.174993860678516,366089.0326795724,0.0,0.0,7.174993860678516,335917.6175924668,0.0,0.0,6.9435424458179185,305791.16936886316,0.0,0.0,7.174993860678516,315984.2083478252,0.0,0.0,130.54286853586714,305791.16936886316,0.0,0.0,308.92086409324173,315984.2083478252,0.0,0.0
RLB-71593,11616.841918945312,3520.255126953125,1,4491.523716344696,1365.5687825413431,287.16252220500724,-96.73967613087413,Bd RLB-71593,17343.148433174607,2436236.4756740103,0.0,0.0,8189.834912377506,2200471.6554474933,0.0,0.0,41.1571428834348,2436236.4756740103,0.0,0.0,39.82949311300142,2357648.2022651713,0.0,0.0,41.1571428834348,2436236.4756740103,0.0,0.0,39.82949311300142,2357648.2022651713,0.0,0.0,41.1571428834348,2536162.581015012,0.0,0.0,41.1571428834348,2436236.4756740103,0.0,0.0,39.82949311300142,2357648.2022651713,0.0,0.0,41.1571428834348,2436236.4756740103,0.0,0.0,7469.025205807536,2357648.2022651713,0.0,0.0,16165.188702546222,2436236.4756740103,0.0,0.0
