,Name,Age class,End use,H plant,C plant,BuiHeight,Footprint,ExtWallArea,nFloor,TotalArea,Volume,PDesH,PDesC,TotOpaquaA,TotWinA,TotUA,ExtWallU,RoofU,GroundU,WinU,Htr_is,Htr_w,Htr_ms,Htr_em,Cm,RrestAW,R1AW,RalphaStarAW,RalphsStarIL,RaplphaStarIW,R1IW,C1AW,C1IW
1,Piovego,1981-1990,Terziario,CondensingBoiler,SplitAirCooler,12.0,745.081298928125,1335.259768055412,4,2980.3251957125,9835.07314585125,180.60176668195012,-181.73819902482705,1168.3522970484855,166.9074710069265,3069.7969983237003,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,0.0,617.5576434656281,0.0,0.0,0.0,0.00024004310708390777,3.964742066065762e-05,3.994144865718711e-05,1.7530317653055454e-05,9.408317526646588e-06,9.951975630970828e-06,614610838.5137507,1094395146.9120789
18,RB3,1981-1990,Residenziale,CondensingBoiler,SplitAirCooler,10.0,306.685791115625,845.3274876501677,3,920.057373346875,3036.1893320446875,74.54287020393187,-62.15714315056721,739.6615516938967,105.66593595627096,1573.9858214838791,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,0.0,390.9639637782026,0.0,0.0,0.0,0.00046480205750318825,8.126081522911764e-05,7.044125750835494e-05,5.395200027125845e-05,2.8914987975352606e-05,3.3725098777919675e-05,293600270.36892533,311628278.6511781
19,RB4,1981-1990,Residenziale,CondensingBoiler,SplitAirCooler,14.0,389.025390725,1420.0571430485224,4,1556.1015629,5135.13515757,117.06114657769456,-105.38448531707131,1242.550000167457,177.5071428810653,2361.633451927725,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,0.0,656.7764293999414,0.0,0.0,0.0,0.0003082551168276462,5.592373459516113e-05,4.825236131653848e-05,3.155556009514819e-05,1.6897148346376196e-05,1.9060532054748157e-05,420219746.28798187,571410798.0531739
20_p1,TorreArchimede_p1,1981-1990,Terziario,CondensingBoiler,SplitAirCooler,24.0,1263.7325887035363,5347.046160050336,8,10109.86070962829,33362.540341773354,553.5025061755565,-607.6078530154671,4678.665390044044,668.380770006292,8442.20358749473,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,0.0,2473.008849763281,0.0,0.0,0.0,8.600869818501224e-05,1.5900202807499974e-05,1.4793208819444777e-05,5.0206290938086075e-06,2.6872501324725716e-06,2.7421711486441115e-06,1465972582.3672206,4144972004.8470373
20_p2,TorreArchimede_p2,1981-1990,Terziario,CondensingBoiler,SplitAirCooler,24.0,393.10498056875,1904.4314241892191,8,3144.83984455,10377.971487015,179.77004219114923,-193.18245605240455,1666.3774961655668,238.0539280236524,2879.217701250095,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,0.0,880.7995344275138,0.0,0.0,0.0,0.0002515994009819599,4.729385679189004e-05,4.285477777293855e-05,1.5976213001915426e-05,8.547915218276556e-06,8.81538320712809e-06,489169948.48430586,1289362285.9682827
21,Dicea,1981-1990,Terziario,CondensingBoiler,SplitAirCooler,3.0,3645.694372056881,1479.5174954985878,12,43748.33246468257,144369.49713345247,1590.673739378692,-2334.529834338565,1294.5778085612642,184.93968693732347,9715.426164675917,0.6710921952849237,0.8148883508409389,1.4240179934591244,3.7,0.0,684.2768424080966,0.0,0.0,0.0,7.709502818562905e-05,1.1015767875567919e-05,1.4386695092471283e-05,1.2326169813494893e-06,6.64156155656354e-07,6.197802202105153e-07,2313907942.008234,18560774859.148823
