;id;Name;End Use;Height;Floors;ExtWallCoeff;VolCoeff;Cooling System;Heating System;Envelope;Simulate;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg]
1_0;1;Piovego;Services;12.0;4;1.2;1.25;A-A split;Traditional Gas Boiler, Centralized, Low Temp Radiator;1981-1990;True;13411.46337890625;3576.390234375;46;5086.250760566746;741.0691712707537;222.91655623198437;-84.26662155383914;8416.867504821736;1649982.2362926123;0.0;0.0;144.73424131855876;2006337.9427926939;0.0;0.0;140.06539482441173;1899231.37134424;0.0;0.0;144.73424131855876;2036200.801249725;0.0;0.0;2071.0612813844773;9834759.901696783;0.0;0.0;1885.3946587785338;15694662.758534115;0.0;0.0;2156.83363105724;14722638.207497664;0.0;0.0;2121.831220226266;7209289.6648214115;0.0;0.0;144.73424131855876;2036200.801249725;0.0;0.0;6429.837623375409;1725519.8446945325;0.0;0.0;23656.094038423747;58814823.53017351;0.0;0.0
18_0;18;RB3;Residential;10.0;3;1.3;0.8;A-A split;Oil Boiler, Centralized, High Temp Radiator;1981-1990;True;3189.5322265625;1196.0745849609375;16;3008.0650300195803;508.25315194966333;140.8597761353546;-40.21157790201974;0.0;3331654.169014958;3272.1820627924794;0.0;0.0;3972356.8938255273;312.6015612677582;0.0;0.0;3844216.348863414;299.08009997150634;0.0;0.0;3972356.8938255273;309.55455742961567;0.0;0.0;5383898.356557889;298.86254252196886;0.0;0.0;7908681.527105428;309.177667853305;0.0;0.0;6254165.8773302445;310.13296006439043;0.0;0.0;3973764.801390075;301.5313854160211;0.0;0.0;3972356.8938255273;311.8466597180961;0.0;0.0;3457108.578322163;2512.426465632848;0.0;0.0;46070560.34006076;8237.39596266799;0.0
19_0;19;RB4;Residential;14.0;4;0.9;2.0;A-W chiller, Centralized, Fan coil;A-W Heat Pump, Single, Fan coil;1981-1990;True;9803.43984375;1400.49140625;18;3244.141273979275;591.0987857939474;206.34063397387973;-71.20062940402241;0.0;17815223.44101783;0.0;0.0;0.0;6525138.375929691;0.0;0.0;0.0;6314923.577989145;0.0;0.0;0.0;6528826.919114627;0.0;0.0;0.0;8722479.289282294;0.0;0.0;0.0;12701597.587017633;0.0;0.0;0.0;9569372.61790325;0.0;0.0;0.0;6355108.718561084;0.0;0.0;0.0;6527427.824981799;0.0;0.0;0.0;14318818.732088402;0.0;0.0;0.0;95378917.08388576;0.0;0.0
20_0;20;TorreArchimede;Services;24.0;8;0.8;1.2;A-W chiller, Centralized, Fan coil;Stove;1981-1990;True;29116.398841425475;8087.888567062632;105;10497.954214576075;1978.4070792186246;478.2727391518914;-192.69704709246764;0.0;2794954.781398919;0.0;32615.544162268634;0.0;3420759.607213676;0.0;577.6606241514851;0.0;3214557.998608757;0.0;559.0264104691792;0.0;3488293.476748649;0.0;577.6606241514851;0.0;24255639.12498202;0.0;8265.980475178654;0.0;39712107.90236531;0.0;7524.961788583467;0.0;36957896.72245261;0.0;8608.314453835326;0.0;17168260.02589337;0.0;8461.733957684084;0.0;3488293.476748649;0.0;577.6606241514851;0.0;2930514.5622562165;0.0;25563.450720468067;0.0;137431277.6786682;0.0;93331.99384094185
20_1;20;TorreArchimede;Services;24.0;8;0.8;1.2;A-W chiller, Centralized, Fan coil;Stove;1981-1990;True;9057.13875;2515.8718750000003;33;3636.9245810493476;704.6396269500112;163.74368363497916;-61.53294594224146;0.0;933901.2062500002;0.0;10813.926370415371;0.0;1140968.9776562501;0.0;182.3365771925239;0.0;1074346.3871875;0.0;176.45475212179733;0.0;1161976.5078125002;0.0;182.3365771925239;0.0;7884736.866280832;0.0;2609.1281350502154;0.0;13094010.104864066;0.0;2375.225140967821;0.0;11838560.737717004;0.0;2717.184670869397;0.0;5418955.646821267;0.0;2670.8020801179605;0.0;1161976.5078125002;0.0;182.3365771925239;0.0;978497.8146093751;0.0;8424.527039174374;0.0;44687930.7570113;0.0;30334.257920294505
21_0;21;Dicea;Services;3.0;12;1.0;0.7;A-A split;CondensingBoiler;1981-1990;True;7655.95818110945;43748.33246348258;568;11010.439437588077;684.2768416680967;399.2181745285993;-609.7308674023875;48456.2903811055;14873979.931388358;0.0;0.0;1306.7132353512334;17932963.66785109;0.0;0.0;1264.5611955011937;16835992.66736933;0.0;0.0;1306.7132353512334;18298262.24392117;0.0;0.0;18745.594632514378;96709373.01073188;0.0;0.0;17064.2777279646;141582591.29107353;0.0;0.0;19515.45355221767;155772405.39477903;0.0;0.0;19207.759913513808;81733976.74597897;0.0;0.0;1306.7132353512334;18298262.24392117;0.0;0.0;37788.70695746354;15572375.659816576;0.0;0.0;165962.78406633437;577610182.8568311;0.0;0.0
