;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W]
2023-07-02 12:00:00;0.0;13819406.980632195;0.0;0.0;-15029842.425865093;-2058971.9662742377;-10442149.08237052;3157717.7912220885;3260422.9097457873
2023-07-02 13:00:00;0.0;14075102.23868416;0.0;0.0;-15426181.10800451;-2034868.693165422;-10572253.040655257;3157717.7912220885;3261874.614996436
2023-07-02 14:00:00;0.0;14104129.30239733;0.0;0.0;-15703935.365311794;-1738666.1972294084;-10370813.480729742;3157717.7912220885;3260422.9097457873
2023-07-02 15:00:00;0.0;15185300.992969243;0.0;0.0;-15712972.225830702;-3559761.1488177786;-12566044.728660753;3157717.7912220885;3261390.713246218
2023-07-02 16:00:00;0.0;13735394.429079633;0.0;0.0;-15915860.1481328;-955089.9724647497;-9417884.337490143;3157717.7912220885;3260906.811496005
2023-07-02 17:00:00;0.0;12983941.14279511;0.0;0.0;-15237817.481342746;-1725619.5048373686;-10356549.70975795;3157717.7912220885;3181465.5713774776
2023-07-02 18:00:00;0.0;13076604.873262025;0.0;0.0;-14906683.5084516;-2319488.026872683;-10842624.663040385;3157717.7912220885;3006589.2778569325
2023-07-02 19:00:00;0.0;13373621.259183524;0.0;0.0;-14351200.482477333;-3498349.0042976164;-11841258.57270439;3157717.7912220885;3005621.4743565004
2023-07-02 20:00:00;0.0;13594617.16093485;0.0;0.0;-13891870.947366854;-4632629.207339825;-12694271.417228948;3157717.7912220885;3000298.5551041365
2023-07-02 21:00:00;0.0;13762131.48349142;0.0;0.0;-13392242.974724846;-5758507.425818152;-13478507.075620683;3157717.7912220885;2990620.5200998285
2023-07-02 22:00:00;0.0;11661573.164014274;0.0;0.0;-12499315.486256719;-3473604.375085373;-10400882.449106423;3157717.7912220885;2927713.2925718417
2023-07-02 23:00:00;0.0;11471148.62084615;0.0;0.0;-12102281.59367019;-3479390.943279751;-10396916.654031733;3157717.7912220885;2698343.8629697934
2023-07-03 00:00:00;0.0;11030934.489728665;0.0;0.0;-11374472.789445803;-2765325.0756287826;-10419632.566011058;3449919.9804289564;24815558.788733423
2023-07-03 01:00:00;0.0;10033928.464352101;0.0;0.0;-10631129.747632505;-2847213.3206902593;-9153047.77270679;3157717.7912220885;24816526.59223388
2023-07-03 02:00:00;0.0;9173666.430165177;0.0;0.0;-9699160.479715431;-2497692.825591707;-8333142.108467303;3157717.7912220885;24817494.39573429
2023-07-03 03:00:00;0.0;8476550.62782813;0.0;0.0;-8724779.821218548;-2289920.9366324567;-7874628.376744291;3157717.7912220885;25036701.888581805
2023-07-03 04:00:00;0.0;7844519.338739161;0.0;0.0;-7910473.177548843;-1929364.8461368887;-7400534.687973752;3157717.7912220885;25049767.23583762
2023-07-03 05:00:00;0.0;7292567.980524992;0.0;0.0;-7257604.051869402;-1602580.5187107145;-6933671.899946669;3157717.7912220885;25077833.53735014
2023-07-03 06:00:00;0.0;6633105.056443366;0.0;0.0;-6834707.911870938;-721215.7405291568;-5925763.23737946;3157717.7912220885;25282227.837633785
2023-07-03 07:00:00;0.0;8670266.544758087;0.0;0.0;-7712250.476103822;-1564232.5510689716;-6918255.454453792;3157717.7912220885;3333573.427111516
