Appliances electric consumption [Wh];TZ heating demand [Wh];TZ cooling demand [Wh];TZ DHW demand [Wh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh]
4251380.00;27250383.71;0.00;2137157.69;3725.28;0;0;0;0;0.00;0.00;-0.00
3839600.00;21681302.25;0.00;1930335.98;2993.11;0;0;0;0;0.00;0.00;-0.00
4248620.00;14292555.44;0.00;2137157.69;2082.70;0;0;0;0;0.00;0.00;-0.00
4109520.00;5265480.59;0.00;2068217.12;929.65;0;0;0;0;0.00;0.00;-0.00
4245860.00;0.00;0.00;2137157.69;270.91;0;0;0;0;0.00;0.00;-0.00
4098480.00;0.00;-4276908.96;2068217.12;262.18;0;0;0;0;0.00;0.00;2183.20
4251380.00;0.00;-9291364.49;2137157.69;270.91;0;0;0;0;0.00;0.00;4742.88
4256900.00;0.00;-6524130.37;2137157.69;270.91;0;0;0;0;0.00;0.00;3330.32
4104000.00;0.00;-1794617.00;2068217.12;262.18;0;0;0;0;0.00;0.00;916.08
4256900.00;770825.12;0.00;2137157.69;368.63;0;0;0;0;0.00;0.00;-0.00
4112280.00;15113094.86;0.00;2068217.12;2177.97;0;0;0;0;0.00;0.00;-0.00
4232060.00;25004929.32;0.00;2137157.69;3440.64;0;0;0;0;0.00;0.00;-0.00
