;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;27.4383;26.5742;19.3000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0000
1;27.4667;26.8260;18.9000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0000
2;27.4867;26.8932;18.8000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0000
3;27.4733;26.9832;18.9000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0000
4;27.5050;27.0592;18.4000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0000
5;27.5217;27.3280;18.4000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0001
6;27.7642;27.7185;18.6000;2.0976;0.9998;999.8208;0.0020;0.1144;17.2942
7;28.2767;28.2247;19.2000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0005
8;28.6367;28.6563;19.8000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0003
9;29.1025;29.2555;20.8000;2.0976;0.9998;999.8208;0.0000;0.0015;0.2281
10;29.7625;29.7488;22.1000;2.0976;0.9998;999.8208;0.0000;0.0000;0.0000
11;29.9633;30.0510;22.5000;2.0976;0.9998;999.8208;0.0000;0.0008;0.1211
12;29.9367;30.1402;24.4000;2.0976;0.9998;999.8208;0.0178;0.7130;107.8110
13;29.8450;29.9034;24.5000;2.0976;0.9998;999.8208;0.0234;2.0067;303.4099
14;29.6992;29.7229;25.4000;2.0976;0.9998;999.8208;0.0360;3.7620;568.8077
15;29.5483;29.6367;25.3000;2.0976;0.9998;999.8208;0.0693;4.2649;644.8470
16;29.3992;29.4646;25.6000;2.0976;0.9998;999.8208;0.0753;5.5780;843.3984
17;28.5308;28.6570;25.1000;2.0976;0.9998;999.8208;0.1318;9.2112;1392.7344
18;27.5950;27.6210;25.1000;2.0976;0.9998;999.8208;0.3694;18.2898;2765.4105
19;28.3250;28.5605;24.7000;2.0976;0.9998;999.8208;0.8538;7.3706;1114.4421
20;28.3392;28.8218;25.7000;2.0976;0.9998;999.8208;0.7984;7.9457;1201.3917
21;28.1675;28.3924;24.6000;2.0976;0.9998;999.8208;0.1442;7.6553;1157.4782
22;27.9458;28.2058;23.2000;2.0976;0.9998;999.8208;0.2425;5.6580;855.4853
23;27.8833;28.3642;22.6000;2.0976;0.9998;999.8208;0.1406;4.0849;617.6332
