;T_meas [°C];T_sim [°C];T_out [°C];C_th_rel [-];Sched_HG [-];Q_hg [W];Sched_op_w [-];NV_ACH [vol/h];NV_vfr [m3/h]
0;26.3208;25.6348;19.3000;1.4836;0.7699;769.8504;0.0000;0.0000;0.0000
1;26.2908;25.7090;18.9000;1.4836;0.7699;769.8504;0.0000;0.0000;0.0000
2;26.2792;25.7406;18.8000;1.4836;0.7699;769.8504;0.0000;0.0000;0.0000
3;26.2725;25.7905;18.9000;1.4836;0.7699;769.8504;0.0000;0.0000;0.0000
4;26.2625;25.9754;18.4000;1.4836;0.7699;769.8504;0.0006;0.0298;6.9966
5;26.2683;26.1844;18.4000;1.4836;0.7699;769.8504;0.0055;0.1498;35.1862
6;26.2750;26.3060;18.6000;1.4836;0.7699;769.8504;0.0201;0.4639;108.9806
7;26.3575;26.2642;19.2000;1.4836;0.7699;769.8504;0.0739;1.0976;257.8285
8;26.4617;26.3691;19.8000;1.4836;0.7699;769.8504;0.0767;1.5075;354.1222
9;26.5725;27.2273;20.8000;1.4836;0.7699;769.8504;0.0161;0.1082;25.4166
10;26.6342;26.7003;22.1000;1.4836;0.7699;769.8504;0.1013;2.7386;643.2908
11;26.4808;26.4601;22.5000;1.4836;0.7699;769.8504;0.0984;4.2666;1002.2283
12;26.5600;26.6537;24.4000;1.4836;0.7699;769.8504;0.2084;6.8938;1619.3496
13;26.6783;26.6720;24.5000;1.4836;0.7699;769.8504;0.1474;7.4480;1749.5319
14;26.7708;26.8773;25.4000;1.4836;0.7699;769.8504;0.2128;9.7193;2283.0720
15;26.8400;26.8108;25.3000;1.4836;0.7699;769.8504;0.2198;11.8966;2794.5047
16;26.9208;27.4326;25.6000;1.4836;0.7699;769.8504;0.3069;6.1799;1451.6544
17;27.2533;27.3312;25.1000;1.4836;0.7699;769.8504;0.1597;6.8344;1605.4009
18;27.5817;27.5263;25.1000;1.4836;0.7699;769.8504;0.1120;4.5813;1076.1368
19;27.7592;27.5927;24.7000;1.4836;0.7699;769.8504;0.0654;3.3230;780.5665
20;27.9700;28.2555;25.7000;1.4836;0.7699;769.8504;0.0037;0.1587;37.2842
21;27.7008;28.0486;24.6000;1.4836;0.7699;769.8504;0.0291;1.1878;279.0241
22;27.3375;27.5194;23.2000;1.4836;0.7699;769.8504;0.0470;2.5313;594.5940
23;27.0858;27.4945;22.6000;1.4836;0.7699;769.8504;0.0427;2.0020;470.2678
0;26.9883;26.9812;21.8000;0.9402;0.6080;607.9842;0.0304;1.9165;450.1818
1;26.9217;26.9153;20.9000;0.9402;0.6080;607.9842;0.0270;1.4264;335.0564
2;26.8608;26.8583;20.1000;0.9402;0.6080;607.9842;0.0208;1.1303;265.4962
3;26.8017;26.7980;19.7000;0.9402;0.6080;607.9842;0.0161;1.0253;240.8493
4;26.7633;26.7607;19.5000;0.9402;0.6080;607.9842;0.0156;1.1618;272.8951
5;26.7492;26.7459;20.4000;0.9402;0.6080;607.9842;0.0210;1.4687;344.9987
6;26.7825;26.7781;20.7000;0.9402;0.6080;607.9842;0.0222;1.3828;324.8095
7;26.8042;26.7987;21.1000;0.9402;0.6080;607.9842;0.0215;1.5077;354.1492
8;26.8633;26.8569;21.0000;0.9402;0.6080;607.9842;0.0257;1.7034;400.1185
9;26.9333;26.9248;20.5000;0.9402;0.6080;607.9842;0.0344;1.8087;424.8714
10;26.9667;26.9561;21.9000;0.9402;0.6080;607.9842;0.0062;2.7097;636.5096
11;27.0642;27.0494;22.7000;0.9402;0.6080;607.9842;0.0871;3.2145;755.0873
12;27.1125;27.0932;23.9000;0.9402;0.6080;607.9842;0.1050;4.6744;1098.0281
13;27.2033;27.1822;25.6000;0.9402;0.6080;607.9842;0.1440;9.7726;2295.5802
14;27.2417;27.2082;25.1000;0.9402;0.6080;607.9842;0.0887;7.2017;1691.6845
15;27.2025;27.4543;27.0000;0.9402;0.6080;607.9842;0.3516;33.5048;7870.2733
16;27.2608;27.3199;26.7000;0.9402;0.6080;607.9842;0.3003;30.4131;7144.0279
17;27.4350;27.7968;27.6000;0.9402;0.6080;607.9842;0.7008;69.2144;16258.4679
18;27.4300;27.4543;26.6000;0.9402;0.6080;607.9842;0.2060;20.7710;4879.1126
19;27.6050;27.5927;25.0000;0.9402;0.6080;607.9842;0.0457;4.8321;1135.0548
20;27.5050;27.5045;23.3000;0.9402;0.6080;607.9842;0.0259;2.7073;635.9395
21;27.3958;27.3957;22.6000;0.9402;0.6080;607.9842;0.0225;2.2844;536.6057
22;27.0092;27.0104;21.3000;0.9402;0.6080;607.9842;0.0253;2.4273;570.1727
23;27.0092;27.0110;20.4000;0.9402;0.6080;607.9842;0.0181;1.6471;386.9091
0;27.0175;26.8075;19.9000;1.2390;0.6181;618.0970;0.0000;0.0000;0.0000
1;26.9517;26.8839;19.2000;1.2390;0.6181;618.0970;0.0000;0.0003;0.0673
2;26.8733;26.8711;18.6000;1.2390;0.6181;618.0970;0.0000;0.0030;0.6997
3;26.8217;26.8114;17.9000;1.2390;0.6181;618.0970;0.0011;0.0941;22.0948
4;26.7950;26.7864;17.6000;1.2390;0.6181;618.0970;0.0052;0.4245;99.7114
5;26.7717;26.7602;17.0000;1.2390;0.6181;618.0970;0.0094;0.7509;176.3948
6;26.7367;26.7239;17.1000;1.2390;0.6181;618.0970;0.0163;1.1892;279.3402
7;26.7317;26.7174;17.7000;1.2390;0.6181;618.0970;0.0216;1.6133;378.9605
8;26.6275;26.6135;18.6000;1.2390;0.6181;618.0970;0.0340;2.3826;559.6799
9;26.4567;26.4438;19.4000;1.2390;0.6181;618.0970;0.0583;3.2908;772.9991
10;26.2808;26.2658;20.5000;1.2390;0.6181;618.0970;0.0827;4.5156;1060.7108
11;26.1558;26.1361;21.6000;1.2390;0.6181;618.0970;0.0984;5.9343;1393.9708
12;26.1242;26.1004;22.8000;1.2390;0.6181;618.0970;0.1170;8.0429;1889.2727
13;26.2908;26.2622;23.8000;1.2390;0.6181;618.0970;0.1381;9.6952;2277.4003
14;26.3942;26.3623;24.9000;1.2390;0.6181;618.0970;0.2282;16.0008;3758.5828
15;26.4733;26.5929;26.0000;1.2390;0.6181;618.0970;0.5218;36.5754;8591.5563
16;26.7617;26.9235;26.3000;1.2390;0.6181;618.0970;0.5406;29.3027;6883.2073
17;27.1942;27.5895;27.2000;1.2390;0.6181;618.0970;0.5347;28.0635;6592.1120
18;27.6050;27.6838;27.1000;1.2390;0.6181;618.0970;0.3352;17.4857;4107.3792
19;27.7583;27.7692;26.1000;1.2390;0.6181;618.0970;0.1129;4.7288;1110.8060
20;27.7450;27.7400;25.4000;1.2390;0.6181;618.0970;0.0164;3.2695;767.9939
21;27.5133;27.5462;23.9000;1.2390;0.6181;618.0970;0.0504;2.4916;585.2790
22;27.3100;27.3576;23.0000;1.2390;0.6181;618.0970;0.0575;2.3697;556.6523
23;27.2000;27.3038;22.5000;1.2390;0.6181;618.0970;0.0574;2.0110;472.3776
0;26.9875;26.9880;22.3000;1.2848;0.8911;891.1042;0.0895;2.2913;538.2160
1;26.8425;26.8430;22.3000;1.2848;0.8911;891.1042;0.0792;2.6231;616.1624
2;26.7508;26.7513;21.6000;1.2848;0.8911;891.1042;0.0895;2.3281;546.8711
3;26.6250;26.6263;21.1000;1.2848;0.8911;891.1042;0.2054;2.3136;543.4536
4;26.5492;26.5500;20.5000;1.2848;0.8911;891.1042;0.1080;2.5581;600.8902
5;26.4625;26.4633;20.0000;1.2848;0.8911;891.1042;0.0807;2.6751;628.3875
6;26.3192;26.3201;20.0000;1.2848;0.8911;891.1042;0.0938;3.4828;818.1055
7;26.0617;26.0626;19.8000;1.2848;0.8911;891.1042;0.0715;4.2403;996.0523
8;26.1250;26.1261;20.4000;1.2848;0.8911;891.1042;0.0796;4.5978;1080.0185
9;26.0942;26.0955;21.2000;1.2848;0.8911;891.1042;0.0927;5.6020;1315.9068
10;25.9733;25.9749;22.1000;1.2848;0.8911;891.1042;0.0965;7.5917;1783.2837
11;25.9425;25.9443;22.2000;1.2848;0.8911;891.1042;0.0983;7.7338;1816.6593
12;25.9733;25.9754;22.9000;1.2848;0.8911;891.1042;0.1036;9.0271;2120.4738
13;25.8517;25.8541;22.9000;1.2848;0.8911;891.1042;0.1077;9.6074;2256.7779
14;25.6992;25.7020;23.0000;1.2848;0.8911;891.1042;0.1159;10.7819;2532.6711
15;26.1892;26.1924;23.7000;1.2848;0.8911;891.1042;0.0833;8.3494;1961.2664
16;26.4175;26.4212;22.9000;1.2848;0.8911;891.1042;0.0566;5.1515;1210.0942
17;26.5000;26.5043;22.6000;1.2848;0.8911;891.1042;0.0554;4.8421;1137.4076
18;26.7192;26.7242;22.1000;1.2848;0.8911;891.1042;0.0397;3.2440;762.0200
19;27.3517;27.3609;21.8000;1.2848;0.8911;891.1042;0.0120;0.8384;196.9448
20;27.8125;27.7637;22.3000;1.2848;0.8911;891.1042;0.0000;0.0000;0.0010
