,Consumption [kWh/y],Consumption [kWh/m2 y],Consumption [l/d dwelling]
1,0,0,0
18,6439.38945893434,6.998899900676734,203.63590855802508
19,8590.409593900911,5.520468457014819,203.74398928214728
20_p1,0,0,0
20_p2,0,0,0
21,0,0,0
