,1,18,19,20_p1,20_p2,21
0,99.0,99.0,99.0,99.0,99.0,99.0
1,98.85594868888118,97.44315451876243,97.42608458605659,98.83907886173311,98.85000952747038,98.75303143795846
2,98.64562730846725,95.91737594723062,95.88269423313328,98.60983977976514,98.63125546829852,98.44076428646936
3,98.37942866225723,94.42285043824444,94.37017188601479,98.32435187890586,98.35697863186508,98.06664021491801
4,97.98188736529963,92.96475312278343,92.8937965489531,97.9074040132882,97.95191601907021,97.5557002344366
5,97.48237512043244,91.4945013872837,91.4049855671519,97.38809752001212,97.44497445147951,96.93840297204352
6,96.96124825414128,90.020305695695,89.91202294496749,96.84657794162604,96.9161250844459,96.2961477091784
7,96.41505090086952,88.60115381950457,88.4740322129622,96.27949567105577,96.3618024778966,95.62721958984297
8,95.8960982153376,87.23644083882725,87.09046860804989,95.73909700292693,95.83420382021356,94.9842396131227
9,95.42909849868144,85.94552020175166,85.78074668997499,95.25011237035137,95.35800868361532,94.3923282527007
10,95.0136034624725,84.72567233609266,84.54216967903756,94.81209009122288,94.93274578487132,93.85119526258973
11,94.65992877909385,83.58726461970257,83.38507945303947,94.43531621476863,94.56871997290476,93.3709907117865
12,94.055427669711,82.52677887710792,82.30595259200281,93.81065149204721,93.95964068642505,92.62289584908542
13,93.72752072505408,81.5216831084985,81.28237372005222,93.46007581700572,93.62297468221408,92.15969256036716
14,93.79582270686481,80.56957554782996,80.31195472783774,93.50677977023807,93.6871384167228,92.06803745528481
15,94.11228785065829,79.65656616980655,79.3809790754877,93.79655955127666,93.99076255370389,92.2433575329115
16,67.90719449950693,78.79182107222587,78.49860686604833,69.87363888040883,69.40119024928072,74.24578494648595
17,64.28979085763439,77.94736729669552,77.63703054554084,64.89739708785054,64.38822169653591,69.76828260981168
18,62.05632879982996,77.13235145493938,76.80538193317757,62.056826812916476,62.054875162848134,66.71586365731714
19,60.050644858125715,76.36533172477937,76.02250117394969,60.051098003432244,60.04932218455284,64.03972586842784
20,58.273019194470834,75.64108775136913,75.28296673176749,58.27343147015155,58.27181581418803,61.65747044817852
21,56.65578026804703,74.95879924013997,74.58785775025545,56.656155331928005,56.654685504312894,59.4823551117361
