,1,18,19,20_p1,20_p2,21
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,180.60176668195012,0.0,0.0,553.5025061755565,179.77004219114923,1590.673739378692
17,165.26816821045753,0.0,0.0,553.5025061755565,179.77004219114923,1590.673739378692
18,158.83381086492497,0.0,0.0,544.0439591914965,171.54037456904678,1590.673739378692
19,154.39532452784763,0.0,0.0,524.958104260073,166.44692995896034,1590.673739378692
20,150.09708062637998,0.0,0.0,509.7085343285105,161.66928314555977,1590.673739378692
21,146.0032593677549,0.0,0.0,495.1657951804125,157.11700818223414,1590.673739378692
22,142.06815652131422,0.0,0.0,481.1586313935043,152.73121853816528,1590.673739378692
23,138.3476703552524,0.0,0.0,467.90788763856165,148.5907206375294,1590.673739378692
24,134.780358301375,0.0,0.0,455.16968230635996,144.61009891979094,1590.673739378692
25,131.40580641592317,0.0,0.0,443.1003593867554,140.84566110451468,1590.673739378692
26,128.17473977330792,0.0,0.0,431.51664861863804,137.23322156839149,1590.673739378692
27,125.14197691881255,0.0,0.0,420.64149358744686,133.85081293808565,1590.673739378692
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,154.3685230654208,0.0,0.0,514.1754605881907,163.63128014158812,1590.673739378692
33,123.99253947431262,0.0,0.0,413.1867650116507,131.89791468594038,1590.673739378692
34,121.21314998730418,0.0,0.0,403.303836234309,128.81333154094563,1486.6098500900735
35,118.539748445576,0.0,0.0,393.77142029855355,125.83697846294206,1441.6862481207102
36,115.97667805369537,0.0,0.0,384.61256999084304,122.97800611779233,1399.7053222033055
37,113.50548445398198,0.0,0.0,375.766897848547,120.21716219536773,1359.1137105077944
38,111.12787428957567,0.0,0.0,367.24119626630795,117.5565163959997,1319.9423393559744
39,108.8566972410304,0.0,0.0,359.07879400367057,115.00991744993848,1282.3408388830367
40,94.34082710649719,0.0,0.0,309.3547577072561,99.53404636035266,1065.0257445545476
41,92.17075703993119,0.0,0.0,301.54269994824006,97.0988159035215,1028.8903549407655
42,91.1629298685668,0.0,0.0,297.68014509926525,95.89324372551008,1009.8331859289184
43,89.22385533014824,0.0,0.0,290.65608099503606,93.70604929983092,977.0040108199827
44,89.79048067183304,0.0,0.0,292.1403477008541,94.16799278569769,980.8486005435996
45,88.1093509288535,0.0,0.0,285.9915353612078,92.25771341763169,951.5269614149174
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,144.2123097704511,0.0,0.0,454.262824212458,147.17981534641538,1389.9504904114408
65,116.34999300101812,0.0,0.0,366.60075388791694,119.00313267089537,1103.8526835828675
66,114.38787427978386,0.0,0.0,359.7774633493614,116.75584317720879,1086.2918307219027
67,111.23214115830906,0.0,0.0,348.9319210117834,113.23882101121696,1051.2892874932745
68,108.03511720992054,0.0,0.0,337.95853842581016,109.67509629306558,1016.4129391432078
69,104.95406288106821,0.0,0.0,327.5329616120134,106.29962161197315,982.2884244500063
70,101.87834844368079,0.0,0.0,317.1600971413166,102.93625880452409,948.8229140218962
71,99.01951537178381,0.0,0.0,307.6290206129877,99.85954266846691,916.8612897693067
72,96.23835086808872,0.0,0.0,298.32318762245376,96.8488322140756,886.3376207148591
