;Zone volume [m3];Zone net floor area [m2];Number of units [-];Zone opaque heat transfer loss [W/K];Zone glazed heat transfer loss [W/K];Zone design heating load [kW];Zone design cooling load [kW];Name;February gas consumption [Nm3];February electric consumption [Wh];February oil consumption [L];February wood consumption [kg];March gas consumption [Nm3];March electric consumption [Wh];March oil consumption [L];March wood consumption [kg];April gas consumption [Nm3];April electric consumption [Wh];April oil consumption [L];April wood consumption [kg];May gas consumption [Nm3];May electric consumption [Wh];May oil consumption [L];May wood consumption [kg];June gas consumption [Nm3];June electric consumption [Wh];June oil consumption [L];June wood consumption [kg];July gas consumption [Nm3];July electric consumption [Wh];July oil consumption [L];July wood consumption [kg];August gas consumption [Nm3];August electric consumption [Wh];August oil consumption [L];August wood consumption [kg];September gas consumption [Nm3];September electric consumption [Wh];September oil consumption [L];September wood consumption [kg];October gas consumption [Nm3];October electric consumption [Wh];October oil consumption [L];October wood consumption [kg];November gas consumption [Nm3];November electric consumption [Wh];November oil consumption [L];November wood consumption [kg];Total gas consumption [Nm3];Total electric consumption [Wh];Total oil consumption [L];Total wood consumption [kg]
RLB-67675;829.274853515625;251.29541015625;3;850.5623354119199;270.01311442194424;43.329325898897466;-9.061714150074959;Bd RLB-67675;989.4202603774227;1160681.666297665;0.0;0.0;60.32059414010406;1383889.6790472162;0.0;0.0;56.82477907241267;1339248.0764973059;0.0;0.0;60.839416118973766;1383889.6790472162;0.0;0.0;57.98828825113974;1339248.0764973059;0.0;0.0;59.335369894313295;1383889.6790472162;0.0;0.0;60.12363381578083;1383889.6790472162;0.0;0.0;58.88562919171693;1339248.0764973059;0.0;0.0;59.921621113396746;1383889.6790472162;0.0;0.0;861.6258258102373;1204388.3545542287;0.0;0.0;2325.285417785498;13302262.645579891;0.0;0.0
RLB-69478;81.12956542968749;24.584716796875;1;70.65207235684701;38.251997052824606;4.21546196772839;-1.5035301030171653;Bd RLB-69478;82.15133011533621;466229.40723273926;0.0;0.0;7.401032295338554;555888.9086236507;0.0;0.0;7.178678629819651;537957.0083454684;0.0;0.0;7.143479887933709;555888.9086236507;0.0;0.0;6.968203301687927;538568.6274172401;0.0;0.0;7.661989585356479;565193.3225518187;0.0;0.0;7.297958555136361;559687.8799873504;0.0;0.0;7.345178325804051;537957.0083454684;0.0;0.0;7.438481569980242;555888.9086236507;0.0;0.0;72.97398420137978;483786.53827431635;0.0;0.0;213.56031646777296;5357046.518025354;0.0;0.0
RLB-69277;161.95136718749998;49.076171875;1;210.6341740351052;94.88432095211832;11.278945813647264;-2.3769194113339696;Bd RLB-69277;253.39972485915345;378616.34828446666;0.0;0.0;13.624438582555552;451427.18449301796;0.0;0.0;13.651745673244223;436865.0172513077;0.0;0.0;14.56370699354012;451427.18449301796;0.0;0.0;13.446907759169681;436865.0172513077;0.0;0.0;14.32662704538482;451427.18449301796;0.0;0.0;13.96849106176601;451427.18449301796;0.0;0.0;13.333255149901419;436865.0172513077;0.0;0.0;13.896526968357307;451427.18449301796;0.0;0.0;219.40801627173295;392874.4724820844;0.0;0.0;583.6194403648055;4339221.794985564;0.0;0.0
RLB-71852;2087.1090087890625;632.457275390625;8;1327.3517626233179;399.4610779830533;73.51399239294925;-22.758698853693428;Bd RLB-71852;1700.720000657824;1828574.2142548116;0.0;0.0;152.7370806071309;2180223.101611506;0.0;0.0;147.69199379203008;2109893.3241401673;0.0;0.0;154.05431936699824;2180223.101611506;0.0;0.0;149.42401993622974;2163952.1137107234;0.0;0.0;152.56306541688974;2459689.0185820214;0.0;0.0;152.9434214908308;2302511.3553298004;0.0;0.0;149.62816352507295;2109893.3241401673;0.0;0.0;151.08643501237594;2180223.101611506;0.0;0.0;1400.809877376995;1897430.3208725865;0.0;0.0;4311.658377182378;21412612.975864798;0.0;0.0
RLB-68850;117.60117187499999;35.63671875;1;119.15635628536769;88.3996743656466;7.725580761782964;-2.257928508984703;Bd RLB-68850;155.26678081361283;429869.74172417296;0.0;0.0;7.786279330664699;512536.9997480524;0.0;0.0;7.624098314766648;496003.5481432765;0.0;0.0;7.57881844233575;512536.9997480524;0.0;0.0;7.509374956604954;496003.5481432765;0.0;0.0;7.3848806470980595;512536.9997480524;0.0;0.0;7.878749845479366;512536.9997480524;0.0;0.0;7.077471186303623;496003.5481432765;0.0;0.0;7.695489437477209;512536.9997480524;0.0;0.0;152.91913187850653;446057.776280805;0.0;0.0;368.7210748528497;4926623.1611750685;0.0;0.0
RLB-64502;239.180712890625;72.47900390625;1;354.13238603972286;82.442687938363;16.181862511709664;-3.580136605586425;Bd RLB-64502;352.58974442220887;395164.06328798755;0.0;0.0;18.60539652597184;471157.1523818313;0.0;0.0;17.96240167511733;455958.5345630626;0.0;0.0;17.75826772111919;471157.1523818313;0.0;0.0;17.79785546067568;598336.5549691867;0.0;0.0;18.513108939525623;839071.3655686135;0.0;0.0;17.961900308405305;631128.6030585329;0.0;0.0;17.21157895404775;456007.478319315;0.0;0.0;17.91730791928637;471157.1523818313;0.0;0.0;260.4813107857013;410045.3113243923;0.0;0.0;756.7988727120593;5199183.3682365855;0.0;0.0
RLB-92171;1e-05;1e-05;1;101.59760695382465;20.723478116165207;3.975435348108004;-0.8806681926749323;Bd RLB-92171;87.90104531213277;430722.2358270216;0.0;0.0;7.984347702860055;513553.43502452574;0.0;0.0;7.738723246694166;496987.195185025;0.0;0.0;7.945519414483082;513553.43502452574;0.0;0.0;8.005781907629856;566486.883857719;0.0;0.0;7.868494533610683;676244.2689379143;0.0;0.0;8.239733821664469;620013.2933028027;0.0;0.0;7.794566986018769;514106.889346719;0.0;0.0;7.8118823012634016;513553.43502452574;0.0;0.0;61.48221151075987;446942.35664891056;0.0;0.0;212.7723067371171;5292163.42817969;0.0;0.0
RLB-71866;1540.3805419921873;466.781982421875;6;1309.5113338279045;583.1175438677681;74.34694304171093;-18.75191476846989;Bd RLB-71866;1639.8175179796624;1186555.369302356;0.0;0.0;113.341823741231;1414739.0941681936;0.0;0.0;110.22976580530067;1369102.3491950259;0.0;0.0;113.48938377425776;1414739.0941681936;0.0;0.0;109.59965437350232;1398947.6297000563;0.0;0.0;113.31130012646418;1595825.8579977313;0.0;0.0;113.8225057334525;1475897.259104303;0.0;0.0;111.25320377289992;1369102.3491950259;0.0;0.0;113.16580638824364;1414739.0941681936;0.0;0.0;1375.817268786328;1231236.4833791482;0.0;0.0;3913.8482304813424;13870884.580378227;0.0;0.0
RLB-71684;3431.3143798828123;1039.792236328125;14;687.4187262617264;514.7858476795841;67.66593515211603;-31.272583137656664;Bd RLB-71684;1658.5637376477202;2442768.663115655;0.0;0.0;237.41769687660175;2912531.8675609734;0.0;0.0;227.99500513287023;2818579.22667191;0.0;0.0;234.32773154484963;2912531.8675609734;0.0;0.0;227.30351893233382;2818579.22667191;0.0;0.0;234.95138912603326;2912531.8675609734;0.0;0.0;235.75047676814305;2912531.8675609734;0.0;0.0;229.08076984260498;2818579.22667191;0.0;0.0;235.68329351373535;2912531.8675609734;0.0;0.0;1465.3849405214416;2534752.0183412563;0.0;0.0;4986.458559906334;27995917.699277513;0.0;0.0
RLB-67062;105.9101806640625;32.093994140625;1;123.42168840497601;40.61504816562941;6.213778777411864;-1.7476197042176387;Bd RLB-67062;132.95097850638885;371149.5107115535;0.0;0.0;8.268149505374973;442524.41661762143;0.0;0.0;7.637603324418582;428249.4354364079;0.0;0.0;7.926537960359135;442524.41661762143;0.0;0.0;7.409832825999288;519490.0057079443;0.0;0.0;8.103402007271663;673238.2326501226;0.0;0.0;8.263513538921567;576179.1314339702;0.0;0.0;7.805289932248804;439713.7132077614;0.0;0.0;8.101106801065686;442524.41661762143;0.0;0.0;98.91382436058963;385126.4475197088;0.0;0.0;295.38023876263816;4720719.7265203325;0.0;0.0
RLB-71162;990.2755371093749;300.08349609375;4;867.2727354697854;242.7238943315816;44.32718661112255;-12.443406620589402;Bd RLB-71162;982.3964113104572;975113.120930916;0.0;0.0;74.45363399079179;1162634.8749560923;0.0;0.0;71.45610911092054;1125130.524151057;0.0;0.0;73.32216238742754;1162634.8749560923;0.0;0.0;71.32506786988138;1335979.4154549772;0.0;0.0;73.86414810373134;1763025.1728767175;0.0;0.0;75.39327897096695;1384228.28946934;0.0;0.0;71.71855878470336;1125130.524151057;0.0;0.0;73.726152765445;1162634.8749560923;0.0;0.0;775.2087120203408;1011832.2951604477;0.0;0.0;2342.864235314666;12208343.96706279;0.0;0.0
RLB-62275;2678.341552734375;811.61865234375;11;1057.2796124384151;326.5097715517113;67.29266791913223;-27.288295942338312;Bd RLB-62275;1623.8508789605448;1991740.7870869199;0.0;0.0;200.41763733627596;2374767.8615267123;0.0;0.0;194.04849641286063;2298162.446638754;0.0;0.0;201.16536888446464;2374767.8615267123;0.0;0.0;193.0837038986978;3120611.038007846;0.0;0.0;202.6293587757796;4689668.236125435;0.0;0.0;199.64065722730788;3641617.5944459187;0.0;0.0;194.6694662667222;2349048.8477290524;0.0;0.0;200.18816764545608;2374767.8615267123;0.0;0.0;1312.5016060408402;2066740.842198028;0.0;0.0;4522.195341448949;27281893.376812093;0.0;0.0
RLB-64928;780.5611816406249;236.53369140625;3;544.6559630706537;220.4351604828634;31.37013802916118;-9.256773069474086;Bd RLB-64928;727.3403807929807;724970.3082242392;0.0;0.0;57.25657294895263;864387.6751904391;0.0;0.0;55.38239525081424;836504.201797199;0.0;0.0;57.71560806402132;864387.6751904391;0.0;0.0;54.79205961803188;836604.554499212;0.0;0.0;58.36043816384571;899139.6767453223;0.0;0.0;58.4154407783654;868352.0913954619;0.0;0.0;55.552328214035086;836504.201797199;0.0;0.0;57.307992127255226;864387.6751904391;0.0;0.0;607.1575735124542;752270.374580573;0.0;0.0;1789.2807894707562;8347508.434610524;0.0;0.0
RLB-78907;8226.501196289062;2492.879150390625;32;4068.1825889065826;949.5419793363842;231.63022510363862;-79.34261454381554;Bd RLB-78907;5552.149866837493;5866905.060047812;0.0;0.0;599.7383540912273;6995156.03313393;0.0;0.0;583.868055803841;6769505.838516707;0.0;0.0;600.7107896646238;6995156.03313393;0.0;0.0;579.6682652195385;7527610.64723039;0.0;0.0;600.3378375633541;9600863.552189972;0.0;0.0;600.3539442328312;8003884.0738065615;0.0;0.0;579.750772435036;6769505.838516707;0.0;0.0;605.0291246770263;6995156.03313393;0.0;0.0;4533.498816331363;6087823.931745559;0.0;0.0;14835.105826856334;71611567.0414555;0.0;0.0
RLB-75433;340.69599609374995;103.2412109375;1;237.44549450132712;141.50429219843508;15.155001368523521;-3.6259356814456054;Bd RLB-75433;375.5048651558451;359556.8043627908;0.0;0.0;23.591097846015465;428702.3436633275;0.0;0.0;22.90571179786961;414873.2358032202;0.0;0.0;23.082801156556645;428702.3436633275;0.0;0.0;22.37184114198985;414873.2358032202;0.0;0.0;23.22887673982857;428702.3436633275;0.0;0.0;23.574293078346155;428702.3436633275;0.0;0.0;22.9622383857005;414873.2358032202;0.0;0.0;23.171925906843896;428702.3436633275;0.0;0.0;347.98966279835594;373097.268104861;0.0;0.0;908.3833140073518;4120785.49819395;0.0;0.0
RLB-71358;514.198974609375;155.81787109375;2;484.0989034581545;178.1189714259124;25.8070723888103;-5.505278722899425;Bd RLB-71358;591.712110419643;449057.0977217173;0.0;0.0;37.847959291566994;535414.2318989707;0.0;0.0;36.89247965066456;518142.80506352;0.0;0.0;37.396725304272266;535414.2318989707;0.0;0.0;36.44790385970882;518142.80506352;0.0;0.0;37.98209371096775;535414.2318989707;0.0;0.0;37.80422050352931;535414.2318989707;0.0;0.0;36.72984793606497;518142.80506352;0.0;0.0;38.19699320945099;535414.2318989707;0.0;0.0;516.7679011564129;465967.7190797359;0.0;0.0;1407.7782350422817;5146524.391486866;0.0;0.0
